GeneSymbol|GeneID,Chromosome,Start,End,Coordination,MRNA-Chr,MRNA-Start,MRNA-End,NMID,Genesymbol,Chain,V11,V12,V13,V14,mean.A,mean.B,delta,Pvalue.ttest,p.adjust.BH,Pvalue.wilcox,a.shapiro.pvalue,b.shapiro.pvalue
TRH|7200.2,chr3,129693306,129693569,chr3:129693306-129693569,chr3,129693113,129693666,NM_007117,TRH,+,Exon1,129693113,Exon,263,1.2183244859,0.2425502274,0.9757742585,0.0745778083,0.1151678814,0.0440792406,1.14729776564498E-10,3.23099263885129E-07
TRH|7200,chr3,129693306,129693569,chr3:129693306-129693569,chr3,129689113,129694113,NM_007117,TRH,+,Promoter,129693113,Promoter,263,1.2183244859,0.2425502274,0.9757742585,0.0745778083,0.1151678814,0.0440792406,1.14729776564498E-10,3.23099263885129E-07
TRH|7200.1,chr3,129693306,129693569,chr3:129693306-129693569,chr3,129693113,129694659,NM_007117,TRH,+,UTR5,129693113,UTR5,263,1.2183244859,0.2425502274,0.9757742585,0.0745778083,0.1151678814,0.0440792406,1.14729776564498E-10,3.23099263885129E-07
LOC100132215|100132215,chr2,63284029,63284210,chr2:63284029-63284210,chr2,63278846,63294846,NR_027069,LOC100132215,-,Enhancer,63274846,Enhancer,181,23.2742319521,33.3087593777,-10.0345274255,0.0755378159,0.1164741195,0.0328269128,0.0003304272,0.801733552
NR2E1|7101,chr6,108495813,108496052,chr6:108495813-108496052,chr6,108496039,108496127,NM_003269,NR2E1,+,Exon3,108487214,Exon,13,3.680257413,0.60084046,3.0794169529,0.0928218033,0.1388404811,0.6451730335,5.3729526002302E-11,0.0088947055
NR2E1|7101.1,chr6,108495813,108496052,chr6:108495813-108496052,chr6,108492808,108496039,NM_003269,NR2E1,+,Intron2,108487214,Intron,226,3.680257413,0.60084046,3.0794169529,0.0928218033,0.1388404811,0.6451730335,5.3729526002302E-11,0.0088947055
FOXD3|27022,chr1,63785870,63786110,chr1:63785870-63786110,chr1,63784729,63789729,NM_012183,FOXD3,+,Promoter,63788729,Promoter,240,6.6540178552,1.6488161293,5.0052017259,0.1017342513,0.149771112,0.1628200343,1.35462819626887E-10,0.0001031236
HOXD12|3238,chr2,176963966,176964222,chr2:176963966-176964222,chr2,176960529,176965529,NM_021193,HOXD12,+,Promoter,176964529,Promoter,256,0.0962054162,0.0002184121,0.0959870041,0.1052698905,0.1541031103,0.7910827706,7.91326131085996E-12,0.9541963843
SIM1|6492,chr6,100912907,100913131,chr6:100912907-100913131,chr6,100910551,100915551,NM_005068,SIM1,-,Promoter,100911551,Promoter,224,0.9871034698,3.4210800547,-2.4339765848,0.1407664324,0.1975444719,0.0093223874,1.48173722071736E-12,0.0150358319
HOXD10|3236.1,chr2,176985481,176985673,chr2:176985481-176985673,chr2,176983959,176986669,NM_002148,HOXD10,+,Downstream,176981491,Downstream,192,7.1847777833,0.0002111149,7.1845666684,0.1631918428,0.2237539551,0.0077241376,1.53003394710985E-12,0.2375716058
HOXD10|3236,chr2,176963966,176964222,chr2:176963966-176964222,chr2,176961491,176977491,NM_002148,HOXD10,+,Enhancer,176981491,Enhancer,256,7.1847777833,0.0002111149,7.1845666684,0.1631918428,0.2237539551,0.0077241376,1.53003394710985E-12,0.2375716058
LHX8|431707,chr1,75601959,75602207,chr1:75601959-75602207,chr1,75596418,75602287,NM_001001933,LHX8,+,Intron2,75594118,Intron,248,0.1624839817,0.0001733604,0.1623106213,0.1734357895,0.2353632226,0.3777729616,2.23828165511937E-12,0.5402372782
BARHL2|343472,chr1,91195108,91195308,chr1:91195108-91195308,chr1,91186794,91202794,NM_020063,BARHL2,-,Enhancer,91182794,Enhancer,200,0.1655295411,0.000223521,0.1653060201,0.1985663081,0.26344927,0.748411,1.6157048513376E-12,0.970776993
MIMT1|100073347,chr19,57350927,57351195,chr19:57350927-57351195,chr19,57348269,57353269,NR_024059,MIMT1,+,Promoter,57352269,Promoter,268,0.1449632479,0.7659772002,-0.6210139524,0.2037993995,0.2691499724,0.8126560602,8.51224046238103E-10,0.0002710083
DMRTA2|63950,chr1,50888416,50888644,chr1:50888416-50888644,chr1,50887217,50888787,NM_032110,DMRTA2,-,Intron1,50889141,Intron,228,2.7012603901,0.0002428614,2.7010175286,0.2273624092,0.2950867706,0.1628200343,7.9873282203692E-13,0.1280761291
DMRTA2|63950.2,chr1,50888416,50888644,chr1:50888416-50888644,chr1,50888141,50893141,NM_032110,DMRTA2,-,Promoter,50889141,Promoter,228,2.7012603901,0.0002428614,2.7010175286,0.2273624092,0.2950867706,0.1628200343,7.9873282203692E-13,0.1280761291
DMRTA2|63950.1,chr1,50888416,50888644,chr1:50888416-50888644,chr1,50887208,50889141,NM_032110,DMRTA2,-,UTR5,50889141,UTR5,228,2.7012603901,0.0002428614,2.7010175286,0.2273624092,0.2950867706,0.1628200343,7.9873282203692E-13,0.1280761291
LOC645323|645323.2,chr5,87974394,87974574,chr5:87974394-87974574,chr5,87973146,87989146,NR_024384,LOC645323,-,Enhancer,87969146,Enhancer,180,0.9437851224,0.3985344976,0.5452506248,0.2447996444,0.313908032,0.9001739437,1.00891462632306E-10,0.0005419399
LOC645323|645323,chr5,87974394,87974574,chr5:87974394-87974574,chr5,87968847,87980474,NR_015436,LOC645323,-,Intron1,87980620,Intron,180,0.9437851224,0.3985344976,0.5452506248,0.2447996444,0.313908032,0.9001739437,1.00891462632306E-10,0.0005419399
LOC645323|645323.1,chr5,87974394,87974574,chr5:87974394-87974574,chr5,87973262,87978262,NR_024383,LOC645323,-,Promoter,87974262,Promoter,180,0.9437851224,0.3985344976,0.5452506248,0.2447996444,0.313908032,0.9001739437,1.00891462632306E-10,0.0005419399
LOC645323|645323.3,chr5,87974394,87974574,chr5:87974394-87974574,chr5,87836596,87980620,NR_015436,LOC645323,-,UTR3,87980620,UTR3,180,0.9437851224,0.3985344976,0.5452506248,0.2447996444,0.313908032,0.9001739437,1.00891462632306E-10,0.0005419399
FGF8|2253,chr10,103536294,103536553,chr10:103536294-103536553,chr10,103534827,103539827,NM_006119,FGF8,-,Promoter,103535827,Promoter,259,0.4870834037,0.2402480878,0.2468353159,0.2460252558,0.3152040267,0.9888804232,7.63709077252676E-08,1.84217586263167E-05
FGF8|2253.1,chr10,103536294,103536553,chr10:103536294-103536553,chr10,103534827,103539827,NM_033163,FGF8,-,Promoter,103535827,Promoter,259,0.4870834037,0.2402480878,0.2468353159,0.2460252558,0.3152040267,0.9888804232,7.63709077252676E-08,1.84217586263167E-05
FGF8|2253.2,chr10,103536294,103536553,chr10:103536294-103536553,chr10,103534827,103539827,NM_033165,FGF8,-,Promoter,103535827,Promoter,259,0.4870834037,0.2402480878,0.2468353159,0.2460252558,0.3152040267,0.9888804232,7.63709077252676E-08,1.84217586263167E-05
FGF8|2253.3,chr10,103536294,103536553,chr10:103536294-103536553,chr10,103534827,103539827,NM_033164,FGF8,-,Promoter,103535827,Promoter,259,0.4870834037,0.2402480878,0.2468353159,0.2460252558,0.3152040267,0.9888804232,7.63709077252676E-08,1.84217586263167E-05
SLC2A14|144195,chr12,8025481,8025633,chr12:8025481-8025633,chr12,8025455,8025495,NM_153449,SLC2A14,-,Exon1,8025495,Exon,14,22.9539518048,15.1842827174,7.7696690873,0.2583463272,0.327899879,0.7064703386,1.23422624689672E-09,0.4991499653
SLC2A14|144195.2,chr12,8025481,8025633,chr12:8025481-8025633,chr12,8024495,8029495,NM_153449,SLC2A14,-,Promoter,8025495,Promoter,152,22.9539518048,15.1842827174,7.7696690873,0.2583463272,0.327899879,0.7064703386,1.23422624689672E-09,0.4991499653
SLC2A14|144195.1,chr12,8025481,8025633,chr12:8025481-8025633,chr12,8016051,8025495,NM_153449,SLC2A14,-,UTR5,8025495,UTR5,14,22.9539518048,15.1842827174,7.7696690873,0.2583463272,0.327899879,0.7064703386,1.23422624689672E-09,0.4991499653
ZIC4|84107,chr3,147141187,147141342,chr3:147141187-147141342,chr3,147128407,147144407,NM_032153,ZIC4,-,Enhancer,147124407,Enhancer,155,18.491028771,6.4567968845,12.0342318865,0.2622341016,0.3319314636,0.0133763745,1.09312393305452E-11,0.0719788822
HOXD11|3237,chr2,176963966,176964222,chr2:176963966-176964222,chr2,176952083,176968083,NM_021192,HOXD11,+,Enhancer,176972083,Enhancer,256,4.7383617954,0.0001896034,4.7381721919,0.2629512336,0.3327366272,0.0281566396,6.53252886089981E-13,0.432894298
ARRB2|409,chr17,4615035,4615197,chr17:4615035-4615197,chr17,4614040,4618307,NM_004313,ARRB2,+,Intron1,4613788,Intron,162,1125.3634689052,861.0426868483,264.3207820568,0.2820971331,0.3521627553,0.748411,7.92994520235598E-11,0.8855569153
ARRB2|409.1,chr17,4615035,4615197,chr17:4615035-4615197,chr17,4614040,4618307,NM_199004,ARRB2,+,Intron1,4613788,Intron,162,1125.3634689052,861.0426868483,264.3207820568,0.2820971331,0.3521627553,0.748411,7.92994520235598E-11,0.8855569153
SATB2|23314,chr2,200335471,200335727,chr2:200335471-200335727,chr2,200329255,200345255,NM_015265,SATB2,-,Enhancer,200325255,Enhancer,256,256.6388754417,215.51960793,41.1192675117,0.3695432707,0.4336472846,0.9444440588,0.0024403453,0.1974337098
OR11L1|391189,chr1,248020592,248020785,chr1:248020592-248020785,chr1,248009198,248025198,NM_001001959,OR11L1,-,Enhancer,248005198,Enhancer,193,0.0002149812,0.0001856703,2.93109349642499E-05,0.4475029694,0.5110230527,0.5669865876,0.3681401186,0.1053629387
ZIM2|23619,chr19,57350927,57351195,chr19:57350927-57351195,chr19,57347473,57351954,NM_001146327,ZIM2,-,Intron1,57352097,Intron,268,0.219600196,0.1245151608,0.0950850352,0.5296788688,0.589741695,0.393237182,1.46697242748313E-09,3.2441707641676E-07
ZIM2|23619.2,chr19,57350927,57351195,chr19:57350927-57351195,chr19,57347473,57351954,NM_001146326,ZIM2,-,Intron1,57352097,Intron,268,0.219600196,0.1245151608,0.0950850352,0.5296788688,0.589741695,0.393237182,1.46697242748313E-09,3.2441707641676E-07
ZIM2|23619.4,chr19,57350927,57351195,chr19:57350927-57351195,chr19,57347473,57351954,NM_015363,ZIM2,-,Intron1,57352097,Intron,268,0.219600196,0.1245151608,0.0950850352,0.5296788688,0.589741695,0.393237182,1.46697242748313E-09,3.2441707641676E-07
ZIM2|23619.1,chr19,57350927,57351195,chr19:57350927-57351195,chr19,57351097,57356097,NM_001146327,ZIM2,-,Promoter,57352097,Promoter,98,0.219600196,0.1245151608,0.0950850352,0.5296788688,0.589741695,0.393237182,1.46697242748313E-09,3.2441707641676E-07
ZIM2|23619.3,chr19,57350927,57351195,chr19:57350927-57351195,chr19,57351097,57356097,NM_001146326,ZIM2,-,Promoter,57352097,Promoter,98,0.219600196,0.1245151608,0.0950850352,0.5296788688,0.589741695,0.393237182,1.46697242748313E-09,3.2441707641676E-07
ZIM2|23619.5,chr19,57350927,57351195,chr19:57350927-57351195,chr19,57351097,57356097,NM_015363,ZIM2,-,Promoter,57352097,Promoter,98,0.219600196,0.1245151608,0.0950850352,0.5296788688,0.589741695,0.393237182,1.46697242748313E-09,3.2441707641676E-07
ZIM2|23619.6,chr19,57350927,57351195,chr19:57350927-57351195,chr19,57335645,57352097,NM_001146327,ZIM2,-,UTR5,57352097,UTR5,268,0.219600196,0.1245151608,0.0950850352,0.5296788688,0.589741695,0.393237182,1.46697242748313E-09,3.2441707641676E-07
ZIM2|23619.7,chr19,57350927,57351195,chr19:57350927-57351195,chr19,57335645,57352097,NM_001146326,ZIM2,-,UTR5,57352097,UTR5,268,0.219600196,0.1245151608,0.0950850352,0.5296788688,0.589741695,0.393237182,1.46697242748313E-09,3.2441707641676E-07
ZIM2|23619.8,chr19,57350927,57351195,chr19:57350927-57351195,chr19,57335645,57352097,NM_015363,ZIM2,-,UTR5,57352097,UTR5,268,0.219600196,0.1245151608,0.0950850352,0.5296788688,0.589741695,0.393237182,1.46697242748313E-09,3.2441707641676E-07
RBMY1J|378951,chrY,24329167,24329372,chrY:24329372-24329167,chrY,24328089,24333089,NM_001006117,RBMY1J,-,Promoter,24329089,Promoter,205,0.0002183436,0.0001779253,4.04183228397759E-05,0.5747692403,0.6323324013,0.6055344065,0.3580547256,0.5214718931
RBMY1F|159163,chrY,24329167,24329372,chrY:24329372-24329167,chrY,24328089,24333089,NM_152585,RBMY1F,-,Promoter,24329089,Promoter,205,0.0002252262,0.000198821,2.64051829883864E-05,0.717206999,0.7610593806,0.8343676788,0.1549465172,0.4847626384
EVX2|344191,chr2,176963966,176964222,chr2:176963966-176964222,chr2,176952690,176968690,NM_001080458,EVX2,-,Enhancer,176948690,Enhancer,256,0.0002149556,0.0002122816,0.000002674,0.9670612055,0.9727943954,0.8781425533,0.6343095562,0.4628215055
NA.4,chr2,177016293,177016523,chr2:177016293-177016523,chr2,177015139,177017139,NR_029609,MIR10B,+,Downstream,177015030,Downstream,230,NA,NA,NA,NA,NA,NA,NA,NA
NA.2,chr11,43602774,43602980,chr11:43602774-43602980,chr11,43602943,43603033,NR_029697,MIR129-2,+,Exon1,43602943,Exon,37,NA,NA,NA,NA,NA,NA,NA,NA
NA.3,chr11,43602774,43602980,chr11:43602774-43602980,chr11,43601944,43604033,MI0000473,hsa-mir-129-2,+,mir,43602944,mir,206,NA,NA,NA,NA,NA,NA,NA,NA
NA,chr11,43602774,43602980,chr11:43602774-43602980,chr11,43598943,43603943,NR_029697,MIR129-2,+,Promoter,43602943,Promoter,206,NA,NA,NA,NA,NA,NA,NA,NA
NA.1,chr11,43602774,43602980,chr11:43602774-43602980,chr11,43602943,43603033,NR_029697,MIR129-2,+,UTR5,43602943,UTR5,37,NA,NA,NA,NA,NA,NA,NA,NA
