CpG Site	P-value	Delta Beta	Beta Ratio	RA	HP	Chrosome	Start	End	Gene	CpG Island	Probe type
cg01387450	1.16E-07	-0.114	0.859	0.691987583	0.80581935	chr2	23839710	23839711	KLHL29	NA	I
cg01406381	2.94E-07	-0.072	0.709	0.176419833	0.248762117	chr19	47288263	47288264	SLC1A5	N_Shelf	II
cg01424901	2.46E-07	0.024	1.051	0.485970617	0.46240515	chr1	21948680	21948681	RAP1GAP	Island	II
cg01433468	1.14E-07	-0.03	0.965	0.838400992	0.868580517	chr1	211779638	211779639	cg01433468	NA	II
cg01447185	1.62E-07	-0.019	0.814	0.08248743	0.101377288	chr4	56212994	56212995	SRD5A3	Island	II
cg01458865	1.14E-08	0.037	1.048	0.813956708	0.776717725	chr1	21755759	21755760	cg01458865	Island	II
cg01459778	4.89E-09	-0.02	0.976	0.849822467	0.870320425	chr10	100075428	100075429	cg01459778	NA	II
cg01483653	6.69E-08	0.02	1.035	0.593555917	0.573218342	chr19	50015511	50015512	FCGRT	N_Shore	I
cg01485439	1.11E-07	-0.019	0.979	0.863152458	0.88186105	chr11	67225937	67225938	CABP4	NA	I
cg01485938	5.15E-08	-0.037	0.949	0.696377317	0.733516958	chr5	176304609	176304610	UNC5A	N_Shore	II
cg01488659	1.11E-08	0.035	1.08	0.465739933	0.431047983	chr13	100875702	100875703	PCCA	NA	II
cg01496600	3.29E-08	-0.017	0.772	0.058869204	0.076241611	chr6	2246553	2246554	GMDS	S_Shore	II
cg01504836	1.80E-07	-0.006	0.506	0.006549755	0.012952966	chr11	94706833	94706834	KDM4D	Island	I
cg01506891	2.57E-07	-0.006	0.287	0.002280018	0.007937028	chr8	38243824	38243825	LETM2	Island	I
cg01507200	3.17E-07	-0.015	0.983	0.881534108	0.8967061	chr1	247877066	247877067	OR6F1	NA	II
cg01514831	2.00E-07	-0.017	0.98	0.83613625	0.853528375	chr18	77236335	77236336	NFATC1	Island	II
cg01529365	4.83E-08	-0.015	0.781	0.052257607	0.066890699	chr12	114879154	114879155	cg01529365	Island	II
cg01533539	2.74E-07	-0.009	0.532	0.010770096	0.02024336	chr16	89767958	89767959	SPATA2L	Island	I
cg01536327	1.11E-07	-0.013	0.744	0.039107186	0.052587404	chr19	1354765	1354766	MUM1	Island	II
cg01538066	5.51E-08	-0.007	0.699	0.015803221	0.022596123	chr19	57946466	57946467	ZNF749	N_Shore	I
cg01538778	2.51E-08	-0.01	0.43	0.007352016	0.017102667	chr1	93646459	93646460	TMED5	Island	I
cg01541219	2.84E-07	0.018	1.023	0.809616308	0.791580075	chr20	60629274	60629275	TAF4	N_Shore	II
cg01552347	1.44E-07	0.028	1.061	0.478119983	0.450597825	chr13	98532137	98532138	cg01552347	NA	II
cg01552551	2.37E-09	-0.023	0.973	0.844829283	0.8682795	chr7	37489651	37489652	ELMO1	S_Shore	II
cg01566287	2.60E-07	0.005	1.079	0.068902408	0.063863033	chr4	103746901	103746902	UBE2D3	N_Shore	II
cg01578398	9.08E-09	-0.024	0.762	0.077466571	0.101648181	chr4	122722532	122722533	EXOSC9	Island	I
cg01579928	1.32E-07	-0.004	0.199	0.000895886	0.00451106	chr14	90863399	90863400	CALM1	Island	I
cg01592662	2.83E-07	-0.013	0.862	0.082162822	0.095268742	chr16	15150200	15150201	NTAN1	S_Shore	II
cg01595951	1.12E-07	0.047	1.177	0.314510483	0.2671582	chr5	54834655	54834656	cg01595951	S_Shelf	II
cg01607468	2.87E-07	-0.042	0.945	0.713135975	0.75485645	chr4	9787734	9787735	cg01607468	S_Shelf	II
cg01607752	1.22E-07	0.024	1.028	0.903086175	0.87868135	chr19	58360769	58360770	ZNF587	N_Shore	II
cg01612440	9.38E-08	-0.013	0.987	0.947778	0.96060715	chr4	3296283	3296284	cg01612440	S_Shore	I
cg01613455	5.45E-08	-0.009	0.824	0.040167138	0.04871959	chr7	98248852	98248853	NPTX2	S_Shore	II
cg01635821	2.87E-07	-0.053	0.835	0.269216292	0.322223192	chr8	101571111	101571112	ANKRD46	N_Shore	II
cg01653532	9.40E-08	-0.043	0.947	0.7733225	0.816700942	chr17	57444078	57444079	YPEL2	NA	II
cg01655008	2.85E-07	-0.056	0.936	0.81898415	0.874907725	chr14	93652954	93652955	C14orf109	S_Shore	II
cg01655667	2.05E-07	0.14	1.256	0.687358867	0.547265425	chr14	104808652	104808653	cg01655667	NA	II
cg01658602	2.29E-07	-0.004	0.539	0.004393315	0.008152349	chr20	2489878	2489879	ZNF343	Island	I
cg01660993	1.35E-07	-0.01	0.708	0.024458493	0.034545033	chr7	151215741	151215742	RHEB	N_Shore	II
cg01669242	2.70E-09	-0.017	0.981	0.903467283	0.9208666	chr7	157689758	157689759	PTPRN2	N_Shore	II
cg01671171	2.89E-07	-0.01	0.782	0.034087622	0.043601828	chr7	77167470	77167471	PTPN12	S_Shore	II
cg01677302	1.62E-08	-0.018	0.979	0.876073325	0.894481425	chr19	5832190	5832191	FUT6	Island	II
cg01685893	2.76E-09	-0.05	0.937	0.753818733	0.804208742	chr11	112048262	112048263	BCO2	NA	II
cg01686861	3.98E-08	-0.113	0.835	0.572342592	0.685299317	chr16	60748	60749	cg01686861	NA	I
cg01696603	1.74E-07	0.034	1.059	0.611120808	0.577148967	chr6	125623444	125623445	HDDC2	S_Shore	I
cg01698650	5.10E-08	0.026	1.031	0.878731558	0.8523464	chr15	59500449	59500450	LDHAL6B	S_Shore	II
cg01702055	1.41E-07	-0.087	0.829	0.419363492	0.5059746	chr6	13303065	13303066	cg01702055	NA	II
cg01703196	2.73E-07	-0.027	0.969	0.845766492	0.872590425	chr14	65838508	65838509	cg01703196	NA	II
cg01703733	2.23E-08	0.012	1.014	0.900001767	0.887666017	chr17	72368626	72368627	GPR142	S_Shore	II
cg01709119	6.87E-08	-0.018	0.685	0.038537677	0.056271597	chr16	66968243	66968244	FAM96B	Island	I
cg01715177	2.74E-07	-0.019	0.976	0.763552308	0.782452467	chr3	14555354	14555355	GRIP2	NA	II
cg01719405	7.82E-08	-0.059	0.819	0.268316192	0.327602508	chr14	62401258	62401259	cg01719405	NA	II
cg01719577	2.73E-07	0.026	1.032	0.86348445	0.837092425	chr19	15838756	15838757	OR10H2	N_Shore	II
cg01724080	3.59E-08	-0.015	0.983	0.848304442	0.863106433	chr7	5541341	5541342	FBXL18	Island	II
cg01726295	6.39E-10	0.123	1.191	0.765961967	0.64301665	chr7	135938950	135938951	cg01726295	NA	II
cg01730684	1.40E-07	-0.007	0.733	0.020130244	0.027478597	chr13	114145160	114145161	DCUN1D2	Island	I
cg01731920	1.48E-07	-0.011	0.886	0.081943934	0.092523875	chr6	150285031	150285032	ULBP1	Island	II
cg01737415	1.29E-07	-0.018	0.874	0.125677792	0.143754325	chr17	72919525	72919526	OTOP2	Island	II
cg01740544	1.40E-07	-0.03	0.964	0.7989267	0.828706592	chr7	26227825	26227826	cg01740544	NA	II
cg01740650	8.18E-10	-0.016	0.983	0.926627508	0.942546833	chr16	84065271	84065272	SLC38A8	NA	I
cg01749778	1.62E-07	-0.014	0.892	0.117224842	0.131367758	chr17	36861696	36861697	MLLT6	Island	I
cg01751341	5.99E-08	-0.009	0.763	0.02849638	0.037353416	chr16	85045118	85045119	ZDHHC7	Island	II
cg01768328	3.31E-07	-0.011	0.987	0.847597408	0.859086442	chr17	1634018	1634019	WDR81	N_Shelf	II
cg01772563	1.44E-07	-0.029	0.883	0.218839	0.247852108	chr7	95064399	95064400	PON2	Island	II
cg01787110	2.03E-10	0.106	1.153	0.800300733	0.693829225	chr1	109008453	109008454	NBPF6	NA	II
cg01792257	2.46E-07	0.008	1.009	0.980997908	0.972510225	chr14	77242523	77242524	VASH1	Island	I
cg01801826	5.85E-08	0.046	1.077	0.638548708	0.592897058	chr8	1766281	1766282	cg01801826	S_Shore	I
cg01808284	3.68E-10	0.279	1.669	0.695058017	0.416336867	chr5	148031958	148031959	HTR4	N_Shore	II
cg01812599	4.98E-08	0.037	1.146	0.290064983	0.253203617	chr10	103043991	103043992	cg01812599	Island	II
cg01820463	1.56E-07	-0.041	0.954	0.844267558	0.885006625	chr2	27616144	27616145	FTHL3	N_Shore	I
cg01825058	2.09E-07	-0.012	0.396	0.007717109	0.019484485	chr7	150946114	150946115	SMARCD3	Island	I
cg01832712	2.22E-07	-0.021	0.902	0.196044467	0.217393592	chr3	4910674	4910675	cg01832712	S_Shore	II
cg01857019	6.57E-08	-0.061	0.689	0.135890758	0.1972772	chr15	57210107	57210108	LOC145783	N_Shore	II
cg01857838	1.76E-07	-0.035	0.959	0.803049992	0.837695833	chr6	166108110	166108111	cg01857838	NA	II
cg01866162	1.38E-07	-0.008	0.345	0.004127862	0.011950664	chr16	67596514	67596515	CTCF	Island	I
cg01870456	2.18E-07	-0.007	0.765	0.024450223	0.031949057	chr13	111267991	111267992	CARKD	Island	I
cg01870826	4.10E-10	0.066	1.248	0.331263467	0.265496325	chr7	5111875	5111876	LOC389458	Island	II
cg01892516	1.59E-07	-0.023	0.52	0.025162778	0.048364083	chr14	38064532	38064533	FOXA1	Island	I
cg01908660	2.47E-07	-0.007	0.575	0.008933532	0.015523451	chr15	65477569	65477570	CLPX	Island	I
cg01914278	2.82E-10	0.062	1.263	0.296457158	0.234757208	chr8	144846310	144846311	cg01914278	S_Shelf	II
cg01923075	2.10E-08	0.023	1.028	0.825016483	0.802193067	chr7	105223735	105223736	cg01923075	Island	II
cg01923881	2.98E-07	-0.034	0.962	0.857485042	0.891722825	chr12	124242821	124242822	ATP6V0A2	N_Shelf	II
cg01943874	1.42E-07	-0.024	0.791	0.091857158	0.116171267	chr20	44746944	44746945	CD40	Island	I
cg01949498	1.90E-09	0.019	1.022	0.8992683	0.880218717	chr8	144996666	144996667	PLEC1	Island	II
cg01957189	5.92E-08	-0.032	0.357	0.017981364	0.050327325	chr1	72748389	72748390	NEGR1	N_Shore	II
cg01960789	2.72E-07	-0.007	0.783	0.026197363	0.033456883	chr16	3184957	3184958	ZNF213	Island	II
cg01968657	1.48E-07	0.029	1.246	0.146558217	0.117628225	chr1	237207256	237207257	RYR2	S_Shore	II
cg01971407	5.70E-08	-0.066	0.795	0.256253533	0.322404442	chr11	313624	313625	IFITM1	N_Shelf	II
cg01973676	6.97E-08	-0.087	0.823	0.405735033	0.492851725	chr7	101596404	101596405	CUX1	NA	I
cg01976992	1.98E-07	0.018	1.021	0.87526835	0.85684915	chr6	36238410	36238411	PNPLA1	NA	II
cg01979483	1.74E-07	-0.019	0.977	0.831455058	0.850887158	chr16	88361795	88361796	cg01979483	NA	II
cg01982166	4.42E-11	0.455	7.071	0.530311558	0.074999991	chr6	31148606	31148607	cg01982166	S_Shore	II
cg02006142	1.86E-07	-0.053	0.929	0.695192658	0.747991733	chr8	126302396	126302397	NSMCE2	NA	II
cg02008416	4.19E-08	0.047	1.065	0.774004067	0.726932283	chr1	55445880	55445881	TMEM61	N_Shore	I
cg02018176	3.29E-08	0.056	1.073	0.817272033	0.761661258	chr4	1364513	1364514	KIAA1530	N_Shore	II
cg02031303	5.73E-08	-0.016	0.797	0.063290548	0.079404269	chr17	47305050	47305051	PHOSPHO1	N_Shelf	I
cg02043651	2.50E-07	-0.006	0.915	0.067171164	0.073409748	chr19	3556970	3556971	C19orf28	Island	II
cg02046160	7.54E-08	-0.019	0.979	0.900827908	0.91985105	chr9	88874667	88874668	C9orf153	NA	II
cg02058408	9.46E-09	0.081	1.27	0.381467717	0.300450617	chr17	20687681	20687682	cg02058408	Island	I
cg02060408	4.56E-10	0.009	6.804	0.010828411	0.001591552	chr1	150898663	150898664	SETDB1	Island	I
cg02060627	3.26E-07	-0.014	0.984	0.850622125	0.864734225	chr1	22378412	22378413	CDC42	N_Shore	II
cg02064724	8.31E-08	-0.018	0.797	0.071358917	0.089522624	chr14	74179953	74179954	PNMA1	N_Shore	II
cg02065750	6.22E-08	-0.01	0.875	0.067294015	0.07689609	chr22	39639859	39639860	PDGFB	Island	II
cg02065790	7.52E-08	-0.05	0.923	0.59042465	0.639991	chr12	27674284	27674285	cg02065790	NA	II
cg02068689	1.29E-07	-0.028	0.86	0.169658225	0.197213133	chr9	131941464	131941465	IER5L	S_Shore	II
cg02069095	5.32E-08	-0.03	0.966	0.871478075	0.901837817	chr2	134020041	134020042	NCKAP5	N_Shelf	II
cg02070114	2.13E-07	0.016	1.144	0.126703317	0.110750113	chr5	139555300	139555301	C5orf32	Island	I
cg02075405	4.17E-08	-0.002	0.336	0.000848519	0.002525966	chr6	31548857	31548858	LTB	Island	I
cg02090927	2.87E-07	-0.024	0.972	0.812542558	0.83627175	chr6	32169852	32169853	NOTCH4	NA	II
cg02093951	1.85E-08	0.021	1.024	0.904068558	0.883002117	chr5	67112088	67112089	cg02093951	NA	II
cg02094071	1.41E-07	0.015	1.017	0.913757558	0.898636575	chr8	92113770	92113771	LRRC69	NA	II
cg02097082	1.34E-07	-0.011	0.757	0.033348263	0.044044787	chr19	44507052	44507053	ZNF230	N_Shore	II
cg02097420	2.79E-07	-0.014	0.983	0.833107825	0.847575325	chr3	186383874	186383875	HRG	NA	II
cg02099543	2.51E-07	-0.079	0.652	0.147817575	0.226554333	chr22	45899186	45899187	FBLN1	Island	I
cg02105843	2.48E-07	0.017	1.019	0.934144008	0.917034175	chr11	522809	522810	cg02105843	S_Shelf	I
cg02111168	3.09E-09	-0.009	0.833	0.046169713	0.055415183	chr22	31003283	31003284	TCN2	NA	II
cg02125365	4.96E-08	0.067	1.154	0.498264883	0.431689367	chr5	78813058	78813059	cg02125365	S_Shelf	II
cg02131018	4.14E-08	-0.088	0.708	0.214504275	0.302892408	chr3	73723546	73723547	cg02131018	NA	II
cg02143743	2.23E-07	-0.02	0.977	0.859223142	0.879053983	chr15	87070843	87070844	AGBL1	NA	II
cg02147905	5.75E-08	-0.019	0.978	0.858855267	0.87829945	chr14	102814857	102814858	CINP	NA	II
cg02153871	9.90E-08	-0.012	0.761	0.036940743	0.048522448	chr5	140070879	140070880	HARS2	Island	II
cg02154084	3.04E-07	-0.061	0.923	0.735800475	0.796878842	chr5	146184364	146184365	PPP2R2B	NA	II
cg02160240	4.47E-10	-0.018	0.977	0.788205958	0.80662025	chr10	44321324	44321325	cg02160240	NA	I
cg02167021	8.30E-08	-0.006	0.659	0.011090844	0.016819548	chr3	121379791	121379792	HCLS1	NA	II
cg02172790	2.18E-09	0.008	1.956	0.016479963	0.008424976	chr2	61404147	61404148	AHSA2	Island	I
cg02174092	2.33E-10	0.184	1.773	0.42116485	0.237554817	chr10	43846539	43846540	cg02174092	Island	I
cg02187889	7.78E-08	-0.015	0.859	0.089281033	0.103883893	chr1	34629366	34629367	CSMD2	Island	II
cg02193650	7.26E-08	-0.012	0.838	0.060299387	0.071996182	chr12	49374710	49374711	WNT1	Island	II
cg02194617	3.09E-07	0.02	1.228	0.106460769	0.086685837	chr7	91808598	91808599	cg02194617	Island	II
cg02196422	1.40E-07	-0.032	0.964	0.856980167	0.888974475	chr2	85764282	85764283	cg02196422	N_Shore	II
cg02196458	5.03E-10	-0.073	0.437	0.056483049	0.129113667	chr15	90809250	90809251	NGRN	Island	II
cg02211433	3.40E-07	-0.007	0.45	0.005847916	0.012993477	chr16	71496082	71496083	ZNF23	Island	I
cg02213475	9.69E-08	-0.006	0.89	0.045243672	0.050823173	chr14	75536010	75536011	FAM164C	Island	II
cg02218768	2.05E-07	-0.047	0.559	0.059311815	0.106171891	chr19	4064604	4064605	ZBTB7A	Island	II
cg02222454	6.50E-09	0.024	1.026	0.930074483	0.90646895	chr3	141762828	141762829	cg02222454	NA	I
cg02226385	2.63E-07	0.008	1.196	0.051383177	0.042973947	chr2	242255838	242255839	2-Sep	Island	II
cg02227036	2.79E-08	0.023	1.025	0.962410917	0.938968283	chr16	50425329	50425330	cg02227036	NA	I
cg02229097	1.58E-09	-0.019	0.706	0.044962624	0.063702498	chr16	11761951	11761952	SNN	Island	I
cg02230811	8.92E-08	-0.053	0.886	0.412112508	0.465272925	chr14	56967892	56967893	cg02230811	NA	II
cg02247183	1.26E-07	-0.007	0.22	0.001966894	0.0089411	chr16	4664062	4664063	FAM100A	Island	I
cg02251315	1.26E-07	-0.022	0.975	0.85605955	0.877630458	chr6	163275952	163275953	PACRG	NA	II
cg02257533	2.47E-07	-0.009	0.782	0.033201454	0.042471788	chr15	43425591	43425592	TMEM62	N_Shore	II
cg02263479	1.31E-07	-0.003	0.662	0.006688842	0.010109252	chr16	2097837	2097838	NTHL1	Island	I
cg02269083	2.41E-07	0.033	1.175	0.222488908	0.1893809	chr18	56296607	56296608	ALPK2	NA	II
cg02270010	5.36E-08	-0.076	0.805	0.312309267	0.387869058	chr5	175958651	175958652	RNF44	NA	I
cg02274263	8.11E-08	-0.016	0.98	0.773794458	0.789906133	chr15	25417786	25417787	SNORD115-2	NA	II
cg02275530	4.09E-08	-0.052	0.939	0.794154208	0.846135025	chr17	59328313	59328314	BCAS3	NA	II
cg02278841	7.13E-09	-0.042	0.834	0.212858083	0.255166433	chr15	38988860	38988861	C15orf53	NA	II
cg02288345	2.33E-07	0.402	1.923	0.836650808	0.435124033	chr5	16895511	16895512	MYO10	NA	II
cg02299950	3.10E-09	-0.025	0.853	0.1475429	0.172928417	chr1	3087637	3087638	PRDM16	NA	II
cg02304584	2.86E-07	-0.168	0.774	0.5738019	0.741480775	chr6	31650790	31650791	cg02304584	Island	II
cg02315926	1.99E-07	-0.031	0.771	0.104103892	0.1350396	chr14	70140384	70140385	KIAA0247	NA	II
cg02317746	2.17E-07	-0.015	0.983	0.912549992	0.927936783	chr3	143258538	143258539	SLC9A9	NA	II
cg02318043	2.81E-07	0.055	1.075	0.789464917	0.73438765	chr10	5302629	5302630	cg02318043	NA	II
cg02319016	1.40E-10	0.052	1.087	0.652033283	0.599684933	chr3	196469777	196469778	PAK2	S_Shelf	II
cg02319354	4.59E-08	-0.022	0.838	0.11462525	0.136731642	chr5	72530186	72530187	cg02319354	S_Shore	I
cg02321062	7.16E-09	-0.051	0.605	0.078796843	0.130242583	chr3	107244746	107244747	BBX	S_Shelf	I
cg02322889	3.60E-08	-0.04	0.952	0.799030267	0.839120492	chr4	25101274	25101275	cg02322889	S_Shelf	II
cg02327465	1.66E-07	-0.009	0.868	0.055730909	0.064237565	chr1	236559257	236559258	EDARADD	Island	II
cg02333875	3.50E-08	-0.039	0.852	0.22649035	0.265716008	chr6	29618205	29618206	cg02333875	S_Shore	II
cg02337583	1.89E-07	-0.014	0.985	0.896254933	0.909807167	chr1	203763498	203763499	ZC3H11A	N_Shore	II
cg02341503	8.59E-08	-0.045	0.941	0.718998808	0.764187067	chr20	45947123	45947124	ZMYND8	NA	II
cg02341578	8.93E-08	-0.012	0.987	0.914671058	0.9264764	chr8	493635	493636	C8orf42	N_Shore	II
cg02347763	1.99E-07	0.017	1.02	0.872743725	0.855936125	chr7	133482628	133482629	EXOC4	NA	II
cg02348116	1.68E-07	0.004	3.589	0.005683287	0.001583475	chr5	89770751	89770752	MBLAC2	Island	I
cg02355653	1.08E-07	-0.242	0.689	0.534651442	0.776234392	chr6	29710830	29710831	LOC285830	NA	II
cg02357755	2.58E-07	-0.004	0.826	0.019866391	0.024060767	chr8	120886845	120886846	DEPDC6	S_Shore	II
cg02359712	2.19E-07	0.056	1.115	0.540055708	0.4841681	chr5	77280597	77280598	cg02359712	NA	II
cg02365517	5.35E-08	-0.029	0.968	0.881351108	0.910243325	chr3	153201856	153201857	C3orf79	NA	II
cg02370022	1.63E-07	0.082	1.217	0.459359692	0.377405567	chr11	68866745	68866746	cg02370022	NA	II
cg02370023	1.02E-08	-0.022	0.975	0.863850233	0.886129508	chr17	80319923	80319924	TEX19	NA	II
cg02372082	8.28E-08	-0.016	0.564	0.020384972	0.036139394	chr10	134211353	134211354	PWWP2B	S_Shore	I
cg02385474	1.41E-07	-0.088	0.854	0.514987175	0.6030203	chr1	233394797	233394798	PCNXL2	NA	II
cg02389040	1.71E-07	-0.169	0.793	0.643919075	0.812425025	chr6	31650786	31650787	cg02389040	Island	II
cg02394908	1.68E-08	-0.011	0.987	0.862257958	0.873599608	chr7	102087746	102087747	ORAI2	NA	II
cg02397579	7.61E-08	-0.016	0.665	0.032354996	0.048631706	chr3	9886090	9886091	RPUSD3	S_Shore	II
cg02409125	3.26E-07	0.055	1.1	0.611061808	0.55572215	chr7	126889555	126889556	GRM8	N_Shore	II
cg02424630	1.97E-07	-0.008	0.572	0.01016122	0.017778085	chr12	118810744	118810745	TAOK3	Island	I
cg02430584	1.65E-07	-0.054	0.923	0.644019967	0.698027225	chr7	102065866	102065867	PRKRIP1	NA	II
cg02447471	3.33E-07	0.03	1.036	0.850911408	0.821000325	chr7	95537015	95537016	DYNC1I1	NA	II
cg02458152	3.15E-07	-0.024	0.973	0.858343392	0.8820435	chr8	49305780	49305781	cg02458152	N_Shelf	II
cg02458602	2.11E-07	-0.029	0.96	0.711528533	0.7408514	chr15	20563473	20563474	cg02458602	N_Shore	II
cg02466349	2.10E-07	-0.053	0.919	0.603992508	0.657160492	chr16	74331660	74331661	PSMD7	S_Shore	II
cg02470690	3.07E-07	-0.026	0.813	0.111348593	0.136966192	chr6	27839548	27839549	cg02470690	N_Shore	II
cg02482346	3.00E-07	-0.027	0.938	0.416329358	0.443742283	chr17	42283972	42283973	UBTF	N_Shelf	II
cg02487654	2.98E-07	-0.003	0.759	0.009666011	0.012728453	chr7	130081063	130081064	TSGA14	Island	I
cg02488934	7.53E-08	-0.077	0.814	0.338612108	0.415837925	chr1	156422580	156422581	cg02488934	N_Shelf	II
cg02497175	3.04E-07	-0.011	0.842	0.057493958	0.068290361	chr17	26368598	26368599	NLK	Island	II
cg02501166	1.44E-08	0.036	1.046	0.814993342	0.778954233	chr12	128866698	128866699	TMEM132C	NA	II
cg02505827	5.92E-08	-0.081	0.713	0.199767783	0.280320908	chr5	68711277	68711278	MARVELD2	Island	I
cg02512505	8.71E-08	-0.01	0.4	0.006824395	0.017060859	chr16	56659552	56659553	MT1E	Island	I
cg02517342	2.55E-08	-0.024	0.971	0.832327475	0.85678365	chr8	68470264	68470265	CPA6	NA	II
cg02525975	1.90E-07	0.013	1.015	0.871445342	0.858274225	chr6	109819236	109819237	AKD1	NA	II
cg02527922	2.06E-09	0.07	1.094	0.822589483	0.752194683	chr2	218775353	218775354	TNS1	NA	II
cg02532725	2.38E-07	-0.011	0.906	0.107316525	0.118463733	chr15	35087506	35087507	ACTC1	NA	II
cg02543519	1.07E-07	0.015	1.018	0.8498345	0.835045442	chr7	157545179	157545180	PTPRN2	NA	I
cg02549555	1.63E-07	0.024	1.486	0.074473548	0.050125295	chr3	197517855	197517856	LRCH3	N_Shore	II
cg02554246	1.29E-07	-0.022	0.691	0.049403498	0.071523051	chr9	120177471	120177472	ASTN2	Island	I
cg02558026	1.27E-07	-0.008	0.788	0.02904453	0.036836544	chr16	30904573	30904574	MIR762	N_Shore	I
cg02571198	1.91E-07	-0.023	0.974	0.85267165	0.875456325	chr3	174021144	174021145	cg02571198	NA	II
cg02573566	6.93E-08	-0.051	0.937	0.750723325	0.801570383	chr1	153599479	153599480	S100A13	NA	II
cg02573873	2.06E-07	0.017	1.019	0.898551283	0.881891342	chr16	81520244	81520245	CMIP	NA	II
cg02574731	3.69E-08	-0.005	0.739	0.013138745	0.017785248	chr1	161510041	161510042	cg02574731	NA	I
cg02583163	2.91E-07	0.245	1.398	0.862930833	0.617455842	chr10	132291878	132291879	cg02583163	NA	I
cg02587993	3.32E-08	0.028	1.034	0.851341533	0.823331375	chr12	92543184	92543185	cg02587993	S_Shelf	II
cg02590295	6.06E-08	-0.007	0.89	0.060227683	0.067635063	chr8	66754114	66754115	PDE7A	Island	II
cg02596508	6.17E-08	0.043	1.065	0.714118358	0.670797158	chr16	29604068	29604069	cg02596508	N_Shore	II
cg02598071	7.68E-09	0.065	1.109	0.6654897	0.600296533	chr2	191271975	191271976	MFSD6	N_Shore	II
cg02601685	3.19E-07	-0.012	0.809	0.048906787	0.060445094	chr17	55055297	55055298	SCPEP1	Island	II
cg02602533	1.12E-07	-0.038	0.953	0.772731983	0.810876592	chr20	25386216	25386217	cg02602533	N_Shelf	II
cg02603726	1.72E-07	-0.006	0.738	0.01740679	0.023587597	chr16	18812963	18812964	ARL6IP1	Island	I
cg02610227	2.46E-08	0.022	1.026	0.899578667	0.877165358	chr19	38801653	38801654	YIF1B	NA	II
cg02610723	3.37E-09	-0.039	0.788	0.146161217	0.185403858	chr16	88850534	88850535	FAM38A	Island	II
cg02616786	1.59E-07	0.048	1.08	0.6507905	0.602645808	chr10	135279147	135279148	LOC619207	S_Shore	II
cg02621030	2.63E-07	0.022	1.024	0.932513083	0.910753217	chr16	29151700	29151701	cg02621030	N_Shore	II
cg02643778	6.69E-09	-0.03	0.935	0.422226617	0.45176995	chr6	47281183	47281184	cg02643778	S_Shelf	II
cg02648170	2.82E-07	-0.064	0.918	0.721264425	0.785558442	chr16	88567905	88567906	ZFPM1	N_Shore	II
cg02649248	4.49E-08	-0.015	0.81	0.065243697	0.080514525	chr10	134914613	134914614	GPR123	S_Shore	II
cg02651638	2.01E-07	-0.011	0.669	0.023185033	0.034647224	chr3	197476335	197476336	FYTTD1	Island	II
cg02660097	2.42E-07	0.072	1.226	0.392134917	0.319739542	chr11	68866761	68866762	cg02660097	NA	II
cg02664479	2.33E-07	-0.038	0.951	0.748736225	0.787025342	chr20	62690218	62690219	TCEA2	S_Shore	II
cg02672854	1.15E-07	-0.011	0.76	0.03343374	0.044015748	chr6	26521696	26521697	HCG11	N_Shore	II
cg02673114	4.67E-08	-0.01	0.862	0.060742318	0.070440258	chr1	95509099	95509100	ALG14	NA	II
cg02673418	2.11E-08	-0.013	0.769	0.042488329	0.05524506	chr20	52790978	52790979	CYP24A1	Island	II
cg02678305	4.74E-08	-0.047	0.891	0.3862544	0.433287642	chr6	30460322	30460323	HLA-E	S_Shelf	II
cg02683873	1.06E-07	-0.029	0.702	0.06816431	0.097168698	chr5	34839063	34839064	TTC23L	Island	II
cg02687543	1.24E-07	-0.03	0.967	0.872908817	0.902492042	chr4	39937921	39937922	PDS5A	NA	II
cg02690969	2.54E-07	-0.005	0.627	0.008754864	0.013968273	chr17	7590615	7590616	WRAP53	N_Shore	I
cg02691019	1.05E-08	0.012	1.254	0.061003787	0.048659308	chr16	86597658	86597659	cg02691019	Island	II
cg02700498	1.79E-08	-0.02	0.77	0.066172719	0.085980822	chr7	16684666	16684667	BZW2	Island	II
cg02704790	1.64E-07	0.018	1.021	0.883805975	0.865818383	chr16	50879053	50879054	cg02704790	S_Shelf	II
cg02707162	2.28E-08	-0.155	0.551	0.191006125	0.346397925	chr19	632675	632676	POLRMT	N_Shore	I
cg02711886	8.52E-09	-0.04	0.915	0.43243175	0.472482792	chr5	177762428	177762429	COL23A1	N_Shore	II
cg02721516	8.97E-08	-0.01	0.591	0.013889986	0.023509405	chr3	122920941	122920942	SEC22A	Island	I
cg02738049	1.33E-07	0.012	1.551	0.034607843	0.022318088	chr15	43663357	43663358	ZSCAN29	Island	I
cg02739870	2.87E-07	-0.069	0.87	0.461850675	0.53095325	chr5	1113320	1113321	SLC12A7	S_Shore	II
cg02758272	3.09E-07	-0.01	0.887	0.078604623	0.088635211	chr19	10530972	10530973	PDE4A	Island	II
cg02758987	8.80E-08	-0.032	0.935	0.461176325	0.493042517	chr7	100080527	100080528	C7orf51	N_Shore	II
cg02761419	2.44E-07	0.031	1.04	0.807231975	0.775995033	chr11	113237068	113237069	TTC12	NA	II
cg02767960	1.21E-07	0.014	1.581	0.038716776	0.024485295	chr2	220435506	220435507	INHA	Island	I
cg02790927	3.37E-07	0.035	1.043	0.847882475	0.812872025	chr6	132277082	132277083	cg02790927	NA	II
