	R2.ESC.hapinfo.txt	R2.ipsNT.hapinfo.txt	R2.tissue.hapinfo.txt	Pvalue
chr14:31952102-31952129	0.208	0.145	0.072	9.02991142097586e-23
chr14:31989897-31989913	0.355	0.17	0.169	8.36085036041671e-41
chr14:31989919-31989943	0.431	0.137	0.118	2.96203129570003e-99
chr14:31989952-31989990	0.473	0.237	0.13	8.60245540275647e-58
chr14:32064435-32064447	1	NA	NA	NA
chr14:32703594-32703627	0.571	0.218	0.201	2.47079466987351e-56
chr14:32714045-32714101	0.676	0.258	0.082	7.41832959719749e-44
chr14:32737841-32738100	0.857	0.229	0.106	2.04483545332435e-40
chr14:32842094-32842120	0.695	0.2	0.246	1.2857410086431e-100
chr14:35212052-35212089	0.436	0.167	0.221	3.79190918796826e-24
chr14:35316143-35316152	1	NA	NA	NA
chr14:35407152-35407216	0.896	0.044	0.174	4.84897670269641e-107
chr14:37692738-37692757	0.832	0.157	0.105	3.00497088942888e-86
chr14:38974198-38974215	0.585	0.176	0.627	3.69316555929105e-72
chr14:41643706-41643714	0.555	0.242	0.639	3.77169579963414e-68
chr14:41706193-41706215	0.681	0.485	0.15	2.37423385666418e-107
chr14:41728736-41728753	0.537	0.284	0.449	7.27747624546923e-39
chr14:41745710-41745758	0.654	0.259	0.558	7.54338677436629e-76
chr14:41761182-41761196	0.257	0.102	0.749	4.97074292590338e-81
chr14:41788994-41789000	0.706	0.128	0.193	5.25416509228058e-133
chr14:41824131-41824292	0.786	0.333	0.108	4.44187838327691e-83
chr14:46064346-46064376	0.239	0.366	0.101	1.39168119278273e-31
chr14:46267476-46267505	0.722	0.094	0.64	1.91230142720873e-119
chr14:46333080-46333103	0.684	NA	0.293	1.59118360177952e-30
chr14:46654030-46654172	0.643	0.141	0.166	2.19892679342305e-50
chr14:47407961-47407973	0.887	NA	NA	NA
chr14:47930459-47930490	0.475	NA	0.302	3.19079998221275e-12
chr14:48039669-48039751	0.166	0.501	0.363	1.60196906864484e-25
chr14:48039791-48039857	0.325	0.049	0.437	6.18623285045479e-59
chr14:48456142-48456192	0.728	0.238	0.041	3.84371463243793e-131
chr14:48775013-48775028	0.657	0.366	0.519	6.15950174080059e-39
chr14:48872343-48872417	0.635	0.018	0.154	7.48672032139066e-77
chr14:49315583-49315621	0.493	0.4	0.162	1.29714954572855e-22
chr14:49588662-49588680	0.388	0.178	0.106	1.30914517543828e-44
chr14:49588704-49588731	0.445	0.138	0.033	1.28338870264965e-55
chr14:50336160-50336326	0.764	0.119	0.322	1.05031051600899e-91
chr14:51413414-51413429	0.906	0.053	0.119	2.32091221689921e-185
chr14:52933447-52933486	0.284	0.094	0.128	3.60159647549886e-12
chr14:52933740-52933811	0.382	0.428	0.299	8.10918543243012e-19
chr14:52934057-52934143	0.575	0.044	0.349	2.66912018266228e-73
chr14:52934255-52934287	0.318	0.039	0.463	3.11130998643917e-69
chr14:54692110-54692298	0.656	0.554	0.508	1.71499368664861e-24
chr14:55035671-55035688	0.097	0.071	0.123	0.0331715540315987
chr14:55192694-55192735	0	0.178	0.305	3.22303700505089e-19
chr14:55214203-55214231	0.155	0.269	0.39	4.08294403740158e-12
chr14:55250902-55250944	0.192	0.165	0.065	4.16880350266635e-20
chr14:55250995-55251078	0.032	0.092	0.031	3.13880341828705e-34
chr14:55251083-55251156	0.07	0.07	0.03	2.81055157735323e-15
chr14:55251163-55251324	0.06	0.253	0.076	1.91419146077838e-56
chr14:55413674-55413688	0.603	0.319	0.316	6.42583509325616e-56
chr14:55696707-55696726	0	0.384	0.221	3.50260037019609e-39
chr14:55697091-55697151	0	0.001	0.287	1.13064963998961e-45
chr14:55776397-55776412	0.604	0.23	0.455	8.27351731517397e-61
chr14:56252873-56252894	0.622	0.346	0.217	2.96161229303322e-25
chr14:56252916-56252938	0.558	0.33	0.032	1.45982379267532e-95
chr14:56328245-56328275	0.467	0.388	0.108	3.12878473407358e-43
chr14:56894607-56894694	0.575	NA	0.518	2.51448190067621e-35
chr14:57505035-57505053	1	NA	NA	NA
chr14:57703163-57703175	0.634	0.048	0.422	4.58682742628228e-116
chr14:57712440-57712465	0.643	0.14	0.039	1.80990511151841e-147
chr14:58161156-58161196	0.134	0.218	0.258	2.29147856234245e-10
chr14:58161251-58161299	0.329	0.204	0.239	2.62247733539307e-05
chr14:58161309-58161319	0.405	0.015	0.181	3.31472564126974e-34
chr14:58161332-58161350	0.316	0.003	0.204	7.21467996703865e-55
chr14:58161386-58161397	0.2	0.003	0.295	4.83013296548207e-37
chr14:58161455-58161471	0.248	0.054	0.23	3.68470248764899e-15
chr14:58318585-58318605	0.177	0.191	0.036	1.70827037253973e-26
chr14:58318649-58318675	0.09	0.016	0.009	1.01205272816355e-30
chr14:58318748-58318788	0.098	0.139	0.028	8.94977003856252e-15
chr14:58322641-58322796	0.675	0.28	0.182	2.60357178811752e-49
chr14:58509340-58509363	1	NA	NA	NA
chr14:59512897-59512925	0.569	NA	NA	NA
chr14:59989393-59989488	0.522	0.483	0.066	6.89430083952467e-77
chr14:59989611-59989679	0.401	0.236	0.257	2.63370286815759e-15
chr14:60550264-60550282	0.788	0.445	0.336	1.31773174513852e-54
chr14:61262111-61262177	0.407	0.17	0.297	3.55746697519545e-27
chr14:61274623-61274669	0.559	0.318	0.415	9.77434709424535e-27
chr14:61368827-61368845	0.714	0.147	0.428	7.92895770316768e-146
chr14:61458572-61458620	0.64	0.301	0.239	2.8557110614376e-65
chr14:61469112-61469150	0.611	0.216	0.437	8.44530123129152e-90
chr14:61469166-61469212	0.612	0.176	0.554	1.87361256577768e-90
chr14:61494073-61494211	0.65	0.216	0.095	1.47343170279629e-61
chr14:61513857-61513870	0.648	0.265	0.372	4.08700562229124e-71
chr14:61515286-61515480	0.483	0.291	0.317	4.59523516373564e-59
chr14:61612420-61612449	0.588	0.15	0.57	6.63712004223936e-103
chr14:61614785-61614842	0.704	0.187	0.069	2.40488736557851e-85
chr14:61633504-61633564	0.598	0.236	0.37	3.67065625969946e-26
chr14:62175563-62175585	NA	NA	1	NA
chr14:62223734-62223780	0.59	NA	0.076	4.59591970322501e-97
chr14:62223828-62223849	0.618	NA	0.229	1.56561515880047e-43
chr14:62407795-62407898	0.548	0.177	0.319	1.47375292842023e-14
chr14:62409314-62409331	0.66	0.297	0.364	1.10790900955354e-53
chr14:62584965-62585193	0.624	NA	NA	NA
chr14:63206184-63206193	0.092	0.115	0.191	2.74800430830131e-08
chr14:63206265-63206303	0.17	0.139	0.067	4.70852493034258e-15
chr14:63206389-63206405	0.331	0.111	0.097	1.49958418582933e-47
chr14:63554327-63554341	0.785	0.281	0.217	1.83689278881752e-89
chr14:63644400-63644416	0.576	0.424	0.071	1.0445673234001e-93
chr14:65478462-65478512	0.752	0.198	0.065	7.94380587111812e-140
chr14:67487624-67487651	1	NA	NA	NA
chr14:67569852-67569860	0.588	0.193	0.094	1.60317817136378e-73
chr14:67735786-67735867	0.686	0.045	0.634	2.92890336639466e-116
chr14:68471125-68471141	0.694	0.059	0.466	1.85109879131384e-111
chr14:68478744-68478945	0.723	0.49	0.105	9.84111981839024e-82
chr14:68508141-68508178	0.467	0.181	0.155	5.49608587594109e-40
chr14:68741720-68741735	0.506	0.437	0.452	1.13313973242358e-14
chr14:68742675-68742691	0.693	0.641	0	1.53800369406772e-33
chr14:68742743-68742759	0.706	0.369	0	1.9470393890179e-42
chr14:68742910-68742919	0.675	0.214	NA	3.03738696725784e-07
chr14:70180286-70180303	0.595	0.335	0.59	9.8851826907837e-69
chr14:70180353-70180366	0.54	0.404	0.467	1.29925966133173e-15
chr14:71037363-71037385	0.405	0.256	0.211	1.23391063631032e-30
chr14:73109391-73109401	1	NA	NA	NA
chr14:73242407-73242424	0.668	0.11	0.199	9.87522870372214e-101
chr14:73924867-73924913	0.915	0.49	NA	3.30754108534494e-21
chr14:73924939-73924954	0.748	0.691	NA	2.8011398888432e-12
chr14:73924972-73925000	0.795	0.678	NA	6.71408910448356e-38
chr14:75376339-75376343	0.455	0.357	0.623	3.93608174692712e-28
chr14:75454618-75454638	0.639	0.148	0.637	8.07596777151592e-146
chr14:75579773-75579793	0.606	0.413	0.625	3.58841820014143e-20
chr14:75770210-75770244	0.732	0.253	0.121	2.70276819069004e-79
chr14:76173388-76173401	0.63	0.167	0.416	2.32427628440268e-62
chr14:76245175-76245186	1	NA	NA	NA
chr14:76262123-76262129	0.561	0.412	0.585	0.000939794210830903
chr14:76331106-76331141	0.43	NA	0.001	5.7790594155612e-124
chr14:76331143-76331180	0.454	0.351	0.064	1.3885063603926e-66
chr14:76825730-76825771	0.349	0.141	0.188	2.60709566417858e-13
chr14:76825954-76826033	0.401	0.275	0.072	1.19310622097708e-68
chr14:76886833-76886896	0.662	0.173	0.11	4.77213865458119e-94
chr14:76887747-76887767	0.441	0.348	0.406	1.17214367153703e-09
chr14:76887775-76887811	0.558	0.256	0.181	1.66150251399868e-64
chr14:76892845-76892962	0.685	0.027	0.071	2.95247081693546e-96
chr14:76894695-76894729	0.383	0.362	0.104	2.31578892893375e-40
chr14:76906560-76906602	0.501	NA	0.56	0.0126143087575977
chr14:76915106-76915126	0.201	0.227	0.06	1.32642396945366e-30
chr14:76931033-76931247	0.528	0.132	0.037	3.80076442141657e-39
chr14:77080934-77080959	0.608	0.24	0.252	1.73433789236834e-65
chr14:77920535-77920647	0.609	0.337	0.078	1.82458820425658e-74
chr14:77920908-77920985	0.51	0.348	0.07	1.54363687283234e-66
chr14:78032443-78032511	0.757	0.53	0.044	9.23891659099822e-96
chr14:78636723-78636906	0.657	0.248	0.127	6.53940166766035e-63
chr14:78847983-78848030	0.563	0.474	0.011	9.95449826924138e-71
chr14:79053504-79053524	0.716	0.084	0.001	1.80064541125376e-198
chr14:79558023-79558039	0.635	0.138	0.533	1.23075989552136e-103
chr14:79598163-79598222	0.608	0.368	0.009	1.35792411644725e-157
chr14:79613385-79613430	0.459	NA	0.075	3.72583012152011e-40
chr14:79827287-79827331	0.224	NA	0.033	8.29342080920562e-22
chr14:79973128-79973194	0.572	NA	0.083	5.63885828242252e-68
chr14:79988694-79988741	0.238	0.119	0.3	3.80280789776506e-14
chr14:86889479-86889505	0.288	0.656	0.679	1.13849718493022e-72
chr14:87479718-87479957	0.73	0.356	0.333	0.000429089847608896
chr14:8774099-8774115	0.638	0.497	0.346	1.8752996758935e-58
chr14:87854770-87854889	0.714	0.38	0.088	5.0838609470052e-56
chr14:8981430-8981501	0.319	0.524	0.19	7.75221861920427e-23
chr14:99356283-99356301	0.558	0.254	0.624	2.620383907889e-17
chr14:99498760-99498774	1	NA	NA	NA
chr14:99602543-99602625	0.515	0.283	0.135	1.40600170063479e-24
chr14:99605969-99605999	0.406	0.301	0.561	4.53345989357633e-17
chr14:99661236-99661272	0.667	0.233	0.319	6.44705531473438e-82
chr14:99665069-99665122	0.616	0.299	0.706	7.20346783309902e-91
chr14:99693796-99693835	0.525	0.249	0.515	1.04880286218572e-44
chr14:99701273-99701324	0.412	NA	0.412	0.891991634314747
chr14:99709389-99709408	0.52	0.297	0.43	1.57278733448945e-50
chr14:99709472-99709486	0.519	0.35	0.449	6.37315984647746e-22
chr14:99712419-99712517	0.588	0.537	0.184	1.85368479212544e-45
chr14:99786748-99786780	0.35	0.49	0.031	2.72586518686977e-59
chr14:99921014-99921027	0.688	0.243	0.408	1.51437322892953e-108
chr14:99978141-99978157	0.638	0.291	0.582	2.6838601140819e-86
chr15:100084109-100084124	0.659	0.355	0.089	1.90198904869405e-89
chr15:100111333-100111338	0.176	0.176	0.187	0.0228802578084107
chr15:100247328-100247403	0.539	NA	NA	NA
chr15:100319881-100319911	0.76	0.228	0.352	1.48603643471716e-102
chr15:100351046-100351070	0.555	0.284	0.227	9.53462850685676e-39
chr15:100883360-100883371	0.333	NA	0.409	4.67978854852312e-06
chr15:100883782-100883793	0.177	0.001	0.69	3.22025843961443e-74
chr15:100884319-100884343	0.439	0.001	0.607	1.04121885740339e-70
chr15:100984084-100984162	0.571	0.067	0.058	6.10723895082004e-120
chr15:100998083-100998089	0.722	0.233	0.386	6.96074275007176e-95
chr15:101061990-101062011	0.223	0.173	0.384	1.94484088734768e-29
chr15:101062026-101062053	0.223	0.03	0.223	1.14808051216366e-26
chr15:101062056-101062072	0.222	0.014	0.196	6.31514410561819e-33
chr15:101062082-101062107	0.132	0.015	0.24	7.17811892040432e-06
chr15:101062143-101062166	0.099	0.145	0.297	6.14711850067119e-08
chr15:101062182-101062193	0.204	0.001	0.296	1.27221722779669e-14
chr15:101062214-101062267	0.255	0.062	0.464	4.76692026164221e-25
chr15:101062344-101062378	0.066	0.193	0.228	9.57930480717022e-16
chr15:101062404-101062450	0	0.074	0.309	3.69896061269924e-22
chr15:101937569-101937625	0	NA	0.472	1.73877845901793e-49
chr15:102006284-102006342	0.401	0.265	0.296	8.72965973883384e-08
chr15:102009413-102009421	0.331	0.124	0.058	5.41128047854501e-41
chr15:102009479-102009484	0.302	0.31	0.063	2.46650634971038e-56
chr15:102009951-102009992	0.309	0.294	0.018	2.82012723187439e-48
chr15:102044988-102045005	0.444	0.391	0.055	3.11077439864512e-59
chr15:102071435-102071460	0.58	0.295	0.415	1.64218989808693e-40
chr15:102238278-102238296	0.4	0.331	0.265	0.0219884605097476
chr15:10397280-10397393	0.812	0.213	0.038	6.20450964923101e-110
chr15:10400222-10400243	1	NA	NA	NA
chr15:10504615-10504630	0.596	0.001	0.044	2.08276260133559e-171
chr15:10528651-10528659	0.448	0.232	0.38	6.06572372855316e-35
chr15:10528673-10528706	0.329	0.491	0.345	1.21114885839423e-14
chr15:10562889-10562903	0.755	0.134	0.094	3.53093976139115e-119
chr15:10562916-10562969	0.748	0.194	0.107	9.96158875235088e-88
chr15:10595398-10595572	0.648	0.448	0.456	4.71607254209475e-15
chr15:10616160-10616174	0.473	0.36	0.547	8.24027791082773e-27
chr15:10620116-10620135	0.478	0.291	0.664	6.07628466342293e-81
chr15:11321842-11321860	0.68	0.169	0.083	3.85469061964744e-142
chr15:11968542-11968573	0.445	0.216	0.057	5.2315094716609e-74
chr15:12128096-12128147	0.443	1	0.012	3.2959301835106e-129
chr15:12128160-12128192	0.486	0.127	0.38	0.00208738539727984
chr15:12161168-12161219	0.532	0.339	0.059	2.62012340871765e-59
chr15:12413811-12413896	0.433	1	0.274	3.75352759808884e-22
chr15:12763171-12763192	0.457	0.308	0.169	9.65144760678732e-25
chr15:12763608-12763637	0.17	0.121	0.008	2.47693971094853e-37
chr15:12763680-12763753	0.095	0.145	0.067	3.79323968542629e-09
chr15:12763785-12763861	0.399	0.136	0.042	7.27381059069265e-54
chr15:12763897-12763961	0.468	0.295	0.091	7.95474052559109e-36
chr15:12764080-12764099	0.274	0.009	0.2	8.80627989860057e-22
chr15:12764217-12764246	0.459	0.347	0.139	5.99441510495593e-36
chr15:12764259-12764319	0.343	0.091	0.066	1.5834752090879e-64
chr15:12764349-12764391	0.437	0.264	0.181	6.9741586775424e-41
chr15:12855850-12855873	0.402	0.185	0.061	9.32958865323875e-51
chr15:12935813-12935850	0.647	0.227	0.16	7.75811751641178e-99
chr15:25221193-25221220	0.504	0.272	0.578	9.52534087117782e-65
chr15:25261754-25261802	0.094	0.237	0.115	2.01985636405758e-18
chr15:25293994-25294009	0.22	NA	0.73	5.32247230413738e-36
chr15:25294108-25294115	0.075	NA	0.635	6.34092071025269e-30
chr15:25294172-25294180	0.14	0.001	0.668	1.09661327189266e-45
chr15:25294201-25294210	0	0.001	0.648	4.94907551695437e-77
chr15:25294262-25294268	NA	NA	0.579	NA
chr15:25294402-25294427	NA	NA	0.57	NA
chr15:25295154-25295176	0.059	0.285	0.484	1.08031056940233e-64
chr15:25389235-25389263	0.628	0.229	0.566	4.42488300247328e-37
chr15:25562773-25563024	0.801	0.138	0.706	1.30242009056777e-104
chr15:25615294-25615434	0.703	0.249	0.383	2.52833622638789e-62
chr15:25643627-25643648	0.191	0.136	0.718	3.07337721854056e-112
chr15:25643656-25643686	0.09	0.217	0.552	1.30265255832958e-58
chr15:25643830-25643848	0.25	0.137	0.608	4.35796762739512e-99
chr15:25643884-25643905	0.392	0.224	0.446	7.31129447583488e-14
chr15:25652087-25652128	0.608	0.154	0.043	1.55355620215035e-75
chr15:25681361-25681472	0.414	0.304	0.067	4.07845070017784e-49
chr15:25688627-25688673	0.72	0.064	0.459	1.12726756046919e-53
chr15:25688719-25688786	0.581	0.197	0.452	0.00946281399375474
chr15:25691374-25691420	0.143	0.034	0.137	0.0453655632900738
chr15:25692385-25692447	0.547	0.28	0.287	4.87219626940828e-20
chr15:25703668-25703696	NA	0.493	0.579	1.0539563872188e-10
chr15:25710413-25710465	0.555	0.351	0.102	1.62303167392299e-79
chr15:25710845-25710900	0.329	0.228	0.048	7.03801564560477e-66
chr15:25710907-25711002	0.435	0.231	0.108	9.15870870024477e-56
chr15:25711015-25711046	0.47	0.285	0.04	9.538332523768e-87
chr15:25711066-25711111	0.395	0.35	0.162	1.82241164981414e-34
chr15:25711168-25711256	0.453	0.181	0.045	6.29617857750976e-102
chr15:25711260-25711302	0.331	0.178	0.016	2.15954599610653e-90
chr15:25711327-25711350	0.29	0.203	0.11	1.7250688829947e-11
chr15:25711413-25711444	0.269	0.356	0.028	2.36651663355351e-92
chr15:25711474-25711543	0.346	0.32	0.124	1.80474588223611e-40
chr15:25711558-25711589	0.502	0.171	0	1.32783691333935e-116
chr15:25715753-25715780	0.661	0.178	0.297	1.49616807137931e-99
chr15:25723623-25723873	0.718	0.386	0.278	1.94617923207471e-43
chr15:25806396-25806404	0.663	0.196	0.259	6.74633679302888e-95
chr15:25827617-25827629	0.605	0.02	0.469	2.98969092977497e-120
chr15:25832809-25832832	0.625	0.247	0.36	1.67984777555229e-94
chr15:25833160-25833228	0.389	NA	0.016	1.47067315933478e-62
chr15:25834458-25834494	0.726	0.052	0.532	4.17640415840568e-117
chr15:25836528-25836546	0.751	0.049	0.355	3.63473487546114e-62
chr15:25853886-25853898	0.571	0.372	0.553	2.28872905741504e-18
chr15:25856496-25856601	0.566	0.008	0.009	1.43021441829736e-134
chr15:25862996-25863011	0.652	0.289	0.411	8.40690526236686e-67
chr15:25873691-25873701	0.684	0.05	0.517	5.85735700912315e-138
chr15:25884085-25884133	0.626	0.1	0.022	2.71805205454583e-47
chr15:27406095-27406125	0.447	0.311	0.218	2.67656482200686e-27
chr15:27406200-27406250	0.283	0.382	0.238	3.28827769952275e-13
chr15:27438109-27438124	0.708	0.039	0.546	2.93463239033457e-131
chr15:27438781-27438824	0.611	0.25	0.535	3.68399862901864e-39
chr15:27677698-27677714	0.493	0.34	0.126	5.31416482442779e-47
chr15:27715608-27715641	0.566	0.115	0.519	1.0483517097329e-65
chr15:27716468-27716497	0.614	0.285	0.492	1.45219254045389e-27
chr15:27835013-27835041	0.394	0.194	0.029	5.09372073806322e-57
chr15:27835068-27835129	0.32	0.429	0.242	4.8235243777857e-11
chr15:27873666-27873699	0.597	0.135	0.588	5.33815050528329e-63
chr15:28111714-28111735	0.63	0.242	0.648	6.19471346724494e-93
chr15:30013615-30013761	0.482	0.503	0.168	4.87058948755706e-35
chr15:30592758-30592825	0.697	0.442	0.217	9.37893754270423e-85
chr15:31285386-31285398	0.49	0.286	0.428	1.0306558620756e-26
chr15:3235028-3235271	0.738	0.008	0.413	4.77693136803527e-23
chr15:33967162-33967192	0.343	0.239	0.115	7.83888862999826e-35
chr15:33967209-33967234	0.354	0.251	0.055	3.02252703905953e-59
chr15:34299173-34299395	0.633	0.331	1	2.23624706619737e-67
chr15:34799476-34799516	0.638	0.498	0.184	9.36543417161512e-72
chr15:36415701-36415706	0.538	0.188	0.696	4.91213254147583e-118
chr15:36750028-36750055	0.714	0.093	0.53	4.53245115645349e-135
chr15:36922074-36922107	0.543	0.167	0.182	7.87876642262147e-75
chr15:36936901-36936915	0.83	0.796	NA	4.82186900632501e-22
chr15:37209271-37209329	0.336	0.098	0.017	1.32187687077048e-80
chr15:37388964-37389123	0.499	0.172	0.743	1.84120489365281e-23
chr15:38448439-38448445	1	NA	NA	NA
chr15:38492630-38492644	0.674	0.366	0.648	2.04831576279968e-61
chr15:39585970-39585976	0.625	0.284	0.227	2.10451916726631e-43
chr15:39585996-39586015	0.69	0.262	0.236	6.02765079641047e-69
chr15:39775553-39775593	1	NA	NA	NA
chr15:41509301-41509323	0.773	0.548	0.516	4.00802069456973e-25
chr15:4959929-4959942	0.699	0.151	0.601	4.17774509676647e-95
chr15:5058140-5058152	0.555	0.419	0.638	5.78240673279751e-46
chr15:50709872-50710120	0.833	0.407	0.45	8.34107271881583e-19
chr15:50719554-50719595	0.487	0.172	0.597	8.97129610976445e-82
chr15:50804239-50804258	0.653	0.135	0.508	6.26545149069359e-87
chr15:53008417-53008433	0.018	0.053	0.198	1.46131060151044e-12
chr15:53090148-53090165	0.48	0.122	0.704	1.14602514565482e-113
chr15:53142478-53142496	0.162	0.15	0.5	9.74946750704984e-19
chr15:54974467-54974484	0.546	0.244	0.657	3.17165422681591e-112
chr15:54975677-54975748	0.599	0.164	0.245	2.22830854820464e-43
chr15:57003140-57003334	0.643	0.33	0.053	1.04847687163526e-47
chr15:57571623-57571646	0.659	0.171	0.23	3.71180464230003e-117
chr15:58155603-58155634	0.557	0.245	0.531	2.8562879946138e-56
chr15:58184325-58184332	0.6	0.174	0.268	5.26073505558588e-63
chr15:58250197-58250430	0.747	0.422	0.062	2.86527056423723e-20
chr15:58564974-58565170	0.598	0.326	0.215	5.80617201162017e-46
chr15:58828765-58828781	0.616	0.31	0.505	3.2365626957875e-35
chr15:58829914-58829958	0.636	0.215	0.382	9.05736826316143e-61
chr15:58830019-58830039	0.681	0.132	0.379	2.23619282804643e-95
chr15:58886327-58886483	0.638	0.36	0.726	1.28216730721142e-54
chr15:58886493-58886505	0.642	0.373	0.687	1.32433202852003e-41
chr15:58889146-58889218	0.621	0.292	0.082	1.02268176739738e-60
chr15:58889848-58889902	0.655	0.254	0.291	1.92450548829324e-67
chr15:58899902-58899937	0.444	0.229	0.188	7.0837126629487e-36
chr15:58914493-58914521	0.151	0.217	0.284	0.0322506993610198
chr15:58919808-58919929	0.571	0.44	0.129	1.04265800298762e-23
chr15:59110568-59110586	0.509	0.256	0.803	1.36907058352505e-96
chr15:59512014-59512028	0.537	0.239	0.616	1.96817507101152e-76
chr15:59627335-59627349	0.462	0.005	0.575	8.50874583229907e-154
chr15:5985059-5985076	0.689	0.277	0.07	9.26547928234781e-120
chr15:5985432-5985481	0.702	0.361	0.108	2.85525150659441e-86
chr15:61372467-61372584	0.583	0.155	0.576	1.84591833895521e-33
chr15:61742550-61742596	0.519	0.037	0.173	4.16824002045356e-75
chr15:61818663-61818690	1	NA	NA	NA
chr15:61873518-61873572	0.515	0.378	0.348	8.79885484428172e-18
chr15:61881301-61881320	0.327	0.165	0.465	1.85154722565341e-49
chr15:61919306-61919370	0.24	0.365	0.147	6.02330255446925e-29
chr15:61925083-61925112	0.042	0.054	0.024	9.51385568944821e-09
chr15:61988873-61988909	0.691	0.084	0.537	5.11228051366023e-104
chr15:62051011-62051018	0.533	0.082	0.138	2.86877550304301e-37
chr15:63859748-63859807	0.802	0.03	0.135	4.82986025945381e-159
chr15:63885136-63885271	0.645	0.114	0.243	1.67399823511289e-66
chr15:63924890-63925157	0.849	0.084	0.216	2.10149534751484e-22
chr15:63973558-63973584	0.219	0.233	0.123	2.07665582502333e-11
chr15:65705052-65705079	0.53	1	0.274	3.75704943648095e-133
chr15:6604071-6604135	0.71	NA	0.243	3.13974782055611e-41
chr15:6604141-6604151	0.555	NA	0.255	9.48196442106161e-32
chr15:66793411-66793429	0.448	0.337	0.64	2.61021288350395e-46
chr15:6697204-6697237	0.364	0.18	0.075	1.42111333378602e-76
chr15:69355021-69355144	0.668	0.161	0.329	2.66289928937845e-41
chr15:69893587-69893779	0.656	0.192	0.284	4.50817359979062e-56
chr15:6993492-6993527	0.636	0.335	0.033	1.20304299033733e-72
chr15:7087864-7087881	0.658	0.221	0.499	3.14024482971219e-101
chr15:7092037-7092043	0.715	0.056	0.329	1.09641704173315e-114
chr15:7099911-7099941	0.536	0.492	0.205	5.51537014290391e-60
chr15:7099977-7099985	0.562	0.333	0.225	9.5037827871547e-36
chr15:71837372-71837392	0.367	0.201	0.051	1.145479008531e-43
chr15:7239815-7239828	0.735	0.285	0.349	1.2780919767335e-73
chr15:72639553-72639622	0.605	0.415	0.776	7.10949847813147e-37
chr15:72639700-72639715	0.332	0.616	0.779	1.98141913300567e-92
chr15:72639827-72639848	0.259	0.628	0.782	2.60003268857342e-111
chr15:72639947-72640029	0.361	0.84	0.731	7.14045555161357e-146
chr15:72640041-72640055	0.281	0.629	0.845	3.58642761324086e-139
chr15:72640135-72640223	0.373	0.687	0.831	4.43757939484652e-144
chr15:72640309-72640374	0.326	0.659	0.82	1.68456362557456e-131
chr15:72640396-72640430	0.296	0.706	0.858	7.33006997967839e-127
chr15:72640450-72640494	0.431	0.796	0.814	5.55774578554989e-128
chr15:72640525-72640545	0.398	0.516	0.767	5.6709227535287e-90
chr15:72640712-72640750	0.232	0.896	0.845	2.56147622045693e-185
chr15:72640846-72640885	0.346	0.756	0.775	2.16019395418733e-112
chr15:72640943-72640969	0.208	0.692	0.862	2.49430294748085e-165
chr15:72641098-72641150	0.434	0.787	0.773	6.29198580223532e-114
chr15:72641432-72641469	0.138	0.517	0.801	1.03363459753433e-138
chr15:72743782-72743806	0.492	NA	0.062	2.11914260852014e-64
chr15:72812587-72812723	0.526	0.072	0.327	1.99221212946582e-27
chr15:72933031-72933050	0.681	0.293	0.42	2.61696177980271e-85
chr15:72961382-72961400	0.619	0.072	0.082	2.03631112788091e-72
chr15:72976911-72976927	0.716	0.049	0.449	6.64019226958268e-96
chr15:72985290-72985298	0.668	0.334	0.491	1.43554956572234e-37
chr15:73363709-73363722	0.57	0.286	0.389	2.1659341610503e-58
chr15:73401793-73401810	0.669	0.205	0.476	2.34287171973037e-60
chr15:74551643-74551669	0.664	NA	NA	NA
chr15:74748748-74748842	0.659	0.026	0.378	2.20518614713026e-86
chr15:74751848-74751869	0.622	0.014	0.58	2.38740136132096e-179
chr15:74788794-74788809	0.619	0.133	0.6	1.04463088417835e-120
chr15:75426632-75426770	0.592	0.332	0.323	3.28256016700744e-22
chr15:75477094-75477134	0.409	0.197	0.255	2.54569159749287e-25
chr15:75686411-75686510	0.565	NA	0.038	1.6675451819682e-50
chr15:75805339-75805368	0.244	0.16	0.024	4.1252588854618e-35
chr15:75805417-75805458	0.385	0.099	0.048	1.25619709801563e-73
chr15:75833904-75833925	0.327	0.284	0.815	6.84368018212597e-103
chr15:76004217-76004268	0.531	0.146	0.001	3.64555351007015e-75
chr15:76010102-76010115	0.03	0.099	0.11	4.85495804761182e-23
chr15:76010140-76010210	0.03	0.104	0.023	1.35015782016188e-44
chr15:76010299-76010335	0.112	0.057	0.129	2.22457867041501e-13
chr15:76010362-76010385	0.073	0.2	0.061	5.60772377248692e-21
chr15:76010407-76010466	0.13	0.042	0.08	4.76347174500629e-15
chr15:76010508-76010524	0.115	0.059	0.082	1.50003263023691e-11
chr15:76010556-76010614	0.214	0.156	0.08	1.930685245613e-20
chr15:76010620-76010660	0.065	0.066	0.002	1.05188256884502e-33
chr15:76010692-76010756	0.08	0.083	0.047	0.00148793953725921
chr15:76010770-76010833	0.038	0.127	0.071	4.2855921829543e-08
chr15:76010989-76011037	0.079	0.034	0.069	0.0546057176728035
chr15:76011212-76011260	0.11	0.094	0.055	1.62188822446782e-06
chr15:76011354-76011365	0.085	0.005	0.013	2.93253509264046e-11
chr15:76011475-76011508	0.069	0.144	0.013	3.29864078851383e-30
chr15:76011553-76011628	0.09	0.044	0.026	0.00567058780364691
