	chr	start	end	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea
Block_193	2	128600528	131143719	0.00623557531078371	1.47783134865574	33	151640	151876	237	518	0.000551584314134721	0.05	0.0280413539158759	0.492
Block_194	5	70681227	74722269	0.0056841120037013	2.74542609778773	71	220527	221009	483	2650	0.000795076488842841	0.052	0.00973471776026953	0.296
Block_195	2	88301542.5	89545254	0.00670136489196118	0.79746242214338	22	148088	148206	119	119	0.000385115174283251	0.052	0.0690126392315586	0.704
Block_196	6	117016617	121252563	0.00613635821594603	1.51568047933867	87	243701	243947	247	6089	0.00065345348926771	0.054	0.0268586776387222	0.484
Block_197	10	24283390	26911451	0.00615598682975953	1.48359282597205	137	31226	31466	241	2154	0.000643515033157174	0.054	0.0278550078638034	0.49
Block_198	7	41525	213539.75	0.00801329690935818	0.328545173283685	88	249662	249702	41	41	0.000171438367906738	0.054	0.198461030071284	0.95
Block_199	2	136651489	144444491	0.0056761035850703	2.55424661328163	35	152347	152796	450	5305	0.00085222261147842	0.056	0.011041624738805	0.32
Block_200	2	132919865	136034396	0.00586320734312697	2.0228065333788	35	151951	152295	345	5305	0.00077519957662177	0.056	0.0165847986344561	0.376
Block_201	18	74600727	77001454	0.00615594396159752	1.37893144739784	207	131487	131710	224	1186	0.000675815015516415	0.056	0.0312017829590262	0.504
Block_202	4	163407197	164433153	0.0078539134251383	0.32201045043067	62	212485	212525	41	561	0.000201253736238344	0.056	0.202766866181173	0.954
Block_203	3	18929965	27405033	0.00554451348736125	3.03839339107397	38	182889	183436	548	3566	0.000919307190224535	0.058	0.00799548794092582	0.276
Block_204	1	111625492	114950194.333333	0.00569035797117934	2.4525442855783	7	14442	14872	431	1629	0.000854707225506054	0.058	0.011747255122653	0.324
Block_205	4	36196656	39689171	0.00568911390045642	2.45200809109672	56	203798	204228	431	1023	0.000857191839533688	0.058	0.0117497397366806	0.324
Block_206	6	45399681	48785333	0.00571422881263003	2.0742650589847	74	238992	239354	363	4853	0.000956576400639043	0.058	0.0158468682682489	0.37
Block_207	21	30359170	34818308	0.00552640024198093	3.04504653333149	218	172251	172801	551	3066	0.000946637944528507	0.06	0.00796815718662184	0.276
Block_208	3	115485166	120561170	0.00568670551789536	2.42253655062343	49	191411	191836	426	1516	0.000879553365782393	0.06	0.0119683857711124	0.326
Block_209	16	29634191	31906326	0.00602849493346856	1.55535169283489	191	107287	107544	258	258	0.000772714962594136	0.06	0.0256958782737896	0.47
Block_210	4	56534223	59366040	0.0061986597382126	1.20253998921325	59	205345	205538	194	587	0.000770230348566502	0.06	0.0385959943052646	0.552
Block_211	7	57207963.5	57881100	0.00938500533745385	0.234625133436346	90	255863	255887	25	25	9.93845611053551e-05	0.06	0.274015658037602	0.988
Block_212	6	139421395	152730130	0.00488626459346178	7.09974245429997	87	245755	247207	1453	6089	0.000824891857174447	0.062	0.00162245296004492	0.126
Block_213	4	24541036	26624784	0.00595257550932889	1.68457886914008	54	203241	203523	283	1466	0.000844768769395518	0.062	0.0224956954061971	0.446
Block_214	3	89901227	90257020	0.0119350266589215	0.119350266589215	45	189614	189623	10	10	7.95076488842841e-05	0.062	0.451779853258696	1
Block_215	15	38164845	43099438	0.00511351812279106	4.1726307881975	185	94588	95403	816	6498	0.00120752241743006	0.064	0.0044300668112712	0.204
Block_216	18	19431419	21612339	0.0058818788087955	1.6939810969331	204	127003	127290	288	676	0.00092924564633507	0.064	0.0222894724419035	0.44
Block_217	2	158406148	168407472	0.00498970904849239	4.66038825129189	35	153904	154837	934	5305	0.00122739932965114	0.066	0.00352815191924011	0.182
Block_218	18	95601	2480793	0.00630270517527086	0.894984134888462	202	125518	125659	142	1409	0.000767745734538868	0.066	0.0588952909110334	0.674
Block_219	10	64140003	64875536	0.00661811523912944	0.628720947717296	145	34466	34560	95	752	0.000551584314134721	0.066	0.0943706099975899	0.778
Block_220	2	204357716	213866453	0.00499689116502451	4.57715230716245	37	158186	159101	916	6271	0.00126218392603801	0.068	0.00368219798895341	0.184
Block_221	4	10764645	15503662	0.00574410312461993	1.79216017488142	54	202334	202645	312	1466	0.00108080710202074	0.068	0.0203415350442386	0.43
Block_222	10	60458074	62719199	0.00585376853001318	1.66832403105376	145	34001	34285	285	752	0.00100129945313645	0.068	0.0228211798438172	0.446
Block_223	17	18601813	19741983	0.00613861116882141	1.09881139921903	198	116645	116823	179	385	0.000894461049948196	0.068	0.0440646297800868	0.586
Block_224	8	5366761.25	7004819	0.00619569097970495	1.02848470263102	107	265540	265705	166	166	0.000862161067588955	0.068	0.0486139580646844	0.618
Block_225	1	67568800	77939975.5	0.00520220563861353	3.31900719743543	3	11057	11694	638	9593	0.00139138385547497	0.07	0.00677802706738522	0.256
Block_226	7	138982586	142046992	0.00547287056934836	2.80210973150636	103	262595	263106	512	2121	0.00111807631243524	0.07	0.00937693334029025	0.294
Block_227	13	33450634	38358570	0.0055557410558229	2.46674902878537	165	76516	76959	444	3958	0.00108329171604837	0.07	0.0116304782633542	0.324
Block_228	2	95613013.3333333	96076165	0.00695061764470727	0.493493852774216	26	148218	148288	71	71	0.000404992086504322	0.07	0.127125276723887	0.854
Block_229	17	19840295	22203266.25	0.00604524955881294	1.19695941264496	198	116831	117028	198	385	0.000968999470777212	0.074	0.0388568787781662	0.554
Block_230	2	187460089	189630403	0.00635094328523671	0.863728286792192	35	156659	156794	136	5305	0.000752838050373065	0.074	0.0619016738844704	0.686
Block_231	3	162287262	166884766	0.00648266333473873	0.751988946829693	52	196464	196579	116	4139	0.000631091963019005	0.074	0.0748862667928851	0.732
Block_232	1	244006762.333333	247911724	0.00531358457520556	3.06593829989361	19	27438	28014	577	5331	0.00127709161020381	0.076	0.00787374185357176	0.272
Block_233	13	38754464	42519184	0.00557252631366098	2.24015557809172	165	76972	77373	402	3958	0.00118764550520899	0.076	0.0137473694148982	0.348
Block_234	7	150412375.5	151805151.5	0.0056937577220939	1.78783992473748	105	263700	264013	314	1749	0.00118764550520899	0.076	0.0204309811492334	0.43
Block_235	13	61083925	61860004	0.0089172106839901	0.258599109835713	167	79034	79062	29	265	0.000131684543464596	0.076	0.251281439684752	0.986
Block_236	14	82730836	90308658	0.0054469768612403	2.5546321479217	175	89650	90118	469	8200	0.00124976085589984	0.078	0.0110391401247773	0.32
Block_237	1	93850484	97368159	0.00554292883675435	2.44997454584542	4	12984	13425	442	1796	0.00111062247035234	0.078	0.0117646474208464	0.324
Block_238	8	105359393	109321336	0.00567418519629289	1.7589974108508	116	274974	275283	310	2224	0.00127460699617618	0.078	0.0209452962529536	0.434
Block_239	3	158367781	161294050	0.00570542670478722	1.71733343814095	51	196147	196447	301	1670	0.00122988394367877	0.078	0.0218173957766531	0.438
Block_240	9	73984868	75638133	0.00606731019211583	1.03751004285181	131	282540	282710	171	513	0.00104353789160623	0.078	0.0480350429962457	0.616
Block_241	9	36582663	37115584	0.00675664321871859	0.499991598185176	125	281980	282053	74	767	0.000546615086079453	0.078	0.125162431642057	0.848
Block_242	19	22967229.6666667	24216083.3333333	0.00879697702812548	0.27270628787189	209	134339	134369	31	45	0.000139138385547497	0.078	0.239136646317678	0.98
Block_243	15	31010702	32425628	0.00605416965178941	1.07158802836673	183	93877	94053	177	177	0.00104353789160623	0.08	0.0457566519329055	0.594
Block_244	4	52697492	53935059	0.00640987596512699	0.743545611954731	59	204963	205078	116	587	0.000713084225930923	0.082	0.0760838507542046	0.734
Block_245	13	69459727.75	71588839	0.00758576090262951	0.30343043610518	169	79266	79305	40	923	0.000313061367481869	0.084	0.215194905547398	0.966
Block_246	7	143577270	150150446.5	0.00551874968926444	2.17990612725945	105	263269	263663	395	1749	0.00136156848714336	0.088	0.0144604536408292	0.358
Block_247	8	103359243	104862790	0.00578939017882197	1.30261279023494	116	274711	274935	225	2224	0.00129945313645252	0.09	0.0341634428799658	0.528
Block_248	4	60399257	66378672	0.00618579078814508	0.797967011670716	60	205550	205678	129	4676	0.00102863020744043	0.09	0.0689430700387848	0.704
Block_249	5	78830022	79799786.5	0.00623020123272645	0.741393946694448	71	221509	221627	119	2650	0.000998814839108819	0.09	0.0763944275076588	0.734
Block_250	6	97842165	99825673	0.00641664891575549	0.622414944828283	84	242046	242142	97	304	0.000802530330925742	0.092	0.0956601246779319	0.782
Block_251	14	20267770	22336368.5	0.00560101759097963	1.64669917174801	172	82932	83225	294	1895	0.00156282222338171	0.094	0.0233951256842006	0.454
Block_252	12	81992506.3333333	88602526	0.00569890397904792	1.42472599476198	164	68327	68576	250	7249	0.00145349920616582	0.096	0.0296538684198103	0.5
Block_253	15	83806863	84954067.5	0.00645258006477517	0.580732205829765	186	101160	101249	90	2546	0.000812468787036278	0.096	0.104232043073269	0.798
Block_254	2	37491117	40783341	0.00508403750763213	2.75554832913661	20	142739	143280	542	10151	0.00206719887099139	0.1	0.00967011779555105	0.296
Block_255	9	6538816	8961363	0.00615393720030636	0.750780338437376	118	280470	280591	122	641	0.00111807631243524	0.1	0.0750726128449576	0.732
Block_256	21	21727526	22552077	0.00871455595793454	0.217863898948364	217	171876	171900	25	78	0.000183861438044907	0.1	0.292640324788746	0.992
Block_257	6	49817519	57614321	0.00476753915257702	3.78542608714615	74	239414	240207	794	4853	0.00207216809904665	0.102	0.00536428168566154	0.222
Block_258	7	126959664	130149489	0.00515108347259661	2.54463523546273	103	261033	261526	494	2121	0.00202992966057688	0.102	0.0110813785632471	0.32
Block_259	18	72486673	74556988	0.00560112246696518	1.45069071894398	207	131223	131481	259	1186	0.00173922981934371	0.104	0.0288463688608293	0.496
Block_260	5	77458683	78712589	0.00578652828874973	1.1052269031512	71	221308	221498	191	2650	0.00156282222338171	0.104	0.0436819992198312	0.58
Block_261	1	144882848	145743288.333333	0.00626997220599576	0.677156998247542	11	15506	15613	108	108	0.000983907154943015	0.104	0.085900560777386	0.76
Block_262	19	52724897	59097644	0.0049784833522566	2.98211152800171	211	137336	137934	599	3560	0.00218149111626254	0.106	0.00827624932604844	0.282
Block_263	5	81960474.5	85143235	0.00579742386159369	1.05513114281005	71	221841	222022	182	2650	0.00158766836365805	0.106	0.0468846667014513	0.604
Block_264	9	73005086.6666667	73839300	0.00700255952311161	0.364133095201804	131	282484	282535	52	513	0.000529222787886016	0.106	0.178266087254675	0.936
Block_265	10	89279408.75	93569149	0.00494346448266952	2.94630483167103	147	37541	38136	596	6142	0.00232062950181004	0.108	0.00847253383423152	0.282
Block_266	13	30854619	33029416	0.00549009598224007	1.65251889065426	165	76179	76479	301	3958	0.00191066818725045	0.11	0.0232559872986531	0.452
Block_267	7	105070764	106751055	0.00559166152781398	1.30844879750847	101	259398	259631	234	1382	0.00189824511711228	0.112	0.0339149814772024	0.526
Block_268	18	13103371.3333333	14154203	0.00583679638025729	0.957234606362195	202	126763	126926	164	1409	0.00165226832837653	0.112	0.0536701476109194	0.65
Block_269	5	35924618	36897849	0.00616943951779057	0.678638346956963	66	217778	217887	110	1122	0.00117522243507082	0.112	0.0856719762868437	0.76
Block_270	12	63015181.5	63754912	0.006401790344978	0.492937856563306	162	66573	66649	77	137	0.000993845611053551	0.112	0.127316592004015	0.854
Block_271	10	51497363	51823124	0.00907866502683607	0.154337305456213	143	33598	33614	17	318	0.000245976788735754	0.112	0.381914991415659	1
Block_272	9	30967764	33850099	0.00577964026148576	0.976759204191094	125	281524	281692	169	767	0.00174668366142662	0.114	0.0522315560889194	0.642
Block_273	1	64148960	67373146	0.00511240134605295	2.22389458553303	3	10606	11040	435	9593	0.00246473711541281	0.116	0.0139138385547497	0.348
Block_274	3	68584086	71024206	0.00565801883334482	1.19384197383576	40	188377	188587	211	960	0.00180631439808983	0.116	0.0389835940935755	0.554
Block_275	3	195246526	196564256	0.00563949507424882	1.201212450815	52	200181	200393	213	4139	0.00184606822253197	0.118	0.0386655634980384	0.552
Block_276	8	94029982.6666667	95430918	0.0057000301803455	1.06020561354426	116	273527	273712	186	2224	0.00189327588905701	0.118	0.0465169438253615	0.6
Block_277	8	48043591	48799062	0.00619259876968022	0.619259876968022	111	270025	270124	100	354	0.0012174608735406	0.12	0.0962663705006746	0.784
Block_278	4	143269319	148516026	0.00514279849993599	2.03654820597465	61	210892	211287	396	2259	0.00266350623762352	0.122	0.0163736064421073	0.376
Block_279	6	18978805	22026015	0.00532931678085925	1.75867453768355	73	234911	235240	330	3384	0.0022883295194508	0.122	0.0209527500950365	0.434
Block_280	4	31739514	35568012	0.00640962094547035	0.474311949964806	56	203707	203780	74	1023	0.00101869175132989	0.122	0.133249850302005	0.864
Block_281	10	52869833	53932613	0.00673079096385738	0.383655084939871	143	33728	33784	57	318	0.000752838050373065	0.122	0.168720200160506	0.924
Block_282	8	46941033	47399953	0.00806564926604676	0.241969477981403	110	269987	270016	30	30	0.000315545981509502	0.122	0.266554362112618	0.988
Block_283	4	75560903	80604140	0.00491211626916877	2.47570659966106	60	206296	206799	504	4676	0.00295669069288431	0.124	0.011570847526691	0.324
Block_284	3	147656507	150140824	0.00527724279855587	1.91563913587578	51	194923	195285	363	1670	0.00230075258958897	0.124	0.0182817900153301	0.398
Block_285	3	155607265	157839900	0.00546371647287525	1.40963885000181	51	195867	196124	258	1670	0.00226845260722973	0.124	0.0301781219796411	0.5
Block_286	4	96011166	103782243	0.00485343338015486	2.61600059190347	60	207968	208506	539	4676	0.00296662914899485	0.126	0.0105496711613334	0.304
Block_287	9	71032491	72774855	0.00569797582353918	1.01423969658997	131	282293	282470	178	513	0.00197775276599657	0.126	0.0495779883074064	0.626
Block_288	10	18240604.8	23846419	0.00481798609747972	2.51017075678693	137	30694	31214	521	2154	0.00325484437620038	0.132	0.0113522014922592	0.322
Block_289	8	56652350	59372090	0.00541357745598271	1.36422151890764	112	270744	270995	252	2217	0.00251939862402075	0.132	0.0317061596066359	0.508
Block_290	7	39355842	43590176	0.00498443222556993	2.27290109485989	89	254020	254475	456	6160	0.00293929839469088	0.134	0.0133647388546426	0.342
Block_291	6	89655098.5	90897267	0.00563702453758104	1.00902739222701	81	241614	241792	179	989	0.00223118339681522	0.134	0.0499183804291922	0.63
Block_292	4	26728396	29751733	0.00593270834123148	0.735655834312703	54	203530	203653	124	1466	0.00164978371434889	0.134	0.0771224194177555	0.736
Block_293	12	29598252	31973862.5	0.00544028279233354	1.28934702178305	158	63358	63594	237	4166	0.00251939862402075	0.136	0.0347373887203492	0.534
Block_294	2	96330526	97647148	0.00556327647533279	1.07371235973923	27	148289	148481	193	193	0.0024349217470812	0.142	0.0456572673718001	0.594
Block_295	4	175449578	176958089	0.00618063924626392	0.519173696686169	63	213241	213324	84	445	0.00138889924144734	0.142	0.119693796167234	0.83
Block_296	10	54057217	57272208	0.0058646287133583	0.709620074316354	143	33792	33912	121	318	0.00187339897683594	0.144	0.0809288481080906	0.746
Block_297	8	74746610	78478065	0.00545717928595664	1.16783636719472	112	272371	272584	214	2217	0.00266350623762352	0.146	0.0402557164757241	0.564
Block_298	21	17541434	20914062	0.00559447810877677	0.945466800383274	216	171699	171867	169	363	0.00253679092221419	0.146	0.0545894548011439	0.652
Block_299	15	33287603	36897701	0.00506584825006998	1.79837612877484	184	94144	94498	355	525	0.00348094425271506	0.148	0.0202247581849398	0.43
Block_300	5	65519915	66646474.3333333	0.00578515166749913	0.746284565107388	68	220169	220297	129	528	0.00207713732710192	0.148	0.075701220193949	0.734
Block_301	4	172460054	173187086.5	0.00830899968934039	0.166179993786808	63	213046	213065	20	445	0.000375176718172715	0.15	0.361975963843897	1
Block_302	4	174166207	175181359	0.00610597602203165	0.537325889938785	63	213127	213214	88	445	0.00152803762699483	0.154	0.114771775778492	0.82
Block_303	7	109485219	112316532	0.00542232558756447	1.14953302456367	101	259864	260075	212	1382	0.00283494460553025	0.156	0.0412147774903908	0.57
Block_304	18	59965157	61814247	0.00501440636026304	1.72495578793049	206	130266	130609	344	3013	0.00394308246185496	0.158	0.0216062035843042	0.438
Block_305	14	92182741	93644288	0.0050864651263888	1.59206358455969	175	90424	90736	313	8200	0.00381885176047327	0.158	0.0247070018907913	0.464
Block_306	1	87437475	89075311	0.00573288790288569	0.722343875763597	4	12377	12502	126	1796	0.00233305257194821	0.158	0.0790082414647297	0.736
Block_307	4	177107381	178426921	0.00575356288001024	0.707688234241259	63	213334	213456	123	445	0.00226845260722973	0.158	0.0811996710371027	0.746
Block_308	7	118372311	120373072	0.00648141393123856	0.382403421943075	102	260551	260609	59	435	0.00111310708437998	0.158	0.169256876790475	0.926
Block_309	6	96537496	97516036	0.00683027250235336	0.307362262605901	84	241989	242033	45	304	0.000824891857174447	0.16	0.212466799345056	0.966
Block_310	14	36148037	37612455	0.00563097485228495	0.777074529615323	172	84495	84632	138	1895	0.00270574467609329	0.162	0.0715842147501596	0.714
Block_311	13	72287312	73394620	0.00640751498323904	0.403673443944059	169	79323	79385	63	923	0.0012025531893748	0.162	0.159561912854648	0.908
Block_312	8	84358274	86414553	0.00620874142770842	0.434611899939589	114	272989	273058	70	77	0.00152803762699483	0.164	0.147054365839539	0.89
Block_313	1	189399073	191740297	0.00646047901860242	0.381168262097543	16	20756	20814	59	280	0.00116031475090502	0.164	0.169873061069328	0.926
Block_314	12	88685540	92565168.5	0.00485134371812718	1.97449689327776	164	68578	68984	407	7249	0.00417415156642491	0.166	0.0173103059305252	0.384
Block_315	4	165823850	168999188	0.00558869554028681	0.776828680099866	62	212603	212741	139	561	0.00290948302635927	0.17	0.0716065762764083	0.714
Block_316	4	153291285	154418379	0.00541000770122472	0.968391378519225	61	211742	211920	179	2259	0.00341385967396895	0.176	0.0528775557361042	0.644
Block_317	4	44121292	44701173	0.00928588326577423	0.120716482455065	57	204692	204704	13	32	0.000375176718172715	0.18	0.448671601110126	1
Block_318	12	24932305	28024027	0.00453509485661711	2.08160853918725	158	62767	63225	459	4166	0.00591586599979626	0.182	0.0157251221808948	0.366
Block_319	10	74942372	76081947	0.00527373572600856	1.01783099511965	146	35830	36022	193	2864	0.00411949005781697	0.182	0.049329526904643	0.624
Block_320	4	151916251	153247194	0.00535657508595207	0.93204406495566	61	211562	211735	174	2259	0.00383624405866671	0.184	0.0555808157981698	0.658
Block_321	3	175202526	178962387	0.00480833394443452	1.63964187505217	52	197483	197823	341	4139	0.00549596622912614	0.186	0.0235193563855823	0.454
Block_322	18	28256189	30642523	0.00522765192285823	1.01939212495735	206	127624	127818	195	3013	0.00444248988140937	0.186	0.0492525038697864	0.624
Block_323	2	145006144	148867822	0.00496998121753402	1.51087429013034	35	152874	153177	304	5305	0.00490214347652164	0.188	0.0270077544803802	0.486
Block_324	3	112754552	113841596	0.00550414320405189	0.809109050995627	49	191098	191244	147	1516	0.00329708281467015	0.188	0.0677430014634377	0.704
Block_325	10	28525747	30469889	0.00485409903469684	1.54845759206829	137	31615	31933	319	2154	0.00547360470287743	0.19	0.0258722858697516	0.472
Block_326	14	29445296	31151152	0.00567755705611849	0.647241504397508	172	83895	84008	114	1895	0.00277282925483941	0.19	0.0909517810955657	0.772
Block_327	4	40798110	42442600	0.00512870879823277	1.11805851801474	56	204411	204628	218	1023	0.00479033584527812	0.194	0.0429142534852923	0.576
Block_328	12	42919987	46151535	0.00506247792469007	1.2757444370219	161	64078	64329	252	2681	0.00492450500277034	0.196	0.035308849946705	0.538
Block_329	1	78392337	81537650	0.00527459311363414	0.907230015545072	3	11752	11923	172	9593	0.00449715139001732	0.198	0.0578020607388745	0.668
Block_330	7	92047291.6666667	94129150	0.0049958761899297	1.32390719033137	100	257887	258151	265	1478	0.00528477403677726	0.2	0.0332043818652991	0.522
Block_331	13	87098885	90053523	0.0059789234777504	0.466356031264531	170	80186	80263	78	2686	0.00210198346737826	0.2	0.135876087329214	0.866
Block_332	9	75835312	77880858	0.00610259064097593	0.414976163586363	131	282738	282805	68	513	0.00188333743294648	0.2	0.154761638553259	0.9
Block_333	3	83983736	85626259	0.00651586985952696	0.29973001353824	44	189434	189479	46	180	0.00139386846950261	0.2	0.217927980977795	0.97
Block_334	21	24264513	30144760	0.00484126216123483	1.41848981324181	218	171946	172238	293	3066	0.00614693510436621	0.202	0.0298849375243803	0.5
Block_335	12	69196044	71950838	0.00494171331641123	1.40344658186079	163	67280	67563	284	1012	0.00545621240468399	0.202	0.0303793757158794	0.5
Block_336	4	169322313	169815299.5	0.0056839776620004	0.591133676848042	62	212767	212870	104	561	0.00290699841233164	0.204	0.102115151921725	0.788
Block_337	6	112500866	115337950	0.00501192567091139	1.20787408668965	86	243332	243572	241	1290	0.00556056619384462	0.208	0.0383301406043078	0.552
Block_338	7	82764087	84161197.6666667	0.0057251372507658	0.543888038822751	98	257362	257456	95	643	0.00284985228969606	0.208	0.113054907485397	0.816
Block_339	2	169281609	170521297	0.00518243691996357	0.881014276393808	35	154941	155110	170	5305	0.0053319817033023	0.21	0.0602344978719281	0.682
Block_340	5	66900986	68344202	0.00517348940376346	0.879493198639789	68	220313	220482	170	528	0.00543385087843529	0.21	0.0603761208715032	0.682
Block_341	8	53636835	54605655.6666667	0.00628486376173398	0.345667506895369	112	270518	270572	55	2217	0.00166717601254233	0.21	0.188134974172437	0.946
Block_342	3	103328370	105095583	0.00628918184111856	0.333326637579283	49	190324	190376	53	1516	0.00170196060892921	0.21	0.195486947080206	0.95
Block_343	5	61818801	62421702	0.00732881488473991	0.227193261426937	67	219963	219993	31	1316	0.000750353436345431	0.212	0.282202461258656	0.99
Block_344	11	22266765	22657905	0.00764444610604031	0.175822260438927	149	46877	46899	23	108	0.000678299629544048	0.212	0.347142818098922	0.998
Block_345	6	103720981	107057773	0.00475806616816454	1.43217791661753	86	242283	242583	301	1290	0.00681529627779973	0.214	0.0294078916310746	0.498
Block_346	12	66211550	68981281	0.00468217209435498	1.6013028562694	163	66914	67255	342	1012	0.00676808861127468	0.216	0.0244759327862213	0.462
Block_347	5	50149403	54455746.25	0.0046079310580051	1.73258207780992	67	218705	219080	376	1316	0.00688735008460111	0.218	0.0214770036548672	0.436
Block_348	5	74833385	77202792	0.00484583929321327	1.2405348590626	71	221017	221272	256	2650	0.00690722699682218	0.218	0.0368393721877275	0.542
Block_349	3	109789687	112238183	0.0049011167077606	1.22527917694015	49	190772	191021	250	1516	0.00647987338406915	0.22	0.0374754333788018	0.55
Block_350	7	102948750	104630661	0.00556631072961696	0.634559423176334	101	259221	259334	114	1382	0.00346852118257689	0.22	0.0933171336498732	0.776
Block_351	6	23891030	27048555	0.00454556596475011	1.74549733046404	74	235355	235738	384	4853	0.00740166518832132	0.222	0.0211788499715512	0.434
Block_352	5	95186505	99150309	0.00462079707490831	1.63576216451754	71	222767	223120	354	2650	0.00726749603082909	0.222	0.0236112871046047	0.454
Block_353	4	123929654	128819932	0.00477303839106927	1.33167771110833	60	209755	210033	279	4676	0.00714823455750266	0.222	0.0329111974100383	0.52
Block_354	5	41434298	45288543	0.00496275998895481	1.10173271754797	66	218440	218661	222	1122	0.00642024264740594	0.222	0.0438907067981524	0.582
Block_355	4	9371392	10704856	0.00531587212641361	0.722958609192252	54	202188	202323	136	1466	0.00486735888013477	0.224	0.0789113415176519	0.736
Block_356	5	80000868	81919218	0.00498282335173706	0.996564670347412	71	221638	221837	200	2650	0.00676808861127468	0.226	0.0508202953212233	0.636
Block_357	3	95402406	98604538	0.00504430852507751	0.943285694189495	48	189669	189855	187	655	0.00639291189310197	0.226	0.0547534393269678	0.652
Block_358	6	125523410.25	127508385	0.00510647279169471	0.873206847379796	87	244176	244346	171	6089	0.00611711973603461	0.228	0.0610121820625775	0.684
Block_359	3	167555695	170609282	0.00456011912104806	1.60516193060892	52	196628	196979	352	4139	0.00801039562509162	0.23	0.024396425137337	0.46
Block_360	12	73523354	76751728	0.00489175664910809	1.06640294950556	164	67662	67879	218	7249	0.00725010373263565	0.23	0.0461069825108019	0.594
Block_361	18	27359367	27967271	0.00878702504456258	0.114231325579313	205	127611	127623	13	13	0.000549099700107087	0.23	0.464036454257013	1
Block_362	6	29003831.7142857	30317519	0.00479681204214886	1.18481257441077	74	236012	236258	247	4853	0.00764764197705707	0.232	0.0393910707941075	0.56
Block_363	6	84692831	86139262	0.00564555578862434	0.508100020976191	81	241276	241365	90	989	0.00342379813007948	0.232	0.122861679052468	0.836
Block_364	6	80083922	80892124	0.00607309126543987	0.370458567191832	81	241001	241061	61	989	0.00219142957237308	0.232	0.175172742790271	0.928
Block_365	2	32637144	37471173	0.00440674629146291	1.80676597949979	20	142325	142734	410	10151	0.00825140318577211	0.236	0.0200955582555028	0.426
Block_366	7	120740178	121089768	0.00661447429804972	0.251350023325889	102	260662	260699	38	435	0.00141374538172368	0.236	0.257806036121319	0.986
Block_367	12	16040188	17955920	0.00561850825627047	0.48319171003926	158	62171	62256	86	4166	0.00371698258534028	0.242	0.130467082591055	0.858
Block_368	2	131502765	132577477	0.00584402890371452	0.432458138874874	34	151877	151950	74	74	0.00275543695664597	0.244	0.147846957714354	0.892
Block_369	4	160252652	162721097	0.00577466461160428	0.450423839705134	61	212395	212472	78	2259	0.00296165992093958	0.246	0.141262730541124	0.882
Block_370	6	73032473	73821448	0.00594493169643849	0.39236549196494	80	240605	240670	66	535	0.00255418322040763	0.246	0.16456841012033	0.916
Block_371	7	117199682	117885197	0.00595799952719997	0.387269969267998	101	260482	260546	65	1382	0.00252436785207602	0.246	0.167008301095466	0.92
Block_372	5	85959595	89784871	0.00459535632441632	1.36482082835165	71	222039	222335	297	2650	0.00910859502530579	0.248	0.0316862826944148	0.508
Block_373	2	198215400	203023746	0.00400363389908121	2.18598410889834	37	157542	158087	546	6271	0.00880547211393446	0.25	0.0143958536761107	0.356
Block_374	8	92260401	93738253.3333333	0.00527505452119358	0.643556651585617	116	273388	273509	122	2224	0.00556802003592752	0.25	0.0916300807251098	0.774
Block_375	4	44930030	45624041	0.00992671075180554	0.0893403967662499	57	204708	204716	9	32	0.000429838226780661	0.25	0.530514787180385	1
Block_376	14	44618802	45397842	0.00735264700733124	0.191168822190612	173	84867	84892	26	121	0.000894461049948196	0.252	0.325862098952238	0.994
Block_377	13	80146187	81519615	0.00552043047313511	0.49683874258216	169	79967	80056	90	923	0.00433068225016585	0.256	0.126131431112834	0.85
Block_378	6	94431180	94596271.4	0.00879365416878192	0.105523850025383	82	241947	241958	12	23	0.000606245822742666	0.256	0.485687380893815	1
Block_379	7	115926781	116923473	0.00503199290847139	0.83531082280625	101	260294	260459	166	1382	0.00709854227694999	0.258	0.0648707876474929	0.692
Block_380	3	197033176	197712481.5	0.00515160696085784	0.690315332754951	52	200455	200588	134	4139	0.00667118866419696	0.258	0.0837339773452893	0.754
Block_381	8	64210438	66539359	0.00548470027067133	0.53750062652579	112	271477	271574	98	2217	0.00443503603932647	0.258	0.114736991182105	0.82
Block_382	15	51232901	55834750	0.00431437808733976	1.79478128433334	185	96226	96641	416	6498	0.00919804113030061	0.26	0.020284388921603	0.43
Block_383	8	61602387	64177888	0.00461234374884179	1.26378218718265	112	271201	271474	274	2217	0.00954340248014172	0.26	0.0358008035241765	0.538
Block_384	22	20771269.3333333	21463335	0.00519665933790533	0.665172395251882	220	175460	175587	128	128	0.00629849656005188	0.26	0.0879031596836589	0.764
Block_385	3	151530534	153074462	0.00476020686485992	0.980602614161143	51	195482	195687	206	1670	0.00944401791903637	0.262	0.0519582485458796	0.642
Block_386	8	51926793	53361914.5	0.00531832662436468	0.616925888426303	112	270371	270486	116	2217	0.00533695093135757	0.264	0.0966986933414829	0.784
Block_387	9	103574138	104757854	0.00590601138780796	0.372078717431901	132	285205	285267	63	2462	0.00280016000914338	0.264	0.17436524323129	0.928
Block_388	2	155293862	158303698	0.00495695587006598	0.852596409651349	35	153723	153894	172	5305	0.00800294178300872	0.266	0.0630048425127399	0.686
