	CHR	START	END	X0	X1	MeanDecreaseAccuracy	MeanDecreaseGini	Symbol	V1	V2	V3	V4	V5	V6	V7	X0.1	X1.1	Estimate	Std..Error	t.value	Pr...t..	X	Estimate.1	Std..Error.1	t.value.1	Pr...t...1	idx	beta	pval	cilb	ciub	i2	tau2	Symbol.1	coef	exp.coef.	se.coef.	z	Pr...z..
cg21233722	chr5	169064510	169064811	0	0	0	0	DOCK2	chr5	169064660	169064661	cg21233722	DOCK2	Island	II	47565.2333611129	40573.693923785	-1.46158053636327e-07	4.46227797192432e-08	-3.27541346720043	0.00105849788822524	ENSG00000134516.14	-0.0804065134860541	0.0103287987319339	-7.78469167353011	3.14985646134115e-14	3946	-0.269491970815793	0.266269988535941	-0.74461806754291	0.205634125911325	97.9186947866215	1.25185334919993	DOCK2	-0.395191154336714	0.673551274695151	0.152862410628684	-2.58527359807683	0.0097301751974892
cg03506489	chr11	30038638	30038939	0	0	0	0	KCNA4	chr11	30038788	30038789	cg03506489	KCNA4	Island	II	5209.70082125439	2299.67680058761	-9.03881093094686e-07	1.7186565854773e-07	-5.25923038222126	1.47508508713254e-07	ENSG00000182255.6	-0.0309099102955198	0.00253133461170849	-12.2109144135068	9.85969239869407e-31	30574	-3.98058144039438	5.29555058245814e-10	-5.23689187858871	-2.72427100220006	97.345508460542	8.38198703539574	KCNA4	-0.32965338621641	0.719172965498423	0.150071570527891	-2.19664114300145	0.0280460854054782
cg18674980	chr8	86350431	86350732	0	0	0	0	CA3	chr8	86350581	86350582	cg18674980	CA3	N_Shore	II	474245.169174196	58875.0988501891	-7.88421560622603e-09	1.34308349272617e-09	-5.87023491013414	4.48370411377508e-09	ENSG00000164879.6	-0.0565542255520252	0.00550404605750751	-10.2750276725765	6.78212780273235e-23	5604	-1.54736833388245	0.00034219852033599	-2.39426374374007	-0.700472924024826	98.7806433111063	4.12978095888294	CA3	-0.3690107020119	0.691418010846933	0.149973266825968	-2.46050986166826	0.0138739759041566
cg02800607	chr10	100991809	100992110	0	0	0	0	HPSE2	chr10	100991959	100991960	cg02800607	HPSE2	N_Shore	I	43786.299552255	20218.7703468162	-1.72754328532205e-07	2.63830625003902e-08	-6.54792553099738	6.107108197444e-11	ENSG00000172987.11	-0.0440765022243446	0.00433484081219528	-10.1679632849131	1.73348004192803e-22	29570	-2.44698626158829	0.00232664145794288	-4.02201812849982	-0.871954394676756	99.4010869288019	13.9049420168004	HPSE2	-0.407316630718795	0.665433460266646	0.15017905423907	-2.71220665746361	0.00668369093753318
cg07263393	chr3	128205124	128205425	0	0	0	0	GATA2	chr3	128205274	128205275	cg07263393	GATA2	N_Shore	II	200335.933800518	145539.691198351	-2.72312631748152e-08	6.87840750589078e-09	-3.95894880486419	7.57774062864218e-05	ENSG00000179348.10	-0.114249049801739	0.00869261966573842	-13.1432242747312	8.62753289176492e-35	27629	-0.634291175341954	0.0351973355945122	-1.22457615778435	-0.0440061928995535	98.8143862641603	1.98988610087402	GATA2	-0.31457901851453	0.730096166551069	0.149675117807579	-2.10174558819421	0.0355755678131033
cg03985727	chr7	15727375	15727676	0	0	0	0	MEOX2	chr7	15727525	15727526	cg03985727	MEOX2	CpG_Ocean	II	81201.295738223	45649.5969140306	-4.51814337676609e-08	1.09990305129145e-08	-4.10776510844398	4.02540776891348e-05	ENSG00000106511.5	-0.0661483081152739	0.00822516069291525	-8.04219036987943	4.8518133416392e-15	11154	-1.81211240825145	0.00159830844521561	-2.93740797231824	-0.686816844184651	99.1378632473397	7.18994731943821	MEOX2	-0.305102953339825	0.737047488984766	0.150086115148655	-2.03285262622483	0.0420674144341007
cg04965050	chr22	43739640	43739941	0	0	0	0	SCUBE1	chr22	43739790	43739791	cg04965050	SCUBE1	Island	I	30911.5324307715	15236.7285049995	-2.20292291468812e-07	3.65427424493973e-08	-6.02834589587419	1.71223935398304e-09	ENSG00000159307.17	-0.0903895421528041	0.00464477456911037	-19.4604799022823	1.56055334840945e-65	26650	-2.05336378588462	4.90192716245467e-12	-2.63591925726074	-1.4708083145085	97.7309203210592	1.82064648939389	SCUBE1	-0.302822179976713	0.738730445756928	0.150251616112359	-2.01543376245791	0.0438592198246946
cg00997551	chr8	109096001	109096302	0	0	0	0	RSPO2	chr8	109096151	109096152	cg00997551	RSPO2	S_Shore	II	22870.7268877105	8153.01968277785	-6.07717078424698e-07	6.24645125478663e-08	-9.72899737205196	2.81716034342255e-22	ENSG00000147655.9	-0.0359664158247853	0.00342590022367715	-10.498383921462	9.37268254514866e-24	5591	-2.33301278191108	4.47130502018919e-05	-3.45329439223558	-1.21273117158659	97.7182866997834	6.86996905612479	RSPO2	-0.29626551248039	0.743589969390308	0.149035986420097	-1.98787903241898	0.0468250702193296
cg04950301	chr6	12750242	12750543	0	0	0	0	PHACTR1	chr6	12750392	12750393	cg04950301	PHACTR1	Island	II	46210.3548887717	29534.1735701103	-3.6825697263613e-07	4.57449552309485e-08	-8.0502204183378	9.15892213408054e-16	ENSG00000112137.15	-0.124506168175575	0.00730860556818534	-17.0355571954185	3.19258923914219e-53	26535	-0.859070019846045	0.00193092192439407	-1.40209900038021	-0.316041039311884	99.019165883663	1.70123302833797	PHACTR1	-0.369824349991587	0.690855668784553	0.1511828416963	-2.44620583818963	0.0144368551958332
cg27638126	chr7	15725172	15725473	0	0	0	0	MEOX2	chr7	15725322	15725323	cg27638126	MEOX2	CpG_Ocean	II	81201.295738223	45649.5969140306	-4.51814337676609e-08	1.09990305129145e-08	-4.10776510844398	4.02540776891348e-05	ENSG00000106511.5	-0.0661483081152739	0.00822516069291525	-8.04219036987943	4.8518133416392e-15	11154	-1.81211240825145	0.00159830844521561	-2.93740797231824	-0.686816844184651	99.1378632473397	7.18994731943821	MEOX2	-0.305102953339825	0.737047488984766	0.150086115148655	-2.03285262622483	0.0420674144341007
cg06087421	chr1	47694988	47695289	0	0	0	0	TAL1	chr1	47695138	47695139	cg06087421	TAL1	N_Shore	I	30384.3702373419	13650.8482593859	-2.30243592428657e-06	1.12310952272087e-07	-20.5005467205784	1.31142050557977e-91	ENSG00000162367.10	-0.145320359831581	0.00690156094418075	-21.0561583106952	7.87028476173649e-74	30016	-1.34368663323347	4.70167758597191e-08	-1.82582914613182	-0.86154412033513	98.4588689731215	1.31356759780677	TAL1	-0.301509844554605	0.739700544296396	0.149734531228197	-2.01362933507369	0.0440484641607603
cg05903330	chr22	39541986	39542287	0	0	0	0	CBX7	chr22	39542136	39542137	cg05903330	CBX7	Island	II	274777.888331922	132300.502290055	-5.23472258602197e-07	1.80051304860914e-08	-29.0735054103923	8.48324337062013e-179	ENSG00000100307.11	-0.155710563460268	0.0101815600366967	-15.2933895099622	1.01905348838213e-44	6216	-1.32840528819232	2.83912558436771e-08	-1.79743604025275	-0.859374536131885	99.3489499854807	1.26141420212122	CBX7	-0.401445297158085	0.669351934151297	0.150719544995958	-2.66352513981415	0.00773266336590562
cg10935762	chr3	128202026	128202327	0	0	0	0	GATA2	chr3	128202176	128202177	cg10935762	GATA2	N_Shelf	II	200335.933800518	145539.691198351	-2.72312631748152e-08	6.87840750589078e-09	-3.95894880486419	7.57774062864218e-05	ENSG00000179348.10	-0.114249049801739	0.00869261966573842	-13.1432242747312	8.62753289176492e-35	27629	-0.634291175341954	0.0351973355945122	-1.22457615778435	-0.0440061928995535	98.8143862641603	1.98988610087402	GATA2	-0.31457901851453	0.730096166551069	0.149675117807579	-2.10174558819421	0.0355755678131033
cg10735632	chr2	106681681	106681982	0	0	0	0	C2orf40	chr2	106681831	106681832	cg10735632	C2orf40	N_Shore	I	401593.375623076	144231.032747077	-5.19373732333331e-08	4.35711507178371e-09	-11.9201288875006	1.50787611191848e-32	ENSG00000119147.8	-0.0330719015482117	0.00337134180011188	-9.8097147987529	3.81249276946215e-21	27397	-3.7502656205231	6.80989351551451e-13	-4.77354030515719	-2.72699093588901	98.9402844525389	5.95412413904301	C2orf40	-0.305165621483897	0.737001301033811	0.148879230414222	-2.04975281397441	0.0403885583340394
cg15377518	chr2	145277963	145278264	0	0	0	0	ZEB2	chr2	145278113	145278114	cg15377518	ZEB2	N_Shelf	II	78861.2528153207	55263.4854928394	-3.35124717831094e-07	3.66519736029272e-08	-9.1434289858904	7.16907292379667e-20	ENSG00000169554.15	-0.122973965686231	0.0101915251703109	-12.0662966171607	4.05479575846486e-30	8258	-1.17618069902635	4.30664686766724e-08	-1.597020261986	-0.7553411360667	98.3733267754364	0.990172294807479	ZEB2	-0.47464997730308	0.622102768449503	0.152333540987923	-3.11585993619561	0.00183409364634259
cg21907579	chr12	114845718	114846019	0	0	0	0	TBX5	chr12	114845868	114845869	cg21907579	TBX5	Island	II	31894.7242095466	11988.388256557	-1.24251933075277e-06	7.61852879698762e-08	-16.3091767959723	4.5160035658987e-59	ENSG00000089225.18	-0.100492367115338	0.0091655721929978	-10.9641127688799	1.38179865511471e-25	21757	0.120226224545547	0.838045360441428	-1.03263877798632	1.27309122707742	98.6704916052684	6.66104098096498	TBX5	-0.315388879150665	0.729505129766203	0.149377481791652	-2.11135490682967	0.0347418178955997
cg03388193	chr10	100995920	100996221	0	0	0	0	HPSE2	chr10	100996070	100996071	cg03388193	HPSE2	S_Shore	II	43786.299552255	20218.7703468162	-1.72754328532205e-07	2.63830625003902e-08	-6.54792553099738	6.107108197444e-11	ENSG00000172987.11	-0.0440765022243446	0.00433484081219528	-10.1679632849131	1.73348004192803e-22	29570	-2.44698626158829	0.00232664145794288	-4.02201812849982	-0.871954394676756	99.4010869288019	13.9049420168004	HPSE2	-0.407316630718795	0.665433460266646	0.15017905423907	-2.71220665746361	0.00668369093753318
cg03885399	chr1	47691400	47691701	0	0	0	0	TAL1	chr1	47691550	47691551	cg03885399	TAL1	Island	I	30384.3702373419	13650.8482593859	-2.30243592428657e-06	1.12310952272087e-07	-20.5005467205784	1.31142050557977e-91	ENSG00000162367.10	-0.145320359831581	0.00690156094418075	-21.0561583106952	7.87028476173649e-74	30016	-1.34368663323347	4.70167758597191e-08	-1.82582914613182	-0.86154412033513	98.4588689731215	1.31356759780677	TAL1	-0.301509844554605	0.739700544296396	0.149734531228197	-2.01362933507369	0.0440484641607603
