	CHR	START	END	X0	X1	MeanDecreaseAccuracy	MeanDecreaseGini	Symbol	V1	V2	V3	V4	V5	V6	V7	V8	Symbol.1	Estimate	Std..Error	t.value	Pr...t..
cg02222728	chr8	55371679	55371980	0.000871794871794872	-4.09556313993174e-05	6.62650602409639e-05	0.00866101231190153	SOX17	chr8	55371829	55371830	cg02222728	SOX17	F	Island	II	SOX17	-2.2e-06	1.06e-07	-20.80661601	1.82e-82
cg20969194	chr2	223163025	223163326	4.76190476190476e-05	0	6.15384615384615e-06	0.008	PAX3	chr2	223163175	223163176	cg20969194	PAX3	R	Island	II	PAX3	-7.14e-06	1.44e-06	-4.972461291	7.56e-07
cg07416237	chr13	100547928	100548229	0	0	0	0.00781176470588235	CLYBL	chr13	100548078	100548079	cg07416237	CLYBL	F	Island	I	CLYBL	-6.32e-06	5.8e-07	-10.90161206	1.83e-26
cg10601940	chr2	223159155	223159456	0.001125	-6.94444444444444e-06	0.00010625	0.00749306197964847	PAX3	chr2	223159305	223159306	cg10601940	PAX3	R	N_Shore	I	PAX3	-7.14e-06	1.44e-06	-4.972461291	7.56e-07
cg23363971	chr12	56415121	56415422	-5.26315789473684e-05	0	-6.19195046439629e-06	0.00746666666666667	IKZF4	chr12	56415271	56415272	cg23363971	IKZF4	F	CpG_Ocean	I	IKZF4	-4.09e-06	5.45e-07	-7.49999736	1.23e-13
cg27547291	chr2	201450876	201451177	0.000727272727272727	-7.2992700729927e-06	7.16612377850163e-05	0.00741951219512194	AOX1	chr2	201451026	201451027	cg27547291	AOX1	R	Island	II	AOX1	-4.54e-07	4.23e-08	-10.74028196	9.09e-26
cg12883523	chr8	55372242	55372543	0.001125	-6.36942675159236e-06	9.82658959537572e-05	0.00735680754368061	SOX17	chr8	55372392	55372393	cg12883523	SOX17	F	Island	II	SOX17	-2.2e-06	1.06e-07	-20.80661601	1.82e-82
cg00680551	chr8	103135445	103135746	0.000871794871794872	0	9.85507246376812e-05	0.00732033557840012	NCALD	chr8	103135595	103135596	cg00680551	NCALD	F	N_Shore	II	NCALD	-1.81e-07	2.78e-08	-6.505753576	1.13e-10
cg23546474	chr2	223162883	223163184	6.25e-05	0	6.19195046439629e-06	0.00715505617977528	PAX3	chr2	223163033	223163034	cg23546474	PAX3	F	Island	I	PAX3	-7.14e-06	1.44e-06	-4.972461291	7.56e-07
cg26814075	chr7	127881148	127881449	0.000108108108108108	-1.34241792893744e-05	-1.0693662222856e-07	0.00706714009635046	LEP	chr7	127881298	127881299	cg26814075	LEP	R	Island	I	LEP	-1.36e-07	5.59e-09	-24.24888228	3.12e-106
cg00901320	chr12	129338384	129338685	0.000167647058823529	1.43415235941195e-05	3.18261984928652e-05	0.00702573599240259	GLT1D1	chr12	129338534	129338535	cg00901320	GLT1D1	R	Island	II	GLT1D1	-1.21e-05	1.76e-06	-6.844278991	1.22e-11
cg05756220	chr11	30038535	30038836	0.000117647058823529	-6.5359477124183e-06	5.88235294117647e-06	0.007	KCNA4	chr11	30038685	30038686	cg05756220	KCNA4	F	Island	II	KCNA4	-8.59e-06	1.72e-06	-5.005545492	6.39e-07
cg15873301	chr3	12045309	12045610	0	0	0	0.007	SYN2	chr3	12045459	12045460	cg15873301	SYN2	R	N_Shore	II	SYN2	-6.06e-06	2.22e-07	-27.28833804	3.11e-128
cg17563034	chr4	5021118	5021419	0.000125	-2.02702702702703e-05	-6.09756097560976e-06	0.00693333333333333	CYTL1	chr4	5021268	5021269	cg17563034	CYTL1	R	Island	I	CYTL1	-2.31e-06	1.97e-07	-11.72557885	3.73e-30
cg23241781	chr14	70653814	70654115	5.26315789473684e-05	-6.5359477124183e-06	0	0.00685714285714286	SLC8A3	chr14	70653964	70653965	cg23241781	SLC8A3	R	N_Shore	I	SLC8A3	-8.71e-06	1.88e-06	-4.620633677	4.23e-06
cg22142858	chr6	6004654	6004955	-0.000162162162162162	6.84931506849315e-06	-1.21580547112462e-05	0.00685714285714286	NRN1	chr6	6004804	6004805	cg22142858	NRN1	F	Island	II	NRN1	-6.89e-07	2.81e-08	-24.47199412	8.05e-108
cg22010052	chr5	115298554	115298855	0	7.2463768115942e-06	6.5359477124183e-06	0.00666666666666667	LVRN	chr5	115298704	115298705	cg22010052	LVRN	F	Island	I	LVRN	-4.58e-06	1.91e-07	-23.96812741	3.05e-104
cg02457680	chr1	154474989	154475290	-4.08163265306122e-05	0	-6.11620795107034e-06	0.00654545454545455	TDRD10	chr1	154475139	154475140	cg02457680	TDRD10	F	Island	I	TDRD10	-1.23e-05	6.02e-07	-20.36536831	1.55e-79
cg00446413	chr7	153749056	153749357	0	-1.35842616296501e-05	-1.20124453262389e-05	0.0064	DPP6	chr7	153749206	153749207	cg00446413	DPP6	F	Island	II	DPP6	-1.35e-05	1.39e-06	-9.673327061	2.26e-21
cg15549927	chr7	153749606	153749907	0	6.64451827242525e-06	5.84795321637427e-06	0.0064	DPP6	chr7	153749756	153749757	cg15549927	DPP6	F	Island	I	DPP6	-1.35e-05	1.39e-06	-9.673327061	2.26e-21
cg06462796	chr9	79634711	79635012	5.40540540540541e-05	0	6.32911392405063e-06	0.006	FOXB2	chr9	79634861	79634862	cg06462796	FOXB2	R	Island	II	FOXB2	-0.000113618	2.56e-05	-4.445110349	9.59e-06
cg16620526	chr5	115297929	115298230	5.88235294117647e-05	-6.80272108843537e-06	0	0.006	LVRN	chr5	115298079	115298080	cg16620526	LVRN	R	Island	I	LVRN	-4.58e-06	1.91e-07	-23.96812741	3.05e-104
cg18525486	chr3	62357026	62357327	0	-2.11267605633803e-05	-1.91693290734824e-05	0.00598236331569663	FEZF2	chr3	62357176	62357177	cg18525486	FEZF2	R	Island	II	FEZF2	-1.26e-05	2.14e-06	-5.919148645	4.21e-09
cg07820868	chr1	119528488	119528789	-6.25e-05	-1.37931034482759e-05	-1.86335403726708e-05	0.005875	TBX15	chr1	119528638	119528639	cg07820868	TBX15	F	N_Shore	II	TBX15	-1.47e-06	7.9e-08	-18.57011321	6.04e-68
cg04467618	chr6	134210796	134211097	-0.000117647058823529	0	-1.23076923076923e-05	0.00566666666666667	TCF21	chr6	134210946	134210947	cg04467618	TCF21	F	Island	II	TCF21	-2.7e-05	5.1e-06	-5.285424169	1.49e-07
cg01861913	chr3	61550419	61550720	0.000112121212121212	0	1.24038461538462e-05	0.00556477987421384	PTPRG	chr3	61550569	61550570	cg01861913	PTPRG	F	Island	II	PTPRG	-1.72e-06	1.34e-07	-12.78905224	3.18e-35
cg16404157	chr14	38724498	38724799	1e-04	-6.9204152249135e-06	6.0790273556231e-06	0.00554942046065656	CLEC14A	chr14	38724648	38724649	cg16404157	CLEC14A	R	Island	II	CLEC14A	-7.33e-07	4.01e-08	-18.25486462	5.71e-66
cg02773086	chr2	177027290	177027591	4.76190476190476e-05	-6.63149232779902e-06	-3.79867046533706e-08	0.00533335408172782	HOXD3	chr2	177027440	177027441	cg02773086	HOXD3	F	N_Shore	I	HOXD3	-9.53e-06	1.51e-06	-6.322974729	3.6e-10
cg17001566	chr1	2990340	2990641	0	-6.75675675675676e-06	-6.00600600600601e-06	0.00533333333333333	PRDM16	chr1	2990490	2990491	cg17001566	PRDM16	F	Island	I	PRDM16	-1.46e-05	1.3e-06	-11.26227719	4.71e-28
cg20649017	chr2	176980687	176980988	0	-6.84931506849315e-06	-6.04229607250755e-06	0.00533333333333333	HOXD10	chr2	176980837	176980838	cg20649017	HOXD10	R	Island	I	HOXD10	-5.95e-06	6.67e-07	-8.921618475	1.66e-18
cg10026317	chr1	47694769	47695070	0	0	0	0.0048	TAL1	chr1	47694919	47694920	cg10026317	TAL1	R	N_Shore	I	TAL1	-1.21e-05	4.51e-07	-26.84577386	5.51e-125
cg20584905	chr2	223163634	223163935	0	0	0	0.0048	PAX3	chr2	223163784	223163785	cg20584905	PAX3	R	Island	II	PAX3	-7.14e-06	1.44e-06	-4.972461291	7.56e-07
cg05956679	chr16	223258	223559	6.06060606060606e-05	6.45417767696373e-06	1.20481927710843e-05	0.00442092180653852	HBA2	chr16	223408	223409	cg05956679	HBA2	R	Island	I	HBA2	-1.55e-07	1.05e-08	-14.79357593	1.19e-45
cg16097357	chr17	73584210	73584511	0.000307692307692308	-7.14285714285714e-06	3.13479623824451e-05	0.0043921568627451	MYO15B	chr17	73584360	73584361	cg16097357	MYO15B	R	Island	II	MYO15B	-9.05e-07	1.59e-07	-5.702622018	1.48e-08
cg03506489	chr11	30038638	30038939	0.00041025641025641	6.41969714134663e-06	5.66712049012934e-05	0.00404260651629072	KCNA4	chr11	30038788	30038789	cg03506489	KCNA4	R	Island	II	KCNA4	-8.59e-06	1.72e-06	-5.005545492	6.39e-07
cg19797376	chr1	47695325	47695626	0.000689655172413793	-7.35294117647059e-06	5.98006644518272e-05	0.00395652173913044	TAL1	chr1	47695475	47695476	cg19797376	TAL1	F	N_Shore	II	TAL1	-1.21e-05	4.51e-07	-26.84577386	5.51e-125
cg06970510	chr12	52401298	52401599	0.000923076923076923	-6.96864111498258e-06	0.000104294478527607	0.00395348837209303	GRASP	chr12	52401448	52401449	cg06970510	GRASP	R	Island	II	GRASP	-2.08e-06	1.28e-07	-16.27659076	4.99e-54
cg02053896	chrX	70150967	70151268	-5.40540540540541e-05	0	-6.19195046439629e-06	0.00394999999999999	SLC7A3	chrX	70151117	70151118	cg02053896	SLC7A3	R	S_Shore	II	SLC7A3	-6.49e-06	3.06e-07	-21.18078167	5.64e-85
cg13389502	chr17	1961290	1961591	0	3.33333333333333e-05	2.97619047619048e-05	0.00394317318871254	HIC1	chr17	1961440	1961441	cg13389502	HIC1	R	Island	I	HIC1	-2.21e-06	3.04e-07	-7.268892803	6.48e-13
cg15926671	chr14	75078133	75078434	0	0	0	0.0038974358974359	LTBP2	chr14	75078283	75078284	cg15926671	LTBP2	R	Island	I	LTBP2	-2.93e-07	2.13e-08	-13.74821582	4.46e-40
cg01000615	chr1	145562667	145562968	0	6.80272108843537e-06	6.04229607250755e-06	0.00384	ANKRD35	chr1	145562817	145562818	cg01000615	ANKRD35	R	CpG_Ocean	II	ANKRD35	-8.48e-07	1.32e-07	-6.409310829	2.09e-10
cg25829425	chr6	6004747	6005048	0.000944444444444444	0	0.000105590062111801	0.00381634615384615	NRN1	chr6	6004897	6004898	cg25829425	NRN1	R	Island	II	NRN1	-6.89e-07	2.81e-08	-24.47199412	8.05e-108
cg11214140	chr8	55370279	55370580	0	6.66666666666667e-06	6.06060606060606e-06	0.00380952380952381	SOX17	chr8	55370429	55370430	cg11214140	SOX17	F	Island	I	SOX17	-2.2e-06	1.06e-07	-20.80661601	1.82e-82
cg23092823	chr1	53528462	53528763	0	7.14285714285714e-06	6.28930817610063e-06	0.00378947368421053	PODN	chr1	53528612	53528613	cg23092823	PODN	R	Island	II	PODN	-3.6e-07	2.76e-08	-13.04439641	1.72e-36
cg16739441	chr12	21926374	21926675	0	2.05479452054794e-05	1.84615384615385e-05	0.00373535353535354	KCNJ8	chr12	21926524	21926525	cg16739441	KCNJ8	F	CpG_Ocean	II	KCNJ8	-2.52e-07	4.12e-08	-6.109060553	1.35e-09
cg19678828	chr21	27945263	27945564	0	0	0	0.00371428571428572	CYYR1	chr21	27945413	27945414	cg19678828	CYYR1	R	Island	II	CYYR1	-7.68e-07	3.61e-08	-21.26180185	1.61e-85
cg12615761	chr18	8608757	8609058	0	0	0	0.0036	RAB12	chr18	8608907	8608908	cg12615761	RAB12	R	Island	I	RAB12	-2.48e-07	4.23e-08	-5.855620153	6.11e-09
cg18940047	chr7	153749586	153749887	0	0	0	0.00355555555555556	DPP6	chr7	153749736	153749737	cg18940047	DPP6	R	Island	I	DPP6	-1.35e-05	1.39e-06	-9.673327061	2.26e-21
cg27009703	chr7	27204744	27205045	0.000146341463414634	0	1.73410404624277e-05	0.00342857142857143	HOXA9	chr7	27204894	27204895	cg27009703	HOXA9	F	Island	I	HOXA9	-6.84e-07	1.09e-07	-6.297902346	4.21e-10
cg00489401	chr5	180075725	180076026	-6.45161290322581e-05	0	-6.02409638554217e-06	0.00342857142857143	FLT4	chr5	180075875	180075876	cg00489401	FLT4	F	Island	II	FLT4	-4.92e-06	2.61e-07	-18.83576851	1.26e-69
cg03885399	chr1	47691400	47691701	0	0	0	0.00342857142857143	TAL1	chr1	47691550	47691551	cg03885399	TAL1	F	Island	I	TAL1	-1.21e-05	4.51e-07	-26.84577386	5.51e-125
cg00890485	chr14	70653769	70654070	0	0	0	0.00333333333333333	SLC8A3	chr14	70653919	70653920	cg00890485	SLC8A3	R	N_Shore	II	SLC8A3	-8.71e-06	1.88e-06	-4.620633677	4.23e-06
cg25288420	chr1	78511563	78511864	0	6.9204152249135e-06	6.15384615384615e-06	0.00333333333333333	GIPC2	chr1	78511713	78511714	cg25288420	GIPC2	R	Island	I	GIPC2	-9.82e-06	2.61e-07	-37.66889257	2.87e-206
cg23972738	chr2	66666889	66667190	0	-6.87285223367698e-06	-6.04229607250755e-06	0.00333333333333333	MEIS1	chr2	66667039	66667040	cg23972738	MEIS1	R	CpG_Ocean	II	MEIS1	-4.2e-06	4.13e-07	-10.1741317	2.18e-23
cg20072171	chr3	62356812	62357113	-0.000102564102564103	0	-1.16279069767442e-05	0.00333333333333333	FEZF2	chr3	62356962	62356963	cg20072171	FEZF2	R	Island	I	FEZF2	-1.26e-05	2.14e-06	-5.919148645	4.21e-09
cg04692403	chr6	134210662	134210963	0	3.3620125315627e-05	3.04878048780488e-05	0.00324241679696628	TCF21	chr6	134210812	134210813	cg04692403	TCF21	F	Island	II	TCF21	-2.7e-05	5.1e-06	-5.285424169	1.49e-07
cg18081940	chr1	154475023	154475324	0	7.01754385964912e-06	6.30914826498423e-06	0.0032	TDRD10	chr1	154475173	154475174	cg18081940	TDRD10	F	Island	I	TDRD10	-1.23e-05	6.02e-07	-20.36536831	1.55e-79
cg21647227	chr1	119526961	119527262	5.12820512820513e-05	6.89655172413793e-06	1.21580547112462e-05	0.003	TBX15	chr1	119527111	119527112	cg21647227	TBX15	F	Island	II	TBX15	-1.47e-06	7.9e-08	-18.57011321	6.04e-68
cg14287235	chr14	24804189	24804490	0	6.55737704918033e-06	5.81395348837209e-06	0.003	ADCY4	chr14	24804339	24804340	cg14287235	ADCY4	F	Island	I	ADCY4	-4.89e-06	1.93e-07	-25.33578446	5.18e-114
cg14015441	chr8	105479168	105479469	-5.71428571428571e-05	0	-6.0790273556231e-06	0.003	DPYS	chr8	105479318	105479319	cg14015441	DPYS	R	Island	I	DPYS	-3.29e-05	3.74e-06	-8.792883059	4.9e-18
cg00698908	chr12	128750821	128751122	-5.71428571428571e-05	0	-6.2111801242236e-06	0.003	TMEM132C	chr12	128750971	128750972	cg00698908	TMEM132C	R	N_Shore	II	TMEM132C	-1.53e-06	5.59e-08	-27.27747407	3.74e-128
cg06023994	chr3	170137721	170138022	0	0	0	0.00274285714285715	CLDN11	chr3	170137871	170137872	cg06023994	CLDN11	F	Island	II	CLDN11	-3.26e-06	1e-07	-32.42437937	1.3e-166
cg10906284	chr12	63544280	63544581	0	-6.80272108843537e-06	-6.13496932515337e-06	0.00266666666666667	AVPR1A	chr12	63544430	63544431	cg10906284	AVPR1A	F	Island	I	AVPR1A	-2.72e-06	1.9e-07	-14.3189406	4.38e-43
cg08681855	chr19	52956901	52957202	0	2.22222222222222e-05	1.94174757281553e-05	0.00266666666666667	ZNF578	chr19	52957051	52957052	cg08681855	ZNF578	R	Island	II	ZNF578	-2.04e-05	3.96e-06	-5.160628502	2.87e-07
cg12807794	chr20	590935	591236	0.000105263157894737	0	1.20481927710843e-05	0.00266666666666667	TCF15	chr20	591085	591086	cg12807794	TCF15	F	Island	I	TCF15	-3.26e-06	3.66e-07	-8.904198847	1.92e-18
cg07766263	chr3	170302895	170303196	4.54545454545455e-05	-2.73037542662116e-05	-1.89024390243902e-05	0.00261311516981043	SLC7A14	chr3	170303045	170303046	cg07766263	SLC7A14	R	Island	II	SLC7A14	-6.25e-05	7.17e-06	-8.716374804	9.28e-18
cg08816590	chr12	54954187	54954488	-5.71428571428571e-05	1.46520146520147e-05	6.49350649350649e-06	0.00227642276422765	PDE1B	chr12	54954337	54954338	cg08816590	PDE1B	F	CpG_Ocean	I	PDE1B	-4.73e-06	2.62e-07	-18.04044937	1.23e-64
cg08076018	chr9	129884930	129885231	0	3.50903023164507e-05	3.10956790123457e-05	0.0020574237876412	ANGPTL2	chr9	129885080	129885081	cg08076018	ANGPTL2	F	CpG_Ocean	II	ANGPTL2	-3.11e-07	1.26e-08	-24.69990178	1.9e-109
cg10305789	chr20	37434017	37434318	0	6.99300699300699e-06	6.28930817610063e-06	0.002	PPP1R16B	chr20	37434167	37434168	cg10305789	PPP1R16B	F	N_Shore	I	PPP1R16B	-1.93e-06	1.1e-07	-17.4850447	3.17e-61
cg20831708	chr10	102279223	102279524	-4.76190476190476e-05	7.16845878136201e-06	0	0.002	SEC31B	chr10	102279373	102279374	cg20831708	SEC31B	R	Island	II	SEC31B	-4.52e-06	5.65e-07	-7.996716885	2.96e-15
cg22639011	chr11	30037725	30038026	0	2.63157894736842e-05	2.39520958083832e-05	0.002	KCNA4	chr11	30037875	30037876	cg22639011	KCNA4	F	Island	II	KCNA4	-8.59e-06	1.72e-06	-5.005545492	6.39e-07
cg20399871	chr7	27204513	27204814	0.000888888888888889	0	9.75609756097561e-05	0.0019591836734694	HOXA9	chr7	27204663	27204664	cg20399871	HOXA9	R	Island	II	HOXA9	-6.84e-07	1.09e-07	-6.297902346	4.21e-10
cg15310492	chr11	30038527	30038828	0.001	0	0.000104938271604938	0.00195505617977528	KCNA4	chr11	30038677	30038678	cg15310492	KCNA4	F	Island	I	KCNA4	-8.59e-06	1.72e-06	-5.005545492	6.39e-07
cg19646112	chr14	24804192	24804493	0.000545454545454545	0	7.38461538461539e-05	0.00193846153846154	ADCY4	chr14	24804342	24804343	cg19646112	ADCY4	F	Island	II	ADCY4	-4.89e-06	1.93e-07	-25.33578446	5.18e-114
cg27527922	chr1	6260031	6260332	0.000238095238095238	2.00664361738187e-05	4.82735741632371e-05	0.00187277668172328	RPL22	chr1	6260181	6260182	cg27527922	RPL22	R	S_Shore	II	RPL22	-1.26e-07	1.35e-08	-9.345289276	4.25e-20
cg03109101	chr10	119304945	119305246	0.000484848484848485	-3.40136054421769e-05	1.8348623853211e-05	0.00128937728937728	EMX2	chr10	119305095	119305096	cg03109101	EMX2	F	Island	II	EMX2	-9.15e-06	6.54e-07	-13.99532392	2.28e-41
cg14791413	chr12	129338720	129339021	0.000903225806451613	-7.01754385964912e-06	8.22784810126582e-05	0.00128787878787881	GLT1D1	chr12	129338870	129338871	cg14791413	GLT1D1	F	S_Shore	II	GLT1D1	-1.21e-05	1.76e-06	-6.844278991	1.22e-11
cg20786074	chr2	56150105	56150406	4e-04	0	4.83383685800604e-05	0.00128627450980392	EFEMP1	chr2	56150255	56150256	cg20786074	EFEMP1	F	N_Shore	II	EFEMP1	-1.42e-07	7.32e-09	-19.37039523	4.82e-73
cg08252579	chr3	62359623	62359924	0	2.15827338129496e-05	1.98019801980198e-05	0.000885714285714286	FEZF2	chr3	62359773	62359774	cg08252579	FEZF2	F	Island	II	FEZF2	-1.26e-05	2.14e-06	-5.919148645	4.21e-09
cg02712145	chr7	30722283	30722584	0	0	0	0.00041836734693878	CRHR2	chr7	30722433	30722434	cg02712145	CRHR2	R	Island	II	CRHR2	-4.48e-05	3.27e-06	-13.67098535	1.12e-39
cg14265823	chr2	223163176	223163477	0.00065	-2.12014134275618e-05	6.19195046439628e-05	0.000398989898989925	PAX3	chr2	223163326	223163327	cg14265823	PAX3	F	Island	I	PAX3	-7.14e-06	1.44e-06	-4.972461291	7.56e-07
cg13944175	chr19	52222548	52222849	0	3.52112676056338e-05	3.08641975308642e-05	0.000244428969359433	HAS1	chr19	52222698	52222699	cg13944175	HAS1	R	Island	I	HAS1	-1.51e-06	1.71e-07	-8.816570597	4.02e-18
cg15608397	chr2	223163423	223163724	0	0	0	8.74210149174814e-05	PAX3	chr2	223163573	223163574	cg15608397	PAX3	F	Island	I	PAX3	-7.14e-06	1.44e-06	-4.972461291	7.56e-07
cg05637536	chr1	154474918	154475219	0	0	0	0	TDRD10	chr1	154475068	154475069	cg05637536	TDRD10	F	Island	I	TDRD10	-1.23e-05	6.02e-07	-20.36536831	1.55e-79
cg20779964	chr20	54579920	54580221	0	0	0	0	CBLN4	chr20	54580070	54580071	cg20779964	CBLN4	R	Island	I	CBLN4	-6.2e-06	5.43e-07	-11.41412752	9.8e-29
cg04839289	chr14	24045124	24045425	0	0	0	0	JPH4	chr14	24045274	24045275	cg04839289	JPH4	F	Island	I	JPH4	-4.45e-06	9.28e-07	-4.801554075	1.77e-06
cg14535980	chr2	106681787	106682088	0	0	0	0	C2orf40	chr2	106681937	106681938	cg14535980	C2orf40	F	N_Shore	I	C2orf40	-4.77e-07	2.94e-08	-16.23796222	8.38e-54
cg19360104	chr1	154475119	154475420	0	0	0	0	TDRD10	chr1	154475269	154475270	cg19360104	TDRD10	R	Island	II	TDRD10	-1.23e-05	6.02e-07	-20.36536831	1.55e-79
cg15994467	chr12	52401373	52401674	0	0	0	0	GRASP	chr12	52401523	52401524	cg15994467	GRASP	F	Island	II	GRASP	-2.08e-06	1.28e-07	-16.27659076	4.99e-54
cg26476852	chr7	27204578	27204879	0	0	0	0	HOXA9	chr7	27204728	27204729	cg26476852	HOXA9	R	Island	I	HOXA9	-6.84e-07	1.09e-07	-6.297902346	4.21e-10
cg01915791	chr19	36247376	36247677	0	0	0	0	HSPB6	chr19	36247526	36247527	cg01915791	HSPB6	F	Island	II	HSPB6	-9.99e-08	4.35e-09	-22.9642329	3.41e-97
cg13080379	chr1	119527006	119527307	0	0	0	0	TBX15	chr1	119527156	119527157	cg13080379	TBX15	R	Island	II	TBX15	-1.47e-06	7.9e-08	-18.57011321	6.04e-68
cg13917662	chr13	100548363	100548664	0	0	0	0	CLYBL	chr13	100548513	100548514	cg13917662	CLYBL	F	Island	I	CLYBL	-6.32e-06	5.8e-07	-10.90161206	1.83e-26
cg15377283	chr8	55371219	55371520	0	0	0	0	SOX17	chr8	55371369	55371370	cg15377283	SOX17	R	Island	II	SOX17	-2.2e-06	1.06e-07	-20.80661601	1.82e-82
cg06360427	chr18	74962522	74962823	0	0	0	0	GALR1	chr18	74962672	74962673	cg06360427	GALR1	R	Island	I	GALR1	-0.000100767	1.01e-05	-10.02622598	8.76e-23
cg15975217	chr4	140656776	140657077	0	0	0	0	MAML3	chr4	140656926	140656927	cg15975217	MAML3	F	Island	I	MAML3	-1.96e-06	2.36e-07	-8.290334945	2.97e-16
cg02919422	chr8	55370394	55370695	0	0	0	0	SOX17	chr8	55370544	55370545	cg02919422	SOX17	R	Island	II	SOX17	-2.2e-06	1.06e-07	-20.80661601	1.82e-82
cg01354473	chr7	27204653	27204954	0	0	0	0	HOXA9	chr7	27204803	27204804	cg01354473	HOXA9	F	Island	II	HOXA9	-6.84e-07	1.09e-07	-6.297902346	4.21e-10
cg03576469	chr19	46916911	46917212	0	0	0	0	CCDC8	chr19	46917061	46917062	cg03576469	CCDC8	F	S_Shore	II	CCDC8	-7.86e-07	4.31e-08	-18.26385388	5.02e-66
cg05167251	chr2	176987315	176987616	0	0	0	0	HOXD9	chr2	176987465	176987466	cg05167251	HOXD9	R	Island	I	HOXD9	-1.13e-06	1.26e-07	-8.959779968	1.2e-18
cg15133719	chr2	223163654	223163955	0	0	0	0	PAX3	chr2	223163804	223163805	cg15133719	PAX3	R	Island	II	PAX3	-7.14e-06	1.44e-06	-4.972461291	7.56e-07
cg14726637	chr1	207669158	207669459	0	0	0	0	CR1	chr1	207669308	207669309	cg14726637	CR1	R	N_Shore	II	CR1	-8.37e-06	1.18e-06	-7.092578654	2.23e-12
cg01347682	chr4	140656644	140656945	0	0	0	0	MAML3	chr4	140656794	140656795	cg01347682	MAML3	F	Island	II	MAML3	-1.96e-06	2.36e-07	-8.290334945	2.97e-16
cg23282559	chr13	33590980	33591281	0	0	0	0	KL	chr13	33591130	33591131	cg23282559	KL	F	Island	II	KL	-1.02e-05	3.45e-07	-29.54292646	5.93e-145
cg02829688	chr1	119526858	119527159	0	0	0	0	TBX15	chr1	119527008	119527009	cg02829688	TBX15	F	Island	II	TBX15	-1.47e-06	7.9e-08	-18.57011321	6.04e-68
cg00123055	chr8	55370801	55371102	0	0	0	0	SOX17	chr8	55370951	55370952	cg00123055	SOX17	F	Island	I	SOX17	-2.2e-06	1.06e-07	-20.80661601	1.82e-82
cg19161124	chr7	153583413	153583714	0	0	0	0	DPP6	chr7	153583563	153583564	cg19161124	DPP6	F	Island	I	DPP6	-1.35e-05	1.39e-06	-9.673327061	2.26e-21
cg04097639	chr1	200009680	200009981	0	0	0	0	NR5A2	chr1	200009830	200009831	cg04097639	NR5A2	F	Island	I	NR5A2	-7.95e-06	5.01e-07	-15.88287564	9.41e-52
cg17804356	chr1	200009777	200010078	0	0	0	0	NR5A2	chr1	200009927	200009928	cg17804356	NR5A2	R	Island	II	NR5A2	-7.95e-06	5.01e-07	-15.88287564	9.41e-52
cg18406033	chr2	223159719	223160020	0	0	0	0	PAX3	chr2	223159869	223159870	cg18406033	PAX3	R	Island	I	PAX3	-7.14e-06	1.44e-06	-4.972461291	7.56e-07
cg10542584	chr3	62356073	62356374	0	0	0	0	FEZF2	chr3	62356223	62356224	cg10542584	FEZF2	F	Island	I	FEZF2	-1.26e-05	2.14e-06	-5.919148645	4.21e-09
cg04694437	chr5	88184901	88185202	0	0	0	0	MEF2C	chr5	88185051	88185052	cg04694437	MEF2C	R	N_Shore	II	MEF2C	-9.91e-07	8.91e-08	-11.11801506	2.06e-27
cg06495961	chr7	153584432	153584733	0	0	0	0	DPP6	chr7	153584582	153584583	cg06495961	DPP6	R	Island	II	DPP6	-1.35e-05	1.39e-06	-9.673327061	2.26e-21
cg16529477	chr2	223164704	223165005	0	0	0	0	PAX3	chr2	223164854	223164855	cg16529477	PAX3	F	S_Shore	I	PAX3	-7.14e-06	1.44e-06	-4.972461291	7.56e-07
cg04521004	chr3	157821112	157821413	0	0	0	0	SHOX2	chr3	157821262	157821263	cg04521004	SHOX2	R	Island	II	SHOX2	-1.74e-06	3.39e-07	-5.136359459	3.26e-07
cg02900766	chr15	58357169	58357470	0	0	0	0	ALDH1A2	chr15	58357319	58357320	cg02900766	ALDH1A2	R	Island	II	ALDH1A2	-6.52e-06	2.91e-07	-22.40907006	2.4e-93
cg14254720	chr1	90097831	90098132	0	0	0	0	LRRC8C	chr1	90097981	90097982	cg14254720	LRRC8C	R	N_Shore	II	LRRC8C	-2.79e-06	1.98e-07	-14.07955966	8.2e-42
cg23588217	chr1	119529898	119530199	0	0	0	0	TBX15	chr1	119530048	119530049	cg23588217	TBX15	R	Island	II	TBX15	-1.47e-06	7.9e-08	-18.57011321	6.04e-68
cg27560864	chr11	118024189	118024490	0	0	0	0	SCN4B	chr11	118024339	118024340	cg27560864	SCN4B	R	S_Shore	II	SCN4B	-3.4e-06	8.2e-08	-41.53366885	2.88e-235
cg15821319	chr20	37434008	37434309	0	0	0	0	PPP1R16B	chr20	37434158	37434159	cg15821319	PPP1R16B	F	N_Shore	II	PPP1R16B	-1.93e-06	1.1e-07	-17.4850447	3.17e-61
cg13255282	chr4	5021086	5021387	0	0	0	0	CYTL1	chr4	5021236	5021237	cg13255282	CYTL1	F	Island	I	CYTL1	-2.31e-06	1.97e-07	-11.72557885	3.73e-30
cg03531247	chr2	50573335	50573636	0	0	0	0	NRXN1	chr2	50573485	50573486	cg03531247	NRXN1	R	N_Shore	I	NRXN1	-3.72e-06	7.93e-07	-4.691566061	3.02e-06
