ID_REF	MGG4_rep1 Unmethylated Signal	MGG4_rep1 Methylated Signal	MGG4_rep1 Detection Pval	MGG4_rep2 Unmethylated Signal	MGG4_rep2 Methylated Signal	MGG4_rep2 Detection Pval	MGG6_rep1 Unmethylated Signal	MGG6_rep1 Methylated Signal	MGG6_rep1 Detection Pval	MGG6_rep2 Unmethylated Signal	MGG6_rep2 Methylated Signal	MGG6_rep2 Detection Pval	MGG8_rep1 Unmethylated Signal	MGG8_rep1 Methylated Signal	MGG8_rep1 Detection Pval	MGG8_rep2 Unmethylated Signal	MGG8_rep2 Methylated Signal	MGG8_rep2 Detection Pval
cg05334253	5587	303	3.68E-38	4255	209	7.50E-24	5196	319	3.68E-38	6187	267	3.68E-38	7868	294	3.68E-38	6202	355	3.68E-38
cg05335315	2200	11535	3.68E-38	2247	15318	3.68E-38	4127	5083	3.68E-38	6655	7561	3.68E-38	2038	12531	3.68E-38	2085	10711	3.68E-38
cg05337441	12755	2215	3.68E-38	13413	1469	3.68E-38	5054	1756	3.68E-38	8038	1791	3.68E-38	11701	1556	3.68E-38	10043	1575	3.68E-38
cg05337966	11616	1123	3.68E-38	11183	1113	3.68E-38	4141	582	3.68E-38	6488	854	3.68E-38	8641	1084	3.68E-38	7831	1027	3.68E-38
cg05338155	12535	447	3.68E-38	9680	384	3.68E-38	8264	511	3.68E-38	10659	526	3.68E-38	13848	542	3.68E-38	10300	501	3.68E-38
cg05338167	2164	15096	3.68E-38	1579	15415	3.68E-38	1092	5928	3.68E-38	1598	9033	3.68E-38	1878	12220	3.68E-38	1855	10693	3.68E-38
cg05339305	6882	370	3.68E-38	5741	332	3.68E-38	7183	359	3.68E-38	8476	407	3.68E-38	8485	414	3.68E-38	6518	428	3.68E-38
cg05339472	15438	766	3.68E-38	16743	632	3.68E-38	6841	349	3.68E-38	11562	504	3.68E-38	12705	611	3.68E-38	10621	503	3.68E-38
cg05341115	1513	1274	1.64E-06	1118	985	0.00121545	530	1388	1.33E-06	731	1919	3.15E-08	1223	1409	0.000206291	1121	1398	1.85E-05
cg05341670	15079	717	3.68E-38	16519	584	3.68E-38	6529	461	3.68E-38	10439	436	3.68E-38	12944	530	3.68E-38	11837	501	3.68E-38
cg05341878	3370	1970	1.90E-37	2348	1482	2.14E-16	3161	403	6.03E-30	3687	472	4.47E-25	2076	3273	2.90E-25	1748	3272	3.49E-30
cg05342835	15129	3581	3.68E-38	16573	2993	3.68E-38	6227	4002	3.68E-38	9765	6082	3.68E-38	12247	4442	3.68E-38	11797	3748	3.68E-38
cg05343453	1566	3787	1.12E-37	997	3187	2.26E-20	634	3214	7.15E-36	922	4499	3.68E-38	1479	5134	3.68E-38	1215	4374	3.68E-38
cg05345286	6262	457	3.68E-38	4574	341	4.51E-30	6988	303	3.68E-38	9450	413	3.68E-38	6106	332	3.68E-38	5058	283	5.57E-35
cg05346140	1636	12549	3.68E-38	1006	12192	3.68E-38	520	5774	3.68E-38	810	7892	3.68E-38	1080	13226	3.68E-38	1049	12737	3.68E-38
cg05346899	6821	613	3.68E-38	7619	479	3.68E-38	3430	338	3.80E-34	6034	381	3.68E-38	6312	544	3.68E-38	5971	463	3.68E-38
cg05347567	3098	257	5.57E-11	2902	148	2.81E-09	3886	304	3.68E-38	4100	276	2.47E-28	4984	328	7.56E-25	3796	252	6.40E-18
cg05348123	454	432	0.9141857	401	318	0.854265	238	893	0.06250213	231	768	0.4665741	276	976	0.4665838	226	902	0.4590452
cg05348272	10791	761	3.68E-38	10924	664	3.68E-38	4340	381	3.68E-38	7100	506	3.68E-38	8742	588	3.68E-38	8750	647	3.68E-38
cg05348870	14960	4198	3.68E-38	15254	3261	3.68E-38	2031	5862	3.68E-38	2307	8825	3.68E-38	4796	9869	3.68E-38	4344	9472	3.68E-38
cg05350879	566	880	0.3422549	376	549	0.6724243	529	2545	4.85E-21	510	2504	2.29E-11	613	1378	0.02678229	586	983	0.08408345
cg05352541	9442	308	3.68E-38	9803	190	3.68E-38	7586	268	3.68E-38	10175	345	3.68E-38	10326	373	3.68E-38	6964	246	3.68E-38
cg05352668	962	1619	3.16E-05	789	1159	0.005024516	312	2260	1.21E-13	406	2711	2.32E-12	1513	1195	9.89E-05	1159	1024	0.000806204
cg05354432	3483	343	9.98E-16	3218	233	1.18E-12	4904	263	3.68E-38	6726	284	3.68E-38	5036	311	3.06E-25	4002	261	2.43E-20
cg05357320	11096	1061	3.68E-38	10595	900	3.68E-38	4951	666	3.68E-38	7800	844	3.68E-38	8818	1051	3.68E-38	8310	936	3.68E-38
cg05358291	1989	350	0.000610179	1610	214	0.01362254	1396	361	2.57E-05	1615	411	0.000340297	1411	424	0.06171254	1215	353	0.08453069
cg05358404	2829	2681	3.68E-38	2319	1788	1.81E-19	349	2892	6.89E-24	471	3545	4.81E-23	588	3866	3.16E-16	558	3701	2.71E-20
cg05360220	6971	2166	3.68E-38	6973	1680	3.68E-38	3156	1876	3.68E-38	4650	2725	3.68E-38	6124	1499	3.68E-38	5516	1428	3.68E-38
cg05360265	11529	1897	3.68E-38	11709	1290	3.68E-38	4254	629	3.68E-38	5201	916	3.68E-38	9459	1202	3.68E-38	8021	1114	3.68E-38
cg05361373	8319	13247	3.68E-38	8286	12930	3.68E-38	2580	3826	3.68E-38	3826	6517	3.68E-38	11391	2011	3.68E-38	9535	1872	3.68E-38
cg05361811	16220	1703	3.68E-38	16459	1264	3.68E-38	6460	873	3.68E-38	10455	1366	3.68E-38	13102	1679	3.68E-38	12615	1554	3.68E-38
cg05362516	8775	581	3.68E-38	9062	412	3.68E-38	3988	283	3.68E-38	6410	311	3.68E-38	8837	457	3.68E-38	6885	456	3.68E-38
cg05362669	21240	1442	3.68E-38	21579	997	3.68E-38	8966	829	3.68E-38	13849	1229	3.68E-38	18300	1578	3.68E-38	15584	1286	3.68E-38
cg05364569	1055	1208	0.001379305	1046	840	0.008399818	415	2369	1.49E-16	473	2317	2.29E-09	703	2358	2.08E-06	543	1939	2.93E-05
cg05365525	2584	429	3.98E-08	2089	303	5.11E-05	2843	373	1.89E-23	3682	345	3.38E-23	3199	384	1.74E-09	2169	353	1.78E-05
cg05365670	4230	5222	3.68E-38	3638	5049	3.68E-38	888	3913	3.68E-38	1158	6382	3.68E-38	816	9344	3.68E-38	677	9015	3.68E-38
cg05365729	4827	18165	3.68E-38	3820	19821	3.68E-38	5552	6833	3.68E-38	8975	10237	3.68E-38	13556	11414	3.68E-38	12858	10213	3.68E-38
cg05366401	12855	1179	3.68E-38	13483	900	3.68E-38	5854	496	3.68E-38	9484	779	3.68E-38	10070	1034	3.68E-38	9758	1165	3.68E-38
cg05367858	10875	714	3.68E-38	10760	616	3.68E-38	5968	376	3.68E-38	9504	527	3.68E-38	10439	621	3.68E-38	10019	552	3.68E-38
cg05368089	4690	318	7.75E-32	4231	262	3.15E-24	4766	298	3.68E-38	6455	360	3.68E-38	6903	337	3.68E-38	5146	374	8.11E-38
cg05368341	4597	229	5.79E-29	3670	147	2.94E-16	797	2169	2.66E-19	1024	2205	1.70E-13	4219	331	4.29E-17	2790	323	2.57E-09
cg05368762	12990	376	3.68E-38	10272	347	3.68E-38	10490	401	3.68E-38	14390	398	3.68E-38	12887	495	3.68E-38	10713	414	3.68E-38
cg05368942	19389	896	3.68E-38	21108	707	3.68E-38	9862	422	3.68E-38	13390	557	3.68E-38	17319	827	3.68E-38	14538	706	3.68E-38
cg05369142	15380	2112	3.68E-38	16054	1231	3.68E-38	7017	1547	3.68E-38	10264	1973	3.68E-38	12639	743	3.68E-38	12518	713	3.68E-38
cg05369166	5297	468	3.68E-38	3764	275	1.10E-18	10895	9725	3.68E-38	12468	12235	3.68E-38	5335	282	2.18E-28	4228	271	3.46E-23
cg05372736	8809	8999	3.68E-38	9173	9487	3.68E-38	3420	5393	3.68E-38	5041	7620	3.68E-38	6662	8694	3.68E-38	5245	7972	3.68E-38
cg05373276	6186	286	3.68E-38	5362	253	3.68E-38	7815	288	3.68E-38	8654	331	3.68E-38	9968	291	3.68E-38	7967	307	3.68E-38
cg05373457	5333	6001	3.68E-38	4768	5765	3.68E-38	515	5504	3.68E-38	758	8153	3.68E-38	1838	8760	3.68E-38	1400	7834	3.68E-38
cg05373692	1082	301	0.4180753	775	236	0.5763924	959	1064	1.55E-07	1135	1175	8.04E-06	1891	322	0.006476971	1513	342	0.01372104
cg05375800	7504	412	3.68E-38	6557	339	3.68E-38	7919	429	3.68E-38	9976	522	3.68E-38	8697	508	3.68E-38	6936	399	3.68E-38
cg05376895	8501	2196	3.68E-38	8463	1885	3.68E-38	3269	2936	3.68E-38	4861	3942	3.68E-38	9686	2149	3.68E-38	9302	2189	3.68E-38
cg05376954	1203	328	0.2496855	1030	214	0.3101804	1126	332	0.002199998	1339	340	0.01136963	1422	368	0.07662908	1303	270	0.08231227
cg05379350	8667	1303	3.68E-38	8927	1285	3.68E-38	1021	3423	3.68E-38	1611	5065	3.68E-38	9195	1958	3.68E-38	8842	1634	3.68E-38
cg05380570	2266	277	5.22E-05	2619	244	6.62E-08	2880	232	1.13E-21	4431	221	8.77E-33	2841	259	1.29E-06	2148	247	8.27E-05
cg05380910	3279	1712	1.46E-31	2754	1305	6.48E-19	1479	785	5.79E-10	1843	1008	6.87E-10	2434	1255	3.36E-10	2656	1659	5.97E-21
cg05380982	15295	1440	3.68E-38	16282	976	3.68E-38	6925	871	3.68E-38	10235	1411	3.68E-38	12647	1331	3.68E-38	11014	1307	3.68E-38
cg05382123	5405	390	3.68E-38	4480	271	1.01E-27	5424	370	3.68E-38	6525	394	3.68E-38	5940	345	5.14E-37	4116	290	4.84E-22
cg05382565	7761	655	3.68E-38	7653	490	3.68E-38	4144	291	3.68E-38	6416	467	3.68E-38	8453	611	3.68E-38	8182	568	3.68E-38
cg05382730	14244	1030	3.68E-38	13919	845	3.68E-38	6951	496	3.68E-38	11612	890	3.68E-38	12933	1020	3.68E-38	12421	1088	3.68E-38
cg05384917	4628	9583	3.68E-38	4955	9600	3.68E-38	878	5345	3.68E-38	1127	8513	3.68E-38	1538	12635	3.68E-38	1468	10817	3.68E-38
cg05385377	14849	4882	3.68E-38	15170	4454	3.68E-38	6864	1240	3.68E-38	10904	1766	3.68E-38	7806	10116	3.68E-38	7734	9640	3.68E-38
cg05386606	8640	12523	3.68E-38	7672	12212	3.68E-38	2903	7176	3.68E-38	4280	11822	3.68E-38	4552	14860	3.68E-38	4273	14800	3.68E-38
cg05388361	12351	1214	3.68E-38	13096	954	3.68E-38	6038	575	3.68E-38	9717	853	3.68E-38	11128	1125	3.68E-38	10316	1145	3.68E-38
cg05389024	683	304	0.8524874	445	254	0.8673517	668	280	0.2121978	559	293	0.6518742	869	280	0.5688699	859	314	0.4078925
cg05389183	1429	254	0.1236759	1153	168	0.2349296	1849	200	8.84E-08	1796	193	0.000522885	2263	214	0.00083144	1402	202	0.06952599
cg05389335	7917	1194	3.68E-38	7748	710	3.68E-38	967	4960	3.68E-38	1448	7763	3.68E-38	9377	1190	3.68E-38	8700	1004	3.68E-38
cg05390437	10958	599	3.68E-38	10748	491	3.68E-38	5632	281	3.68E-38	8969	442	3.68E-38	11914	556	3.68E-38	10414	571	3.68E-38
cg05392265	3450	9898	3.68E-38	2602	10709	3.68E-38	2608	4262	3.68E-38	4132	5597	3.68E-38	4400	6696	3.68E-38	4602	6382	3.68E-38
cg05393484	534	317	0.9302722	340	187	0.9475821	220	932	0.05277956	274	918	0.2399182	459	671	0.5874427	448	528	0.6318332
cg05394497	19557	729	3.68E-38	19705	533	3.68E-38	8157	402	3.68E-38	12775	511	3.68E-38	16564	719	3.68E-38	14820	571	3.68E-38
cg05395196	14962	1051	3.68E-38	13384	702	3.68E-38	5060	451	3.68E-38	7929	737	3.68E-38	10180	849	3.68E-38	9117	806	3.68E-38
cg05395995	816	9132	3.68E-38	700	8509	3.68E-38	2277	637	1.71E-18	3436	807	2.60E-26	2925	4444	3.68E-38	2780	4034	3.68E-38
cg05396987	11039	911	3.68E-38	10455	605	3.68E-38	5451	1146	3.68E-38	8046	1645	3.68E-38	10063	923	3.68E-38	9600	796	3.68E-38
cg05397738	9071	6243	3.68E-38	9556	6078	3.68E-38	2104	6115	3.68E-38	3058	8659	3.68E-38	6815	10664	3.68E-38	5887	10043	3.68E-38
cg05399360	6571	312	3.68E-38	5194	230	5.19E-38	837	1211	9.03E-08	900	1390	1.07E-05	6554	452	3.68E-38	4415	332	2.14E-26
cg05399553	6840	1045	3.68E-38	7533	801	3.68E-38	4838	543	3.68E-38	6649	674	3.68E-38	6538	997	3.68E-38	5887	946	3.68E-38
cg05399697	2691	770	5.76E-12	2199	544	4.30E-07	1295	2443	1.64E-33	1089	2401	2.34E-16	3036	1605	6.14E-18	2919	1521	1.86E-22
cg05399707	11750	752	3.68E-38	12209	542	3.68E-38	5691	343	3.68E-38	9373	517	3.68E-38	10756	723	3.68E-38	9212	641	3.68E-38
cg05401645	15233	274	3.68E-38	14769	216	3.68E-38	12432	196	3.68E-38	14918	242	3.68E-38	17054	308	3.68E-38	12338	234	3.68E-38
cg05402265	3157	363	1.55E-12	2944	279	1.16E-10	3322	274	1.38E-30	4015	309	1.56E-27	3289	301	1.56E-09	2278	262	1.42E-05
cg05403071	2010	2649	1.87E-26	2056	2411	6.86E-24	2109	1854	3.68E-38	2636	1987	2.67E-32	4621	409	8.50E-22	3371	357	1.26E-14
cg05404787	1844	7064	3.68E-38	982	5822	3.68E-38	878	7054	3.68E-38	910	8882	3.68E-38	1053	7994	3.68E-38	731	7726	3.68E-38
cg05406101	1985	3732	3.68E-38	1857	3052	5.52E-30	561	3766	3.68E-38	598	4390	3.68E-38	791	4778	8.17E-28	601	3662	2.43E-20
cg05409038	22633	1249	3.68E-38	24171	605	3.68E-38	9305	545	3.68E-38	14069	875	3.68E-38	17183	941	3.68E-38	17989	816	3.68E-38
cg05409601	2318	250	3.76E-05	2128	198	0.00011202	4559	271	3.68E-38	5564	251	3.68E-38	5594	278	1.54E-31	3651	221	4.62E-16
cg05411032	4058	315	1.96E-22	3550	240	5.64E-16	3565	374	6.86E-38	3452	393	9.82E-21	4290	283	2.64E-17	3401	258	5.82E-14
cg05412136	2962	247	1.06E-09	2751	175	2.36E-08	1508	184	7.59E-05	2472	243	9.56E-09	3638	255	1.18E-11	2930	243	8.94E-10
cg05412531	511	672	0.6651297	345	593	0.6584477	199	1700	1.92E-06	229	1759	0.000528893	926	1403	0.002761217	806	1028	0.01599867
cg05413282	9394	3052	3.68E-38	9310	2591	3.68E-38	789	3446	3.68E-38	1007	5380	3.68E-38	7587	4149	3.68E-38	6554	3607	3.68E-38
cg05414225	11297	767	3.68E-38	12558	594	3.68E-38	5964	375	3.68E-38	9469	668	3.68E-38	11854	674	3.68E-38	10176	603	3.68E-38
cg05414338	395	4204	1.40E-25	321	3389	3.75E-15	1470	176	0.00015711	1885	221	0.00012841	2640	415	2.23E-06	1833	337	0.00091642
cg05417615	1657	198	0.04442789	1235	198	0.1460729	2303	216	5.80E-13	2919	237	9.46E-13	3967	219	6.14E-14	3020	245	1.67E-10
cg05417950	754	345	0.7556884	658	273	0.666002	889	436	0.01034521	1131	528	0.01343984	1092	415	0.2354522	1102	372	0.1349272
cg05417985	15428	457	3.68E-38	15460	277	3.68E-38	9619	314	3.68E-38	13918	421	3.68E-38	14550	364	3.68E-38	13451	356	3.68E-38
cg05418129	1143	1118	0.001408203	719	874	0.0635198	442	558	0.1567868	593	797	0.08925169	721	1090	0.06935817	684	1006	0.04199186
cg05418487	13546	2101	3.68E-38	14704	1675	3.68E-38	5514	4318	3.68E-38	9073	6750	3.68E-38	13679	4171	3.68E-38	12924	3711	3.68E-38
cg05419984	1770	761	6.10E-05	1502	603	0.001191884	1257	283	0.00074296	1626	361	0.000534964	1944	644	0.000310843	1903	751	3.16E-06
cg05420896	3696	855	6.79E-25	4584	750	1.55E-36	2597	423	3.68E-20	4055	514	2.07E-31	4312	777	2.04E-22	3514	697	9.70E-20
cg05421555	7569	394	3.68E-38	7242	203	3.68E-38	6211	265	3.68E-38	6868	325	3.68E-38	7643	355	3.68E-38	5048	320	2.11E-35
cg05421673	19441	1381	3.68E-38	19789	903	3.68E-38	8289	852	3.68E-38	12763	1204	3.68E-38	17124	1326	3.68E-38	15475	1297	3.68E-38
cg05421688	5133	2530	3.68E-38	4389	2045	3.68E-38	1236	5609	3.68E-38	1503	6411	3.68E-38	8316	588	3.68E-38	6662	472	3.68E-38
cg05421946	16279	1156	3.68E-38	17857	894	3.68E-38	7693	577	3.68E-38	10288	795	3.68E-38	14428	976	3.68E-38	13589	810	3.68E-38
cg05422352	3355	297	7.30E-14	3354	154	3.50E-13	2084	1192	1.65E-24	2593	1255	8.97E-21	3320	1193	9.32E-17	2745	889	1.00E-13
cg05423257	4313	476	2.13E-28	3502	297	4.54E-16	590	4495	3.68E-38	673	5164	3.68E-38	2492	3716	5.84E-36	2002	2684	1.38E-25
cg05428978	7541	304	3.68E-38	7353	188	3.68E-38	5861	185	3.68E-38	8174	306	3.68E-38	8172	267	3.68E-38	6443	221	3.68E-38
cg05429895	2971	402	3.82E-11	2375	256	2.21E-06	3172	1051	3.68E-38	3354	1342	1.59E-33	3198	524	1.99E-10	2718	450	9.77E-10
cg05432118	6905	577	3.68E-38	5831	392	3.68E-38	5803	463	3.68E-38	7425	510	3.68E-38	8215	521	3.68E-38	6389	411	3.68E-38
cg05433460	563	457	0.8270734	421	408	0.7673325	317	855	0.04467471	281	1080	0.1053188	598	776	0.3487522	517	644	0.4214176
cg05434957	16077	1236	3.68E-38	17551	1164	3.68E-38	7093	657	3.68E-38	10914	846	3.68E-38	13213	1192	3.68E-38	12657	1204	3.68E-38
cg05435853	3874	271	1.75E-19	3507	205	3.58E-15	4540	227	3.68E-38	4717	269	3.68E-38	5052	337	1.02E-25	4445	268	6.07E-26
cg05436231	12516	974	3.68E-38	12137	692	3.68E-38	3543	3709	3.68E-38	5189	5921	3.68E-38	8674	1474	3.68E-38	8005	1286	3.68E-38
cg05436658	8117	3379	3.68E-38	8786	3415	3.68E-38	1848	4402	3.68E-38	2258	5924	3.68E-38	6339	1159	3.68E-38	5767	962	3.68E-38
cg05437059	5403	7748	3.68E-38	4634	7634	3.68E-38	893	5341	3.68E-38	1272	6252	3.68E-38	8931	5278	3.68E-38	7907	4760	3.68E-38
cg05439318	6249	260	3.68E-38	5009	219	7.72E-35	4523	221	3.68E-38	5091	284	3.68E-38	5113	281	8.94E-26	4584	233	2.42E-27
cg05439368	7726	7642	3.68E-38	6407	7136	3.68E-38	958	4402	3.68E-38	1389	6642	3.68E-38	3012	8136	3.68E-38	2660	8224	3.68E-38
cg05440218	12737	825	3.68E-38	13808	612	3.68E-38	7072	475	3.68E-38	11235	722	3.68E-38	14008	888	3.68E-38	12242	824	3.68E-38
cg05440289	1723	293	0.01350784	1317	186	0.1038122	903	1748	1.08E-14	905	1897	1.81E-09	1700	347	0.01921381	1414	334	0.02899659
cg05441133	1474	7735	3.68E-38	1158	6872	3.68E-38	763	4163	3.68E-38	893	6352	3.68E-38	4386	1780	2.17E-35	4004	1383	1.07E-35
cg05442902	16028	1712	3.68E-38	16616	1210	3.68E-38	5744	3189	3.68E-38	9859	4681	3.68E-38	14338	980	3.68E-38	12731	1066	3.68E-38
cg05443740	24903	1611	3.68E-38	26159	1164	3.68E-38	10831	644	3.68E-38	14991	1082	3.68E-38	19952	1005	3.68E-38	19117	850	3.68E-38
cg05444024	3315	743	2.05E-18	2827	610	1.58E-12	636	2753	1.42E-26	661	4137	2.82E-35	2809	629	1.47E-08	2535	577	2.62E-09
cg05445326	694	9028	3.68E-38	536	8602	3.68E-38	341	4182	3.68E-38	381	5919	3.68E-38	746	8503	3.68E-38	711	7735	3.68E-38
cg05446471	1918	5487	3.68E-38	1528	4268	3.68E-38	331	6357	3.68E-38	394	6990	3.68E-38	793	8284	3.68E-38	646	6771	3.68E-38
cg05449414	10615	1228	3.68E-38	10746	892	3.68E-38	4605	870	3.68E-38	7487	1157	3.68E-38	8767	1151	3.68E-38	7718	1119	3.68E-38
cg05449607	8893	746	3.68E-38	9405	553	3.68E-38	3195	387	2.64E-30	4758	582	3.68E-38	5849	2166	3.68E-38	6036	2146	3.68E-38
cg05450995	5931	706	3.68E-38	4810	539	8.83E-37	3138	346	2.23E-28	4847	474	3.68E-38	5948	564	3.68E-38	5655	612	3.68E-38
cg05451974	6924	211	3.68E-38	4984	177	8.69E-34	5612	170	3.68E-38	7007	250	3.68E-38	7314	206	3.68E-38	5485	209	3.68E-38
cg05454446	3288	2958	3.68E-38	2436	2532	7.46E-31	2759	2836	3.68E-38	4007	4074	3.68E-38	1493	7209	3.68E-38	1212	5718	3.68E-38
cg05457411	2986	263	4.82E-10	2848	199	2.96E-09	2740	238	1.72E-19	2541	239	2.78E-09	3125	303	1.69E-08	3110	274	1.73E-11
cg05459203	7963	1143	3.68E-38	8908	907	3.68E-38	4930	541	3.68E-38	6791	767	3.68E-38	8915	1157	3.68E-38	8422	953	3.68E-38
cg05461276	1791	541	0.000659269	1464	314	0.01912536	330	2268	5.54E-14	371	2742	2.54E-12	2693	733	1.74E-08	2226	629	1.73E-07
cg05461841	4154	620	3.61E-28	3824	422	4.06E-21	669	2295	2.86E-19	1006	2329	1.27E-14	4452	1319	2.86E-30	3203	1142	2.63E-21
cg05462826	7797	368	3.68E-38	8050	213	3.68E-38	6328	322	3.68E-38	9107	303	3.68E-38	8430	371	3.68E-38	6122	290	3.68E-38
cg05463705	15280	867	3.68E-38	16343	656	3.68E-38	7291	457	3.68E-38	11936	738	3.68E-38	13818	897	3.68E-38	12237	657	3.68E-38
cg05465755	18805	927	3.68E-38	20202	831	3.68E-38	8369	525	3.68E-38	13238	634	3.68E-38	15902	907	3.68E-38	15120	882	3.68E-38
cg05467106	19959	1506	3.68E-38	20521	1119	3.68E-38	7880	689	3.68E-38	10571	990	3.68E-38	15912	1295	3.68E-38	15685	1127	3.68E-38
cg05467167	2115	307	0.000235361	1590	208	0.01653573	2222	288	7.53E-13	2609	273	3.67E-10	2983	259	2.14E-07	2509	312	2.89E-07
cg05467458	2358	3540	3.68E-38	1884	3929	3.68E-38	708	2493	3.45E-23	947	3462	7.55E-29	1180	4866	8.62E-34	1157	4399	3.68E-38
cg05467918	6326	290	3.68E-38	4684	199	1.32E-29	5375	240	3.68E-38	5991	262	3.68E-38	4474	274	5.85E-19	3651	241	2.88E-16
cg05468303	5570	6644	3.68E-38	5951	5736	3.68E-38	2853	2964	3.68E-38	3984	4397	3.68E-38	3879	6432	3.68E-38	4276	6401	3.68E-38
cg05469695	17941	1950	3.68E-38	19633	1004	3.68E-38	4520	7893	3.68E-38	7946	10877	3.68E-38	15817	950	3.68E-38	13396	894	3.68E-38
cg05471297	16499	1621	3.68E-38	17438	998	3.68E-38	6683	1690	3.68E-38	10118	2320	3.68E-38	14546	1030	3.68E-38	13194	1052	3.68E-38
cg05471521	2320	263	3.08E-05	1779	208	0.003580146	1208	556	2.28E-05	1095	657	0.005980265	2940	476	2.00E-08	1970	396	0.000115341
cg05471775	1045	399	0.3445843	992	264	0.2977879	738	261	0.1577534	724	376	0.3409972	1057	310	0.3552439	916	370	0.2878277
cg05472874	14069	9426	3.68E-38	14271	8909	3.68E-38	5481	1370	3.68E-38	9516	1898	3.68E-38	10809	5513	3.68E-38	10406	5219	3.68E-38
cg05473175	14409	1960	3.68E-38	14986	1426	3.68E-38	6644	979	3.68E-38	9989	1514	3.68E-38	13551	1696	3.68E-38	11390	1662	3.68E-38
cg05473677	13872	20010	3.68E-38	14064	20713	3.68E-38	1512	9198	3.68E-38	2222	14120	3.68E-38	3473	19004	3.68E-38	3418	17399	3.68E-38
cg05473871	6870	1009	3.68E-38	6058	643	3.68E-38	504	3070	3.81E-30	705	4901	3.68E-38	4277	1772	7.87E-34	3968	1769	3.68E-38
cg05475028	15194	1563	3.68E-38	17383	1417	3.68E-38	7268	795	3.68E-38	11549	1201	3.68E-38	13408	1601	3.68E-38	11268	1542	3.68E-38
cg05475277	1250	3976	1.82E-35	657	2513	3.17E-10	301	3524	2.27E-35	450	4591	3.68E-38	470	5338	9.87E-31	389	4848	2.19E-33
cg05475904	720	10202	3.68E-38	546	11466	3.68E-38	364	5452	3.68E-38	486	7416	3.68E-38	653	9566	3.68E-38	545	8418	3.68E-38
cg05477024	1773	209	0.01770553	1547	183	0.02677734	551	2031	8.98E-14	492	1856	4.58E-06	2011	478	0.000750145	1306	407	0.03636379
cg05477027	9753	405	3.68E-38	9411	336	3.68E-38	8577	402	3.68E-38	9006	450	3.68E-38	10994	402	3.68E-38	8612	368	3.68E-38
cg05480532	2522	3640	3.68E-38	1677	2566	4.42E-21	979	3188	3.68E-38	1026	3313	9.17E-28	2122	3729	2.84E-31	1784	2499	1.42E-20
cg05482722	1130	5141	3.68E-38	763	5107	3.68E-38	484	2097	9.26E-14	645	3070	4.58E-19	858	4536	8.94E-26	789	3885	1.98E-25
cg05483509	8110	1484	3.68E-38	8418	1155	3.68E-38	3994	1086	3.68E-38	5305	1532	3.68E-38	6809	3699	3.68E-38	6395	2964	3.68E-38
cg05484458	3840	7832	3.68E-38	3841	7620	3.68E-38	1196	4185	3.68E-38	1598	6430	3.68E-38	1862	8232	3.68E-38	1658	8078	3.68E-38
cg05484920	24720	1243	3.68E-38	22285	848	3.68E-38	9874	666	3.68E-38	14481	865	3.68E-38	18537	981	3.68E-38	16573	954	3.68E-38
cg05485060	439	520	0.8719854	324	352	0.8813722	218	1800	1.72E-07	254	1793	0.00026509	239	1802	0.01992635	277	1646	0.008157048
cg05485062	7678	1949	3.68E-38	6946	1701	3.68E-38	790	4181	3.68E-38	1176	5953	3.68E-38	6715	3365	3.68E-38	6004	3296	3.68E-38
cg05486551	2262	732	5.55E-08	1938	597	8.26E-06	2124	388	7.11E-13	3442	488	7.25E-22	2476	669	7.42E-07	2312	577	1.02E-07
cg05488632	1768	10613	3.68E-38	1264	11766	3.68E-38	692	4780	3.68E-38	907	7682	3.68E-38	1372	9125	3.68E-38	1192	8622	3.68E-38
cg05492113	7353	1658	3.68E-38	8180	1043	3.68E-38	3553	3491	3.68E-38	5673	4635	3.68E-38	5038	7037	3.68E-38	5220	6975	3.68E-38
cg05492270	1835	255	0.007230173	1502	201	0.03210678	2632	208	2.24E-17	3099	233	1.37E-14	2790	266	2.20E-06	1925	232	0.00104033
cg05492503	20820	706	3.68E-38	20744	524	3.68E-38	8516	352	3.68E-38	13694	403	3.68E-38	16865	494	3.68E-38	16709	613	3.68E-38
cg05492605	10068	726	3.68E-38	9524	576	3.68E-38	4795	360	3.68E-38	6753	536	3.68E-38	8058	644	3.68E-38	6955	622	3.68E-38
cg05492845	11974	951	3.68E-38	12277	545	3.68E-38	6581	279	3.68E-38	10311	371	3.68E-38	13188	924	3.68E-38	11647	1039	3.68E-38
cg05494069	3966	295	5.89E-21	3114	278	4.04E-12	3880	249	3.68E-38	4303	335	1.50E-32	4010	331	3.07E-15	2935	350	1.15E-10
cg05494459	11454	4134	3.68E-38	12068	3985	3.68E-38	5179	2729	3.68E-38	7387	3397	3.68E-38	10043	4636	3.68E-38	8593	4222	3.68E-38
cg05497107	15181	1396	3.68E-38	15349	1098	3.68E-38	6794	715	3.68E-38	10941	1219	3.68E-38	14357	1443	3.68E-38	12120	1157	3.68E-38
cg05497616	15942	786	3.68E-38	18247	566	3.68E-38	7029	417	3.68E-38	11701	555	3.68E-38	14495	776	3.68E-38	13973	639	3.68E-38
cg05498681	657	3011	4.98E-14	582	2439	4.68E-09	327	3359	2.01E-32	410	3450	6.23E-21	1318	1846	5.84E-07	1304	1626	5.38E-08
