	Case_to_Control.logFC	Case_to_Control.AveExpr	Case_to_Control.t	Case_to_Control.P.Value	Case_to_Control.adj.P.Val	Case_to_Control.B	Case_to_Control.Case_AVG	Case_to_Control.Control_AVG	Case_to_Control.deltaBeta	Case_to_Control.CHR	Case_to_Control.MAPINFO	Case_to_Control.Strand	Case_to_Control.Type	Case_to_Control.gene	Case_to_Control.feature	Case_to_Control.cgi	Case_to_Control.feat.cgi	Case_to_Control.UCSC_Islands_Name	Case_to_Control.SNP_ID	Case_to_Control.SNP_DISTANCE
cg23907051	0.0352611514828703	0.378543349214364	4.78060768798217	1.64486871545468e-05	0.0118428618803823	1.91124555717262	0.360912773472929	0.396173924955799	0.0352611514828703	2	101730305	F	II	TBC1D8	Body	opensea	Body-opensea		rs188544827	24
cg16441262	0.0397083221717128	0.459042893625784	4.78045716125809	1.6457067887559e-05	0.0118428618803823	1.91074706435031	0.439188732539927	0.47889705471164	0.0397083221717127	15	86171721	F	II	AKAP13	Body	opensea	Body-opensea		rs138768257;rs77182755;rs74025645	1;34;45
cg23422170	0.038342410481823	0.46891625048633	4.78009410396522	1.64772987393762e-05	0.0118459860892668	1.90954476652438	0.449745045245418	0.488087455727241	0.038342410481823	2	10345003	R	II	C2orf48	Body	opensea	Body-opensea		rs114588808;rs542169225	21;4
cg20121012	0.0351336800280678	0.391361211492346	4.77979171888989	1.64941673573056e-05	0.0118466894041978	1.90854341546912	0.373794371478312	0.40892805150638	0.0351336800280678	12	93516072	R	II		IGR	opensea	IGR-opensea		rs369061663	47
cg23440569	0.0494772453128304	0.803628644128351	4.77922925806707	1.65255894776247e-05	0.0118522821458857	1.90668088181205	0.778890021471936	0.828367266784766	0.0494772453128302	12	50528754	F	II	CERS5	Body	opensea	Body-opensea		rs565984463;rs528350514	0;1
cg19673529	0.0344590587267737	0.727343774131857	4.77884970042501	1.65468268406624e-05	0.0118522821458857	1.90542405867339	0.710114244768471	0.744573303495244	0.0344590587267739	5	135496656	R	II	SMAD5	Body	opensea	Body-opensea			
cg02331761	0.0362608853787326	0.332226684862675	4.77843189953329	1.65702350127961e-05	0.0118522821458857	1.90404064287598	0.314096242173309	0.350357127552041	0.0362608853787327	3	185900959	R	II	DGKG	Body	opensea	Body-opensea		rs531780755	2
cg18621661	0.0338885458287543	0.832887362108893	4.77833687389106	1.65755635611215e-05	0.0118522821458857	1.90372600153789	0.815943089194516	0.849831635023271	0.0338885458287543	8	141950472	R	II	PTK2	Body	opensea	Body-opensea		rs539541265;rs557769563	17;2
cg13817265	0.0396399792757041	0.610262644751976	4.77823205308233	1.65814433236026e-05	0.0118522821458857	1.90337892984144	0.590442655114124	0.630082634389828	0.0396399792757042	12	24104357	R	II	SOX5	5'UTR	opensea	5'UTR-opensea		rs144797669;rs186944608;rs555086229	31;13;2
cg05279373	0.0357901666943379	0.421369821519944	4.77721566894427	1.66385621449054e-05	0.0118644803766113	1.90001372739757	0.403474738172775	0.439264904867113	0.0357901666943378	11	114166971	F	II	NNMT	5'UTR	opensea	5'UTR-opensea		rs193139343;rs540892276	19;50
cg19828049	0.0418017935278721	0.430193671410407	4.77703649410963	1.66486514362028e-05	0.0118644803766113	1.89942051430343	0.409292774646472	0.451094568174343	0.0418017935278719	15	70819120	F	II		IGR	opensea	IGR-opensea		rs187866707;rs573557228;rs535847354;rs7162398	26;27;41;42
cg13958583	0.0284523777039775	0.878086637617623	4.77680499737727	1.66616958561245e-05	0.0118644803766113	1.89865408544898	0.863860448765634	0.892312826469612	0.0284523777039775	8	101774065	R	II		IGR	opensea	IGR-opensea		rs532364471	20
cg26101690	0.0370593043784395	0.295391470351673	4.77673175636784	1.6665824943264e-05	0.0118644803766113	1.89841160523623	0.276861818162453	0.313921122540893	0.0370593043784395	11	60545266	R	II		IGR	opensea	IGR-opensea		rs191124046;rs559506800;rs114948861;rs34015305	35;9;3;1
cg17570555	0.0308539431270696	0.797693924127827	4.77651448779017	1.66780797430661e-05	0.0118644803766113	1.89769229848081	0.782266952564292	0.813120895691362	0.0308539431270696	4	152497286	F	II	FAM160A1	Body	opensea	Body-opensea			
cg17571972	0.0390784151695358	0.496535721644487	4.77567044949894	1.67257708225054e-05	0.0118870643181705	1.89489806975451	0.476996514059719	0.516074929229255	0.0390784151695356	1	212902088	R	II	NSL1	3'UTR	opensea	3'UTR-opensea		rs556618910	20
cg10834561	0.029470152721288	0.221174457221078	4.77441045468788	1.67972141349839e-05	0.0118959836764978	1.89072712903327	0.206439380860434	0.235909533581722	0.029470152721288	17	55504960	F	II	MSI2	Body	opensea	Body-opensea			
cg06547788	0.0393810729064941	0.722787262472103	4.77407321789354	1.68163866683785e-05	0.0118959836764978	1.88961084689509	0.703096726018856	0.74247779892535	0.0393810729064938	18	23903041	F	II	TAF4B	Body	opensea	Body-opensea		rs535434106;rs548662015	0;12
cg07599432	0.0437267431251356	0.683994428854943	4.77407205659477	1.68164527274637e-05	0.0118959836764978	1.88960700294777	0.662131057292375	0.705857800417511	0.0437267431251357	10	119126318	R	II	PDZD8	Body	opensea	Body-opensea		rs568217192;rs189020550	41;1
cg15028201	0.0294579960358461	0.784832500314621	4.77380350113149	1.68317360268957e-05	0.0118959836764978	1.88871808224483	0.770103502296698	0.799561498332544	0.029457996035846	15	52407049	R	II		IGR	shelf	IGR-shelf	chr15:52404191-52404978	rs541044157;rs553536791	2;1
cg11444026	0.0374239725671748	0.833740819825356	4.77358299251138	1.68442952106645e-05	0.0118959836764978	1.88798821048235	0.815028833541768	0.852452806108943	0.0374239725671749	3	44986745	F	II	ZDHHC3	Body	opensea	Body-opensea			
cg07986378	0.0366467047961438	0.493138667327833	4.77313264109097	1.68699738040834e-05	0.0118959836764978	1.88649760917629	0.474815314929761	0.511462019725905	0.0366467047961437	12	11898284	R	II	ETV6	Body	opensea	Body-opensea		rs546199558	23
cg07392120	0.0302016350087584	0.841195150779852	4.77250344582101	1.6905914271242e-05	0.0118959836764978	1.88441514444362	0.826094333275473	0.856295968284231	0.0302016350087585	5	159876060	F	II		IGR	opensea	IGR-opensea		rs184934027;rs190972944;rs73318356	15;26;30
cg07707172	0.0404434637682508	0.519465298608905	4.77250030887377	1.69060936460341e-05	0.0118959836764978	1.88440476225251	0.499243566724779	0.53968703049303	0.0404434637682508	2	28177219	R	II	BRE	Body	opensea	Body-opensea		rs572231595	24
cg00971426	0.0402345755228964	0.516540614509548	4.77214961340372	1.69261586632277e-05	0.0118959836764978	1.88324409925832	0.4964233267481	0.536657902270997	0.0402345755228964	8	80742735	F	II	LOC101927040	Body	opensea	Body-opensea		rs189622945;rs114054788;rs150331307;rs77851183	1;27;28;31
cg04765471	0.0354485356248754	0.612579134531428	4.77211801588241	1.69279676610828e-05	0.0118959836764978	1.88313952550252	0.59485486671899	0.630303402343866	0.0354485356248754	10	11799636	F	II	ECHDC3	Body	opensea	Body-opensea		rs539874665;rs373430506	0;29
cg07767843	0.0200667355441186	0.8824735624497	4.7718458676824	1.69435563486274e-05	0.0118959836764978	1.88223884625177	0.872440194677641	0.89250693022176	0.0200667355441186	11	80918951	F	I		IGR	opensea	IGR-opensea		rs58088511;rs567083932;rs188240319;rs56035957	11;12;41;46
cg04097923	0.0315435646797022	0.332490650966217	4.77179780514624	1.69463108415547e-05	0.0118959836764978	1.88207978437406	0.316718868626366	0.348262433306068	0.0315435646797022	17	76291008	R	II		IGR	opensea	IGR-opensea		rs8064385;rs563284740;rs532221424	40;29;28
cg18480071	0.0354506481752558	0.262294110288779	4.77142246044378	1.69678372022034e-05	0.0118959836764978	1.88083760949713	0.244568786201151	0.280019434376407	0.0354506481752557	13	99964811	R	II	UBAC2	Body	opensea	Body-opensea		rs564407676	1
cg00329157	0.0373974192015387	0.649713437415209	4.77130114729305	1.69748003611729e-05	0.0118959836764978	1.88043614036823	0.63101472781444	0.668412147015978	0.0373974192015387	3	111844870	R	II	GCET2	5'UTR	opensea	5'UTR-opensea			
cg17990814	0.0388634030103276	0.505748644298727	4.77125120661767	1.69776676822247e-05	0.0118959836764978	1.88027086966898	0.486316942793564	0.525180345803891	0.0388634030103274	2	172735079	R	II	SLC25A12	Body	opensea	Body-opensea		rs140937892;rs144659784;rs146619292;rs570481781	26;8;7;1
cg01681229	0.0429079356392523	0.778130033823693	4.77012570257897	1.70424142536599e-05	0.0119005489668599	1.87654635962847	0.756676066004067	0.799584001643319	0.0429079356392523	5	51952608	R	II		IGR	opensea	IGR-opensea			
cg24010825	0.0349670301743907	0.820150749524776	4.7699982994296	1.70497585976623e-05	0.0119005489668599	1.87612477806407	0.80266723443758	0.837634264611971	0.0349670301743907	3	89306485	R	II	EPHA3	Body	opensea	Body-opensea		rs573784364	2
cg21315017	0.0285675556936533	0.287240715741927	4.76958931931313	1.70733558697946e-05	0.0119005489668599	1.87477147582576	0.2729569378951	0.301524493588753	0.0285675556936533	20	49201542	R	II	MIR645	TSS1500	opensea	TSS1500-opensea		rs535767097	2
cg12026546	0.0218258135752742	0.835354605057023	4.7693617330617	1.70865009899022e-05	0.0119005489668599	1.87401841833362	0.824441698269386	0.84626751184466	0.0218258135752742	10	134421307	F	I	INPP5A	Body	opensea	Body-opensea		rs541528204;rs561844873;rs571903339;rs143616226;rs563780429	4;7;8;11;19
cg01932361	0.0331632374916616	0.830656080705214	4.76933683769907	1.7087939520202e-05	0.0119005489668599	1.87393604314833	0.814074461959383	0.847237699451045	0.0331632374916616	16	86985993	F	II		IGR	opensea	IGR-opensea		rs68173841;rs12711468;rs538958084;rs74037303	10;38;41;42
cg00675637	0.0357335441143225	0.597061379232175	4.7691529578253	1.70985683457648e-05	0.0119005489668599	1.87332761583517	0.579194607175014	0.614928151289337	0.0357335441143224	10	94606899	R	II	EXOC6	TSS1500	shore	TSS1500-shore	chr10:94608037-94609039	rs542315488;rs562067464	27;1
cg27436049	0.0396285895686524	0.297508290087774	4.76876644606547	1.7120931087163e-05	0.0119005489668599	1.87204874168379	0.277693995303448	0.317322584872101	0.0396285895686523	13	105490607	R	II		IGR	opensea	IGR-opensea		rs529712795;rs542981099	5;2
cg21883766	0.0341720970976473	0.444086358502813	4.76870131800048	1.7124702083237e-05	0.0119005489668599	1.8718332523282	0.427000309953989	0.461172407051636	0.0341720970976472	10	32640226	R	II	EPC1	Body	shelf	Body-shelf	chr10:32635217-32636655	rs569599622	9
cg26747858	0.0340708085858191	0.753054863909855	4.76864702462612	1.71278463604863e-05	0.0119005489668599	1.87165361254957	0.736019459616946	0.770090268202764	0.0340708085858189	2	7127183	R	II	RNF144A	5'UTR	opensea	5'UTR-opensea		rs186481324;rs541944011;rs16865777	50;18;13
cg14287557	0.0276268598777111	0.243643382973392	4.76773801882057	1.71805736288618e-05	0.0119260695497003	1.8686461069956	0.229829953034536	0.257456812912247	0.0276268598777112	15	40633232	F	II	C15orf52	TSS200	opensea	TSS200-opensea		rs550285246	7
cg13810114	0.0401437972962011	0.634853392586186	4.76705445946716	1.722032872633e-05	0.0119354599785531	1.86638464277511	0.614781493938086	0.654925291234287	0.0401437972962012	12	26267890	F	II		IGR	shore	IGR-shore	chr12:26267058-26267519	rs544836487	43
cg04812106	0.0334769054140314	0.81458864335464	4.766955008778	1.72261201952483e-05	0.0119354599785531	1.86605563333711	0.797850190647625	0.831327096061656	0.0334769054140317	3	60827347	R	II	FHIT	5'UTR	opensea	5'UTR-opensea		rs7626047	11
cg04693537	0.0365725770552912	0.394110614785719	4.76660484820423	1.72465268723683e-05	0.011938503886818	1.86489722845994	0.375824326258074	0.412396903313365	0.0365725770552912	6	80580652	F	II		IGR	opensea	IGR-opensea		rs571673446;rs534338940	32;38
cg01512405	0.0345513596891143	0.290114963966471	4.76612260469728	1.72746699419545e-05	0.0119428371303371	1.863301915963	0.272839284121914	0.307390643811028	0.0345513596891142	17	2823855	R	II	RAP1GAP2	Body	opensea	Body-opensea		rs28753403;rs539076579	42;8
cg25405284	0.0333262110803806	0.482747038920878	4.76524129022247	1.73262187837049e-05	0.0119428371303371	1.86038658582482	0.466083933380688	0.499410144461068	0.0333262110803805	5	138761984	R	II	DNAJC18	Body	opensea	Body-opensea			
cg07970096	0.0344294684985419	0.473833342510438	4.76501761366043	1.73393258279346e-05	0.0119428371303371	1.85964670964416	0.456618608261168	0.491048076759709	0.0344294684985417	3	9859324	R	II	TTLL3	ExonBnd	opensea	ExonBnd-opensea			
cg01095594	0.039902731452589	0.525328763575519	4.76406978631062	1.73949749104717e-05	0.0119428371303371	1.85651163112724	0.505377397849224	0.545280129301813	0.039902731452589	2	47526943	R	II	LOC101927043	Body	opensea	Body-opensea		rs570331259	6
cg05974562	0.0368022547213048	0.817586958826645	4.76380439402584	1.74105880863171e-05	0.0119428371303371	1.85563384765208	0.799185831465993	0.835988086187298	0.0368022547213049	9	116982195	F	II	COL27A1	Body	opensea	Body-opensea		rs574014115	41
cg17848797	0.0423629685695825	0.613265946621233	4.76366830482478	1.74185996251826e-05	0.0119428371303371	1.8551837402808	0.592084462336442	0.634447430906024	0.0423629685695827	1	1198269	F	II	UBE2J2	Body	opensea	Body-opensea		rs72631901	51
cg15926234	0.0446101735967803	0.612621256811817	4.76360692783507	1.74222140580701e-05	0.0119428371303371	1.85498074087079	0.590316170013427	0.634926343610207	0.0446101735967803	5	106212567	R	II	LOC102467213	Body	opensea	Body-opensea		rs138635532	6
cg12472416	0.0381587242054759	0.706898226717765	4.76357852425069	1.74238869675024e-05	0.0119428371303371	1.85488679864319	0.687818864615027	0.725977588820503	0.0381587242054759	17	48077156	F	II		IGR	shelf	IGR-shelf	chr17:48074050-48074614	rs531906889;rs553224140;rs117876317	19;36;46
cg14086205	0.050730894172658	0.684303108478795	4.7635094598979	1.7427955365834e-05	0.0119428371303371	1.85465837553471	0.658937661392466	0.709668555565124	0.0507308941726581	18	31603693	F	II	NOL4	5'UTR	opensea	5'UTR-opensea		rs150496268	41
cg24067911	0.0292610780469545	0.212837096965643	4.76319307340228	1.7446604782359e-05	0.0119428371303371	1.85361197573922	0.198206557942166	0.22746763598912	0.0292610780469545	6	16729610	F	II	ATXN1	5'UTR	opensea	5'UTR-opensea			
cg05563368	0.0316306981559831	0.407413357354974	4.76285028339691	1.74668326677175e-05	0.0119428371303371	1.8524782788865	0.391598008276982	0.423228706432965	0.031630698155983	21	39856022	R	II	ERG	Body	opensea	Body-opensea		rs191652890;rs568224730;rs536951821;rs79889423	36;26;20;10
cg00604410	0.0342485794769327	0.511322032353201	4.76242751501996	1.74918117514826e-05	0.0119428371303371	1.85108011332169	0.494197742614734	0.528446322091667	0.0342485794769327	15	67417899	F	II	SMAD3	TSS200	opensea	TSS200-opensea		rs191302628;rs182586272	0;5
cg11399195	0.0374433135969349	0.728748140050579	4.76242450937622	1.74919894641084e-05	0.0119428371303371	1.85107017331782	0.710026483252111	0.747469796849046	0.0374433135969348	1	10364025	F	II	KIF1B	Body	opensea	Body-opensea		rs553440851;rs41274462;rs542546734	5;32;42
cg13977235	0.0423609200483487	0.260530254345153	4.76242112612803	1.74921895052133e-05	0.0119428371303371	1.85105898453603	0.239349794320979	0.281710714369327	0.0423609200483486	19	33172072	F	II		IGR	shelf	IGR-shelf	chr19:33165266-33168099		
cg24559796	0.0326214865879235	0.58439190806082	4.76240612937409	1.74930762443906e-05	0.0119428371303371	1.85100938862099	0.568081164766859	0.600702651354782	0.0326214865879235	7	28223298	R	II		IGR	shelf	IGR-shelf	chr7:28219435-28219697	rs144376595;rs186399246;rs73091244;rs190562212	45;42;39;2
cg15807143	0.0143848091610623	0.937300541685594	4.76065122530933	1.75971468123954e-05	0.0119936786292656	1.84520611993026	0.930108137105062	0.944492946266125	0.0143848091610626	2	3452624	F	II	TTC15	Body	shore	Body-shore	chr2:3452346-3452582		
cg10556900	0.030101535233324	0.417345517609311	4.76060795547163	1.75997204939541e-05	0.0119936786292656	1.84506304131105	0.402294749992649	0.432396285225973	0.030101535233324	6	163813653	F	II		IGR	opensea	IGR-opensea		rs79221205	6
cg00240229	0.0356674876085345	0.468294203591634	4.76018476453748	1.76249112967672e-05	0.0119998765929281	1.8436637179365	0.450460459787367	0.486127947395901	0.0356674876085346	6	26439594	R	II	BTN3A3	TSS1500	opensea	TSS1500-opensea		rs576202869;rs185524443	48;13
cg18719742	0.0373388568537406	0.824255539837721	4.75989072668275	1.76424349889248e-05	0.0120008478762985	1.84269147885533	0.805586111410851	0.842924968264592	0.0373388568537405	18	43238957	R	II	SLC14A2	Body	opensea	Body-opensea			
cg09883602	0.0390131056200661	0.369481274295335	4.75896951506955	1.76974469881877e-05	0.0120015789880191	1.83964562504484	0.349974721485302	0.388987827105368	0.0390131056200662	11	32415339	F	II	WT1	Body	opensea	Body-opensea		rs549498682	1
cg23893332	0.0301724925046226	0.293676576788228	4.75859657468638	1.77197657246547e-05	0.0120015789880191	1.83841261229637	0.278590330535917	0.308762823040539	0.0301724925046227	14	94576048	F	II	IFI27	TSS1500	opensea	TSS1500-opensea		rs544766854;rs77810274	0;42
cg00342816	0.0396870661373225	0.624741789073469	4.75807060140452	1.77512897342284e-05	0.0120015789880191	1.83667370311701	0.604898256004807	0.64458532214213	0.0396870661373224	20	42647652	F	II	TOX2	Body	opensea	Body-opensea		rs545635621	50
cg15999041	0.0383298828025657	0.43008770805092	4.75781553707911	1.77665967335387e-05	0.0120015789880191	1.83583046553537	0.410922766649637	0.449252649452202	0.0383298828025658	17	28699933	F	II		IGR	opensea	IGR-opensea		rs561564365	1
cg26879421	0.0330246527032534	0.578416126529074	4.75759067614541	1.77801019034527e-05	0.0120015789880191	1.83508709342353	0.561903800177448	0.594928452880701	0.0330246527032533	10	5455710	F	II	NET1	Body	shore	Body-shore	chr10:5454431-5454779	rs548336617;rs145638621;rs146627721;rs552227109	18;34;36;42
cg16480347	0.0329451413330885	0.322763090434804	4.75739155855761	1.77920693380088e-05	0.0120015789880191	1.83442883742319	0.30629051976826	0.339235661101348	0.0329451413330885	22	24039722	R	II	RGL4	Body	opensea	Body-opensea		rs191135294;rs182206632	51;5
cg01058583	0.0392567930718877	0.576614448426773	4.75738639351258	1.77923798745343e-05	0.0120015789880191	1.83441176261164	0.55698605189083	0.596242844962717	0.0392567930718875	6	136591430	R	II	BCLAF1	Body	opensea	Body-opensea		rs554458643	32
cg00356325	0.0487400007706302	0.766817080489311	4.75722380207284	1.7802158033518e-05	0.0120015789880191	1.83387426480854	0.742447080103996	0.791187080874627	0.0487400007706303	7	70976435	F	II	WBSCR17	Body	opensea	Body-opensea		rs183100022	1
cg03470220	0.0484826799286522	0.507822460353549	4.75717739581271	1.78049498477895e-05	0.0120015789880191	1.83372085535935	0.483581120389223	0.532063800317875	0.0484826799286522	22	27173558	F	II	MIATNB	Body	opensea	Body-opensea		rs537560133;rs559130670;rs140865868	1;16;34
cg15138902	0.0260190020315979	0.882427086195422	4.75698653098798	1.78164368514991e-05	0.0120015789880191	1.83308990165925	0.869417585179623	0.895436587211221	0.0260190020315977	17	66959525	F	II		IGR	opensea	IGR-opensea		rs184871935;rs189753238	4;6
cg05273620	0.0336116174964529	0.444950581728432	4.75691757281321	1.7820588817237e-05	0.0120015789880191	1.83286194460874	0.428144772980205	0.461756390476658	0.033611617496453	20	62651290	R	II	PRPF6	Body	opensea	Body-opensea		rs576747215	44
cg08119219	0.0170934258560683	0.927087220198575	4.75612066078012	1.78686397882446e-05	0.0120230787762188	1.83022765664176	0.918540507270541	0.935633933126609	0.0170934258560682	19	11164311	R	II	SMARCA4	Body	opensea	Body-opensea		rs545595434	31
cg19260752	0.0364202381783109	0.401003502519642	4.75584370707749	1.78853688772578e-05	0.0120234835782906	1.82931219075572	0.382793383430486	0.419213621608797	0.036420238178311	7	148869183	F	II	ZNF398	Body	opensea	Body-opensea		rs4727026	35
cg00980622	0.0378986512873835	0.321732631783995	4.75543935946513	1.79098206696712e-05	0.0120290745803771	1.82797566131746	0.302783306140303	0.340681957427686	0.0378986512873835	14	75884845	F	II		IGR	opensea	IGR-opensea			
cg03486096	0.0307941516546391	0.323432412271955	4.75488546094611	1.79433694063688e-05	0.0120304407823294	1.82614487402083	0.308035336444636	0.338829488099275	0.030794151654639	1	61719792	F	II	NFIA-AS1	TSS1500	opensea	TSS1500-opensea		rs543907811;rs192034498;rs115484949	16;30;38
cg11744892	0.0357585695292535	0.799232863938876	4.75487294169689	1.79441283894774e-05	0.0120304407823294	1.82610349535007	0.781353579174249	0.817112148703502	0.0357585695292534	12	1999989	F	II	CACNA2D4	Body	opensea	Body-opensea		rs577187472	0
cg26485878	0.0370153033258492	0.404613263087292	4.75457695235432	1.79620820120974e-05	0.0120316577523046	1.82512520181384	0.386105611424368	0.423120914750217	0.0370153033258492	5	58652602	F	II	PDE4D	1stExon	opensea	1stExon-opensea		rs371285569;rs199886636;rs546658256	0;38;43
cg04368237	0.0471474035257375	0.657800521820773	4.75242299697217	1.80932651041289e-05	0.0121007336253847	1.8180066939705	0.634226820057904	0.681374223583641	0.0471474035257375	7	120947430	R	II		IGR	opensea	IGR-opensea		rs114990841;rs538540223	49;29
cg12777182	0.0532634732673836	0.408503459777486	4.7523509751595	1.80976676829093e-05	0.0121007336253847	1.81776869275318	0.381871723143794	0.435135196411178	0.0532634732673837	6	8111248	F	II		IGR	opensea	IGR-opensea		rs537398430	32
cg02195201	0.0210678754360709	0.905858809604691	4.75112742169635	1.81726224316243e-05	0.0121242925992274	1.81372557443194	0.895324871886656	0.916392747322727	0.0210678754360709	11	19135951	F	II		IGR	shelf	IGR-shelf	chr11:19138497-19139216	rs535511289;rs183004780;rs193069916	0;1;17
cg10722925	0.0267876482631895	0.821446747314106	4.75112730572203	1.81726295506204e-05	0.0121242925992274	1.81372519122365	0.808052923182511	0.834840571445701	0.0267876482631896	3	14690959	R	II		IGR	shore	IGR-shore	chr3:14692931-14693429	rs138437284;rs575633827;rs541382019	45;44;41
cg01305109	0.0292642322998818	0.242676448675486	4.75069682001102	1.81990734628485e-05	0.0121242925992274	1.81230278183386	0.228044332525545	0.257308564825427	0.0292642322998818	2	112768419	R	II	MERTK	Body	opensea	Body-opensea		rs537862825;rs557700112	39;23
cg20794855	0.0347449147440653	0.301233677956802	4.75025539538041	1.82262285528044e-05	0.0121242925992274	1.81084427703659	0.28386122058477	0.318606135328835	0.0347449147440653	8	67365340	R	II	ADHFE1	Body	opensea	Body-opensea		rs575845839	20
cg25627263	0.0338310835949758	0.319018096940851	4.74991476627045	1.82472101929745e-05	0.0121242925992274	1.80971884315153	0.302102555143363	0.335933638738339	0.0338310835949758	11	3177729	R	II	OSBPL5	5'UTR	shelf	5'UTR-shelf	chr11:3181574-3182120	rs34820287;rs112526647	31;23
cg06469895	0.0345087882884675	0.45141295025383	4.74988854469904	1.82488263384845e-05	0.0121242925992274	1.80963220866445	0.434158556109596	0.468667344398063	0.0345087882884676	16	69418206	R	II	TERF2	Body	shore	Body-shore	chr16:69419316-69420086	rs551189474;rs569520344;rs144331765	51;13;6
cg18749337	0.0364038804162632	0.420514313135577	4.74985431445985	1.82509363032247e-05	0.0121242925992274	1.80951911428629	0.402312372927446	0.438716253343709	0.0364038804162631	2	237426384	R	II		IGR	opensea	IGR-opensea		rs558618656;rs144727526;rs537829969;rs554519033	15;14;2;1
cg20982203	0.015159827430738	0.939622025112405	4.74965861880461	1.82630036550369e-05	0.0121242925992274	1.80887255489806	0.932042111397036	0.947201938827774	0.0151598274307382	20	56442409	R	II		IGR	opensea	IGR-opensea		rs183812993;rs188978592;rs535121867;rs555317929	37;18;3;2
cg05583921	0.0424656404254789	0.506950975475174	4.74896405572451	1.83058963603352e-05	0.0121419557844555	1.80657786479099	0.485718155262435	0.528183795687914	0.0424656404254787	3	42700678	R	I	ZBTB47	Body	shore	Body-shore	chr3:42700092-42700355	rs339723	50
cg13643186	0.0276757020837002	0.29662859709289	4.74849200647105	1.83351041559157e-05	0.0121505186943569	1.80501838358204	0.28279074605104	0.31046644813474	0.0276757020837002	3	52877402	R	II	TMEM110-MUSTN1	Body	opensea	Body-opensea		rs565867589;rs146916660;rs79764003	27;20;18
cg02330710	0.033137114138417	0.218437960729008	4.74809890582583	1.83594619498274e-05	0.0121558551940772	1.80371976351991	0.201869403659799	0.235006517798216	0.0331371141384169	1	29072718	F	II	YTHDF2	Body	opensea	Body-opensea		rs528684782	51
cg00718923	0.034096517596094	0.799451386115354	4.74748036077812	1.83978533312016e-05	0.0121687860562296	1.80167646063607	0.782403127317307	0.816499644913401	0.034096517596094	15	67486665	F	II	SMAD3	3'UTR	opensea	3'UTR-opensea			
cg22581352	0.0292546088083826	0.278321916076025	4.74713219830804	1.84194974596171e-05	0.0121687860562296	1.80052638294725	0.263694611671833	0.292949220480216	0.0292546088083825	8	142219329	R	II		IGR	island	IGR-island	chr8:142219197-142219445	rs539747926;rs558476541	35;21
cg14419046	0.0435015189819295	0.265651838073211	4.74671493010334	1.8445470593556e-05	0.0121687860562296	1.79914807045223	0.243901078582246	0.287402597564176	0.0435015189819295	9	90043268	R	II		IGR	opensea	IGR-opensea		rs12351631;rs557390208	29;16
cg11072837	0.0292218921745049	0.352515600141649	4.74661504643242	1.84516932485992e-05	0.0121687860562296	1.7988181431702	0.337904654054397	0.367126546228902	0.0292218921745049	10	105793358	R	II	COL17A1	Body	opensea	Body-opensea		rs551327370;rs571181125	42;36
cg25684151	0.0372367158654911	0.286974373043742	4.74604195184399	1.84874363259337e-05	0.0121687860562296	1.79692519483047	0.268356015110997	0.305592730976488	0.0372367158654912	8	126588554	F	II		IGR	opensea	IGR-opensea		rs564832741	14
cg05286450	0.0304512098928461	0.861368747363869	4.74600523251285	1.84897287723944e-05	0.0121687860562296	1.7968039126509	0.846143142417446	0.876594352310292	0.0304512098928463	11	63478020	F	II	RTN3	Body	opensea	Body-opensea		rs540638487	24
cg01813663	0.0407266377897881	0.75961830992865	4.74594886313414	1.84932485456054e-05	0.0121687860562296	1.79661772798114	0.739254991033756	0.779981628823544	0.0407266377897884	4	140854355	F	II	MAML3	Body	opensea	Body-opensea			
cg26308595	0.0325996640633675	0.62756108266265	4.74495921610985	1.85551505504581e-05	0.0121936402719311	1.79334911537582	0.611261250630966	0.643860914694334	0.0325996640633675	2	175482415	F	II	WIPF1	5'UTR	opensea	5'UTR-opensea		rs184540183;rs150045702	2;25
cg17864131	-0.0481620998437133	0.828363067893827	-4.74482228358941	1.85637316219401e-05	0.0121936402719311	1.79289687344045	0.852444117815683	0.80428201797197	-0.0481620998437133	15	81934541	F	II		IGR	opensea	IGR-opensea		rs138466361	0
cg06192778	0.0428351283632356	0.621810286581816	4.74405324104748	1.86119971795726e-05	0.0122050342835674	1.79035707420147	0.600392722400198	0.643227850763434	0.0428351283632356	12	108976693	F	II		IGR	opensea	IGR-opensea		rs560094847;rs527659754;rs549126910;rs561584073	17;32;35;46
cg15852767	0.0348925294459606	0.830970756341498	4.74402423573829	1.86138199778092e-05	0.0122050342835674	1.79026128575572	0.813524491618517	0.848417021064478	0.0348925294459607	7	81662453	R	II	CACNA2D1	Body	opensea	Body-opensea		rs182527424;rs562643950	40;38
cg05568492	0.029175086971495	0.3180787017789	4.7431698421562	1.86675918139314e-05	0.0122295363707001	1.78743979410508	0.303491158293152	0.332666245264647	0.029175086971495	2	1609354	F	II		IGR	opensea	IGR-opensea		rs73168446	27
cg01811355	0.0405001501940059	0.365464125137702	4.74242231120975	1.87147631998684e-05	0.0122496751350935	1.78497135137158	0.345214050040699	0.385714200234705	0.0405001501940059	8	29914021	F	II		IGR	opensea	IGR-opensea		rs183524928	0
cg05919238	0.0432230238220978	0.420260407557099	4.74143062461945	1.87775220951026e-05	0.0122766524904801	1.78169689593659	0.39864889564605	0.441871919468148	0.0432230238220977	17	79244158	F	II	SLC38A10	Body	opensea	Body-opensea		rs547959861;rs137919500;rs567531997	0;19;32
