	coef	exp.coef.	se.coef.	z	Pr...z..	V1	V2	V3	V4	V5	V6	V7	V8
cg05332077	-0.806837188452078	0.446267295841078	0.196254409069895	-4.11117993361732	3.93642274834966e-05	chr18	77724453	77724454	cg05332077	HSBP1L1	R	Island	I
cg05339390	-1.39834592811396	0.247005190571866	0.185393796539251	-7.54257129535568	4.60794043751454e-14	chr7	12726307	12726308	cg05339390	ARL4A	R	Island	I
cg05347898	0.409358573328604	1.50585158190393	0.212944736696142	1.922369999277	0.0545592177533942	chr6	24358304	24358305	cg05347898	KAAG1	R	Island	II
cg05348768	-1.09296809525308	0.335220050628261	0.183797042034626	-5.94660329216383	2.73763807980134e-09	chr1	202936122	202936123	cg05348768	CYB5R1	R	Island	I
cg05359249	-0.568077674314325	0.56661360834939	0.201162944655232	-2.82396778038787	0.00474331528759438	chr2	220406470	220406471	cg05359249	CHPF	R	Island	I
cg05364122	-1.0409883626472	0.35310551313479	0.17973649901514	-5.79174718741748	6.96579425844785e-09	chr1	156783791	156783792	cg05364122	SH2D2A	F	Island	I
cg05375230	-1.31825019346732	0.267603146261471	0.187262351522438	-7.03959008711563	1.9280619374001e-12	chr11	64511786	64511787	cg05375230	RASGRP2	F	Island	II
cg05387146	-0.937901198453284	0.391448546617324	0.231512367191783	-4.05119264180101	5.09572311830628e-05	chr6	84140928	84140929	cg05387146	ME1	R	Island	I
cg05403071	-0.86416274540359	0.42140422759385	0.183302688679212	-4.71440299992498	2.4242045228367e-06	chr20	48599682	48599683	cg05403071	SNAI1	R	S_Shore	II
cg05432017	-1.22370673880714	0.294137851521877	0.253330855026951	-4.83046859284848	1.36212100013511e-06	chr15	42119684	42119685	cg05432017	JMJD7	F	N_Shore	II
cg05439195	-1.6429904685998	0.193400817573759	0.185519919927884	-8.85614045779276	8.28324969197628e-19	chr6	169613210	169613211	cg05439195	NA	R	CpG_Ocean	I
cg05447833	-1.57542927879322	0.206918707799726	0.223436827008162	-7.05089353392791	1.77772480983125e-12	chr8	97173722	97173723	cg05447833	GDF6	F	Island	II
cg05462359	-0.709095281729301	0.492089198218896	0.182112095492767	-3.89372973722914	9.87146257121428e-05	chr5	37837788	37837789	cg05462359	GDNF	F	Island	II
cg05469695	-0.883044969497688	0.413521831317348	0.18442539971252	-4.7880876000495	1.68378152372041e-06	chr2	37899953	37899954	cg05469695	CDC42EP3	F	S_Shore	II
cg05475934	0.176808205329381	1.19340218299737	0.212623475905935	0.831555427151429	0.40565993008877	chr10	26727318	26727319	cg05475934	APBB1IP	R	Island	II
cg05482942	-0.296507680102506	0.743409917777807	0.191010746200223	-1.55230889361428	0.120588330921017	chr10	102899285	102899286	cg05482942	NA	F	Island	I
cg05488523	-1.86079797183627	0.155548457543083	0.204665378515665	-9.09190399144056	9.73196129273794e-20	chr17	79481108	79481109	cg05488523	ACTG1	R	Island	I
cg05493394	-1.83040495144795	0.16034862121962	0.204349552796249	-8.95722513899012	3.32951405894102e-19	chr6	133562035	133562036	cg05493394	EYA4	R	N_Shore	II
cg05505450	-1.07469587449611	0.341401568438111	0.2527724169686	-4.25163428583117	2.12216202516191e-05	chr2	58273643	58273644	cg05505450	VRK2	R	Island	II
cg05513069	0.608965195569622	1.83852789726213	0.19208653458446	3.17026488549546	0.00152300030335208	chr18	43608309	43608310	cg05513069	PSTPIP2	F	Island	I
cg05526905	-1.01009786261351	0.364183337894315	0.181207514546372	-5.57426034534024	2.4858374971479e-08	chr11	119455808	119455809	cg05526905	NA	F	Island	I
cg05546863	15.0095952538498	3300535.3938898	2531.80515218991	0.00592841642685936	0.995269835770836	chr16	66613220	66613221	cg05546863	CMTM2	R	Island	I
cg05549077	-1.30074011443817	0.272330162943003	0.184443135222433	-7.05225549798594	1.76040571274658e-12	chr3	71631050	71631051	cg05549077	FOXP1	R	Island	II
cg05580655	-1.74036056484563	0.175457125538914	0.191208927080848	-9.10187924494636	8.87821142323327e-20	chr3	159481176	159481177	cg05580655	SCHIP1	R	Island	I
cg05613116	-2.08857804598637	0.123863138340756	0.198929227283333	-10.4991009843497	8.72066881928977e-26	chr2	27958722	27958723	cg05613116	NA	R	Island	I
cg05617413	-1.51182427996143	0.220507343683791	0.187105985919113	-8.0800422954667	6.4744313842137e-16	chr12	133065912	133065913	cg05617413	FBRSL1	F	Island	I
cg05635754	-1.52005675628952	0.218699474029296	0.219724549963381	-6.91801055704907	4.5803016889464e-12	chr19	17958736	17958737	cg05635754	JAK3	F	Island	I
cg05642379	-1.06036882205432	0.346328053347606	0.221180561101197	-4.79413207370049	1.6338061528676e-06	chr15	93351914	93351915	cg05642379	NA	F	N_Shore	I
cg05651778	-1.8253472223973	0.161161675470243	0.190224057628503	-9.59577482024958	8.32889291800108e-22	chr17	60729731	60729732	cg05651778	MRC2	R	Island	I
cg05660436	-1.32268152630685	0.266419931197569	0.183388549214333	-7.21245427794394	5.49522852728214e-13	chr1	33358957	33358958	cg05660436	HPCA	F	Island	I
cg05690644	-2.18421550029076	0.112566007024327	0.518125749082953	-4.21560886359473	2.4910518752572e-05	chr8	97158015	97158016	cg05690644	GDF6	R	Island	I
cg05702851	-1.69686251365725	0.183257591207507	0.189905390382145	-8.93530462849247	4.06057902600469e-19	chr4	110481083	110481084	cg05702851	CCDC109B	F	Island	I
cg05707458	-1.35077671528449	0.259038982950944	0.184229303320774	-7.33204051112628	2.2667454812817e-13	chr1	205425241	205425242	cg05707458	NA	F	Island	I
cg05720261	-0.203615812620494	0.815775721727572	0.262320779360092	-0.776209239379346	0.437625451620739	chr1	40105304	40105305	cg05720261	HEYL	F	Island	I
cg05743734	-1.45500009906749	0.233400340778764	0.181781232702322	-8.00412714468794	1.20317026373597e-15	chr16	56659659	56659660	cg05743734	MT1E	F	Island	II
cg05751100	0.197941113116121	1.21889061503814	0.179217888665391	1.10447185038368	0.269388507967707	chr6	26550783	26550784	cg05751100	NA	R	Island	II
cg05784314	-1.39954023218122	0.246710367357459	0.182712989762037	-7.6597741299289	1.86260371391681e-14	chr1	153747728	153747729	cg05784314	SLC27A3	R	Island	I
cg05789704	-0.440535165425045	0.643691847268328	0.279882164936361	-1.57400227887051	0.115486922594797	chr8	38965018	38965019	cg05789704	ADAM32	R	Island	I
cg05804220	-0.137900491100854	0.871185378130623	0.181083184168448	-0.761531181010026	0.446339862062026	chr15	45422062	45422063	cg05804220	DUOX1	F	Island	I
cg05815906	-1.28971671566216	0.275348774037552	0.18256401288478	-7.06446300824976	1.61238287539828e-12	chr4	140374338	140374339	cg05815906	RAB33B	F	N_Shore	II
cg05817664	-0.814425828963422	0.442893551019719	0.182390089211924	-4.46529651080503	7.99579372221055e-06	chr1	212731921	212731922	cg05817664	NA	F	Island	I
cg05835276	-1.09558413671856	0.33434424714435	0.259580967268727	-4.22058731133539	2.43666657726438e-05	chr12	57619364	57619365	cg05835276	NXPH4	F	Island	I
cg05852040	-1.21980435764601	0.295287932099312	0.183392770568337	-6.65132193524216	2.90472129879675e-11	chr7	77044873	77044874	cg05852040	PION	R	Island	I
cg05852231	-1.38004617441813	0.251566936834643	0.182101834267345	-7.57843093657186	3.49759000679514e-14	chr15	35087637	35087638	cg05852231	ACTC1	R	CpG_Ocean	I
cg05855588	0.205321707316256	1.227920032286	0.179466876080639	1.14406464190082	0.252596829906982	chr13	33590273	33590274	cg05855588	KL	R	Island	I
cg05864326	0.472061573158659	1.60329610069257	0.246254416088484	1.91696693467231	0.0552421324747789	chr2	177030150	177030151	cg05864326	HOXD3	R	S_Shore	I
cg05870739	-0.178782783406647	0.836287535198626	0.29581223956226	-0.604379263248904	0.545591519278335	chr5	140800586	140800587	cg05870739	PCDHGA4	R	N_Shore	I
cg05874732	-1.36406830435298	0.255618723929124	0.195656287883132	-6.97175807182725	3.13004488755465e-12	chr20	2539552	2539553	cg05874732	TMC2	F	Island	II
cg05882938	-0.026961134624902	0.973399072309244	0.188132763070875	-0.143309087608228	0.886046079041811	chr3	186857284	186857285	cg05882938	RPL39L	F	Island	I
cg05905176	-1.51812492137065	0.219122373664584	0.188848244851378	-8.0388616932363	9.06768560805099e-16	chr15	51385916	51385917	cg05905176	TNFAIP8L3	R	Island	I
cg05907933	-1.55763536680074	0.210633553881314	0.194247226200392	-8.01882939215734	1.06757663553303e-15	chr5	77268888	77268889	cg05907933	NA	F	S_Shore	II
cg05915293	-0.246853375176705	0.781255236544753	0.18230702556623	-1.35405300157797	0.175719468878197	chr16	2041512	2041513	cg05915293	SYNGR3	F	N_Shore	I
cg05923687	0.462779411137808	1.5884829021299	0.182672847583295	2.53337820732657	0.0112968990480289	chr1	63795711	63795712	cg05923687	NA	F	Island	I
cg05927017	-1.62416964365953	0.197075249965484	0.197212538293912	-8.23563074493255	1.78614059467265e-16	chr18	60988155	60988156	cg05927017	NA	F	Island	II
cg05927190	-1.85288841824209	0.156783654894743	0.235518565628063	-7.86727115673853	3.62460463289876e-15	chr1	54203548	54203549	cg05927190	NA	R	Island	I
cg05941624	-0.841235232926777	0.431177589592178	0.184034423832873	-4.57107542929428	4.85227570592019e-06	chr6	158402524	158402525	cg05941624	SYNJ2	R	Island	I
cg05945615	-1.40214567333623	0.246068414661114	0.19317800235303	-7.25830920838405	3.91958746129383e-13	chr22	38035456	38035457	cg05945615	SH3BP1	R	Island	I
cg05971966	-0.27422301636819	0.760162527669486	0.185860198961272	-1.47542624994892	0.14009798239372	chr5	40681137	40681138	cg05971966	PTGER4	F	Island	I
cg05972871	-1.25772518576944	0.284300021196199	0.245820751739505	-5.11643210294241	3.11369296561493e-07	chr12	3862444	3862445	cg05972871	EFCAB4B	R	Island	I
cg05974274	0.161519075164955	1.1752948768882	0.236224844203023	0.683751430591009	0.494132140985571	chr4	81123369	81123370	cg05974274	PRDM8	F	N_Shore	II
cg05975410	-1.9022165679522	0.149237457371572	0.243109967380518	-7.82451081067702	5.0963473705631e-15	chr5	43020352	43020353	cg05975410	NA	F	S_Shore	II
cg05984244	10.0032576083985	22098.3363943458	1890.62028913698	0.00529099241443386	0.995778418538122	chr16	31488238	31488239	cg05984244	TGFB1I1	F	Island	II
cg05990544	-0.249633304616768	0.779086418090335	0.180887103822847	-1.38005031503655	0.167571153540509	chr6	27841314	27841315	cg05990544	HIST1H4L	F	S_Shore	II
cg06003986	-1.38142213154462	0.251221029546491	0.212262918119888	-6.5080709517259	7.61219653487141e-11	chr18	35104868	35104869	cg06003986	BRUNOL4	F	Island	I
cg06008480	-1.71758431713061	0.179499237830832	0.191572840665713	-8.96569843179246	3.08320596125952e-19	chr11	113185089	113185090	cg06008480	TTC12	F	N_Shore	I
cg06030166	-1.26537276670196	0.282134106335783	0.183341525891593	-6.90172485773986	5.13748696068911e-12	chr22	44419905	44419906	cg06030166	PARVB	R	Island	I
cg06043159	-0.676946603374614	0.508166259039578	0.352060460551019	-1.92281349150969	0.0545034771165277	chr8	143556871	143556872	cg06043159	BAI1	R	Island	II
cg06045337	-1.86240985723921	0.155297933217414	0.523944702274948	-3.554592400978	0.000378565464667808	chr8	145013910	145013911	cg06045337	PLEC1	F	N_Shelf	I
cg06067372	-0.848756718499235	0.427946659501791	0.185429466444573	-4.57724834554781	4.71132027785493e-06	chr18	55106337	55106338	cg06067372	ONECUT2	F	Island	II
cg06069310	-1.63551484330998	0.194852027208013	0.233028950285325	-7.01850495960876	2.24254797764684e-12	chr3	38179874	38179875	cg06069310	ACAA1	F	Island	I
cg06080831	-1.14254294937951	0.319006771426741	0.181239646382662	-6.3040453464977	2.89975593821414e-10	chr3	107150032	107150033	cg06080831	NA	R	Island	II
cg06085011	-1.6296243763568	0.196003183731242	0.187506606826846	-8.69102376676082	3.5918788365272e-18	chr4	54965999	54966000	cg06085011	GSX2	R	N_Shore	II
cg06088032	-1.55181283135966	0.211863552594477	0.188917538947616	-8.21423378689022	2.13523227427603e-16	chr3	50383227	50383228	cg06088032	ZMYND10	F	Island	I
cg06097659	-1.04251076519012	0.352568353394101	0.18923640051061	-5.50903928830367	3.60797380464324e-08	chr1	1141991	1141992	cg06097659	TNFRSF18	F	Island	I
cg06102777	-0.845643338694687	0.429281096215159	0.181085650699196	-4.66985283168239	3.0141559005082e-06	chr11	63382095	63382096	cg06102777	PLA2G16	F	Island	II
cg06118384	-1.88748321140112	0.151452503505514	0.190753844232946	-9.89486329353419	4.3820871163297e-23	chr2	149645798	149645799	cg06118384	KIF5C	F	Island	I
cg06123942	-1.03475805874234	0.355312335239836	0.264330786665892	-3.91463314506095	9.05417645536695e-05	chr15	45722796	45722797	cg06123942	C15orf48	R	Island	I
cg06124528	-1.45942123289176	0.232370724350668	0.186547714109211	-7.82331340730003	5.14507974853709e-15	chr7	98468167	98468168	cg06124528	TMEM130	R	S_Shore	II
cg06128448	-1.65971646865414	0.190192898105811	0.184958036022827	-8.97347584534958	2.87301787631257e-19	chr7	44144434	44144435	cg06128448	AEBP1	R	CpG_Ocean	I
cg06142946	0.126090892379783	1.13438527057418	0.181166795556163	0.695993391022328	0.486432968655862	chr11	17373124	17373125	cg06142946	DKFZp686O24166	F	Island	II
cg06167664	-1.63914536418602	0.194145895444159	0.192561238347985	-8.51233289860678	1.70468326573231e-17	chr2	27072564	27072565	cg06167664	DPYSL5	F	Island	I
cg06179765	-0.70177717655366	0.495703567764985	0.224384985481064	-3.12755853538553	0.00176264716733231	chr7	23287352	23287353	cg06179765	GPNMB	F	Island	I
cg06183338	-1.00874017416914	0.364678121208596	0.230153942645652	-4.38289330425337	1.17113477130293e-05	chr5	178004204	178004205	cg06183338	COL23A1	F	Island	I
cg06188229	-0.278028234784097	0.757275439703939	0.186024760184708	-1.49457649889206	0.135025003300025	chr1	226411818	226411819	cg06188229	MIXL1	R	Island	I
cg06200048	-1.60008406043727	0.201879547198365	0.1863535239372	-8.58628281682773	8.98283821248505e-18	chr6	70576502	70576503	cg06200048	COL19A1	F	N_Shore	I
cg06201680	-1.51418431709096	0.219987551770731	0.209677131978581	-7.22150433288853	5.14155831850834e-13	chr7	151078646	151078647	cg06201680	WDR86	R	Island	I
cg06206471	-1.24716852460712	0.287317177717891	0.18721441093982	-6.66171219590577	2.70655657027234e-11	chr16	4364052	4364053	cg06206471	NA	F	Island	I
cg06215569	0.688501257864352	1.9907297058185	0.199558870070621	3.4501160365395	0.000560345644720011	chr1	110611465	110611466	cg06215569	ALX3	R	Island	II
cg06220235	-1.68354665645981	0.185714142366687	0.210916704374094	-7.98204514647532	1.43928363517649e-15	chr16	11349023	11349024	cg06220235	SOCS1	R	Island	I
cg06241292	-1.2717587403528	0.280338145947945	0.182215521338378	-6.97942047423673	2.96400151038040e-12	chr3	49314636	49314637	cg06241292	USP4	F	Island	I
cg06248560	-1.57452835528215	0.207105209727835	0.204775071265706	-7.68906266544093	1.48216858970141e-14	chr18	35104681	35104682	cg06248560	BRUNOL4	R	Island	I
cg06248767	-0.90958290847621	0.4026921484931	0.717086890808214	-1.26844169114713	0.204640261133209	chr8	56852290	56852291	cg06248767	LYN	R	CpG_Ocean	I
cg06270244	-0.145596293033233	0.864506640099197	0.180879026843736	-0.804937396965405	0.420855806591652	chr15	78933407	78933408	cg06270244	CHRNB4	F	Island	I
cg06288821	-1.6921860405444	0.1841165973997	0.195760478178164	-8.64416585151737	5.41997810939207e-18	chr8	56791882	56791883	cg06288821	LYN	R	N_Shore	I
cg06302690	-0.547244289429289	0.578541909746723	0.2071317620218	-2.6420104965442	0.00824155016579416	chr15	65197923	65197924	cg06302690	NA	F	Island	II
cg06320126	-0.97610593727334	0.376775433066586	0.180185752506806	-5.41722041667234	6.05326991627214e-08	chr11	66886141	66886142	cg06320126	KDM2A	R	Island	I
cg06321883	-1.82780795237275	0.160765587636988	0.192130929759477	-9.51334568911379	1.84626999613931e-21	chr6	70576541	70576542	cg06321883	COL19A1	R	N_Shore	II
cg06323023	-0.474091526677972	0.622450279154179	0.183607275233664	-2.58209554101073	0.00982023945265385	chr6	27841352	27841353	cg06323023	HIST1H4L	R	S_Shore	II
cg06327150	-1.99098337423709	0.136561068758092	0.194386005318657	-10.2424213665653	1.2799231194244e-24	chr1	52195686	52195687	cg06327150	OSBPL9	R	Island	II
cg06327621	-1.17007114797162	0.310344860072681	0.182782752576317	-6.40143083239258	1.53927543424514e-10	chr15	90931174	90931175	cg06327621	IQGAP1	R	Island	II
cg06331595	-0.646500092405792	0.523876089834594	0.182457374889586	-3.54329383943521	0.000395162139848201	chr7	141211956	141211957	cg06331595	NA	F	CpG_Ocean	I
cg06332859	-1.38471023088716	0.250396346407461	0.191268336819397	-7.23962080662969	4.49940944512664e-13	chr2	136876188	136876189	cg06332859	CXCR4	F	N_Shore	II
cg06343149	-1.87493664825361	0.153364682457643	0.195905556878576	-9.57061493368312	1.06271682984048e-21	chr8	80803526	80803527	cg06343149	NA	R	N_Shore	I
cg06349628	-0.0691419745703008	0.933194180829832	0.210614168663365	-0.328287384505521	0.742694381815597	chr13	20711042	20711043	cg06349628	NA	R	Island	II
cg06352370	-1.05092344257838	0.349614750851969	0.183739845300078	-5.71962733974248	1.06757940036361e-08	chr1	28286365	28286366	cg06352370	XKR8	R	Island	II
cg06356912	-1.15053205526474	0.316468345928159	0.195048606738118	-5.89869404609235	3.66389900890587e-09	chr3	38035642	38035643	cg06356912	VILL	F	N_Shore	II
cg06367925	-0.301319309871829	0.739841496332651	0.294305768035123	-1.0238307997955	0.305915200007015	chr11	518726	518727	cg06367925	NA	R	Island	I
cg06371306	-1.01059260303964	0.364003206237414	0.181649172059146	-5.56343082428467	2.64521749995146e-08	chr7	5595256	5595257	cg06371306	NA	F	Island	II
cg06385118	-0.257830198959306	0.77272643071989	0.181043989361333	-1.42413012367244	0.154408807745616	chr4	144480544	144480545	cg06385118	LOC441046	R	Island	I
cg06412358	-1.94398796253094	0.143132005015592	0.219693532864254	-8.84863535665435	8.85959333698202e-19	chr21	34392373	34392374	cg06412358	NA	F	Island	II
cg06419850	-1.05180314388753	0.349307329537237	0.242040499257709	-4.34556674239729	1.38916523851095e-05	chr17	4688683	4688684	cg06419850	VMO1	F	Island	I
cg06422883	-1.0242371617494	0.359070273496309	0.3187491023108	-3.21330210602665	0.00131218188328964	chr5	72528296	72528297	cg06422883	NA	R	N_Shore	II
cg06463589	-0.903451298707895	0.405168885035671	0.179547589077782	-5.03182083005586	4.85843218074392e-07	chr16	56659652	56659653	cg06463589	MT1E	F	Island	II
cg06480736	0.0904484942707685	1.09466512466413	0.510650050546978	0.177124224650297	0.859410814240556	chr5	101632321	101632322	cg06480736	SLCO4C1	F	Island	I
cg06482019	-1.78494233039145	0.167806738070043	0.194160575530818	-9.19312443070163	3.81593214001536e-20	chr16	51147902	51147903	cg06482019	NA	R	Island	I
cg06484415	-1.16491826335838	0.311948158585475	0.220551935423756	-5.28183196905603	1.27898476790666e-07	chr13	28371000	28371001	cg06484415	NA	R	N_Shore	I
cg06497198	-0.0892801404896385	0.914589324182118	0.183865013649812	-0.485574382626598	0.627268963001039	chr6	18122965	18122966	cg06497198	NHLRC1	F	Island	I
cg06499647	-0.0338195642218381	0.966745924454409	0.184987454186282	-0.182820853287607	0.854938585811781	chr2	106681983	106681984	cg06499647	C2orf40	R	Island	I
cg06537894	-1.90382762749991	0.148997220510903	0.199308627819718	-9.55215862116111	1.27021582461296e-21	chr19	12978706	12978707	cg06537894	MAST1	F	Island	I
cg06539717	-0.375888110708916	0.686679160788623	0.23760321256793	-1.58199927789887	0.113649735333885	chr2	58274059	58274060	cg06539717	VRK2	R	Island	I
cg06545268	10.0032576083985	22098.3363943458	1890.62028913698	0.00529099241443386	0.995778418538122	chr8	9756974	9756975	cg06545268	NA	F	Island	I
cg06549924	-1.0325568234276	0.356095322753652	0.180829006451038	-5.71012827915514	1.12891050545439e-08	chr8	26306331	26306332	cg06549924	NA	F	Island	I
cg06562091	-1.2857101131696	0.276454200144662	0.181230136787631	-7.09435050902279	1.2996036845499e-12	chr13	30995914	30995915	cg06562091	NA	R	Island	I
cg06572465	0.174337116194015	1.1904568204543	0.389635286714317	0.447436672546139	0.654559802284506	chr5	140800929	140800930	cg06572465	PCDHGA4	R	Island	I
cg06573604	-1.51789654597654	0.219172421537662	0.234629638431636	-6.46932994536756	9.84384423169019e-11	chr2	160760825	160760826	cg06573604	LY75	F	Island	II
cg06579271	-1.32545779631019	0.265681303323923	0.18088765658668	-7.32751930851091	2.34451900210499e-13	chr16	57318902	57318903	cg06579271	PLLP	R	Island	I
cg06585708	0.467010085558959	1.59521749199594	0.206707346470026	2.25928150853931	0.0238658794137943	chr5	3602413	3602414	cg06585708	NA	R	Island	I
cg06616729	0.779933636644686	2.18132750048274	0.181752821530685	4.29117760085507	1.77728096101069e-05	chr8	55379248	55379249	cg06616729	NA	F	Island	I
cg06623935	-1.30558559997754	0.271013782902329	0.465102515176673	-2.80709210846044	0.00499909453129021	chr1	214159131	214159132	cg06623935	NA	R	N_Shore	II
cg06665391	-1.7669129591526	0.170859626176852	0.253287928761403	-6.9759066995136	3.03904370942861e-12	chr20	39312290	39312291	cg06665391	NA	R	Island	II
cg06666025	0.857920173266406	2.35825083651524	0.715175897590908	1.19959324154566	0.230297352638758	chr16	66613278	66613279	cg06666025	CMTM2	R	Island	I
cg06666175	-1.51222276665637	0.220419491946233	0.199429717679845	-7.58273533277536	3.38344608978662e-14	chr6	75916963	75916964	cg06666175	COL12A1	R	S_Shore	II
cg06671340	-1.38184855394943	0.251113926108208	0.19557964011751	-7.06540084192389	1.60153013806038e-12	chr1	197744787	197744788	cg06671340	DENND1B	F	Island	II
cg06679534	-1.26264474820196	0.282904824185646	0.197929684927747	-6.37925912256607	1.77946730405672e-10	chr2	136877039	136877040	cg06679534	CXCR4	F	Island	II
cg06690760	-1.18189235105698	0.306697809189903	0.182134779231005	-6.48910853845199	8.63457473180761e-11	chr3	71631298	71631299	cg06690760	FOXP1	F	Island	II
cg06702880	-1.78787631097473	0.167315117913464	0.209857896331955	-8.51946170348842	1.60296602148543e-17	chr4	155663094	155663095	cg06702880	NA	R	N_Shore	II
cg06721528	-1.30659179877285	0.270741226306515	0.188626226297418	-6.92688299193703	4.3021411985642e-12	chr1	40781824	40781825	cg06721528	COL9A2	R	Island	I
cg06723863	-1.08518901463784	0.337837923546676	0.248721807619945	-4.36306339609772	1.28253757637007e-05	chr16	68270129	68270130	cg06723863	ESRP2	F	Island	I
cg06747432	-1.6733597343996	0.187615666756893	0.202219257606019	-8.27497714218588	1.28480264065914e-16	chr19	46916741	46916742	cg06747432	CCDC8	F	Island	I
cg06755413	-1.01742292648945	0.361525418281714	0.180775539401169	-5.62810062611199	1.82204792086882e-08	chr2	171571077	171571078	cg06755413	LOC440925	R	Island	II
cg06756211	-0.718219580753883	0.487619650978837	0.296901940283397	-2.41904643690887	0.0155612535266759	chr1	223936799	223936800	cg06756211	CAPN2	R	Island	I
cg06774875	-1.71114766830872	0.180658337746266	0.188731508724754	-9.06657123588333	1.22821110858187e-19	chr13	28363840	28363841	cg06774875	NA	F	Island	II
cg06779449	-1.2457231933955	0.287732746447365	0.249208240382922	-4.99872392454352	5.77109605712347e-07	chr20	42544663	42544664	cg06779449	TOX2	R	Island	I
cg06792347	-1.67847363998272	0.186658667039906	0.187384136854917	-8.95739451671027	3.32440506857147e-19	chr1	200271670	200271671	cg06792347	NA	R	S_Shore	II
cg06795971	-1.35665139859569	0.25752167218474	0.18324619923964	-7.40343540125232	1.32705732331628e-13	chr4	106067365	106067366	cg06795971	TET2	F	N_Shore	I
cg06802365	1.17357273699869	3.23352455883028	0.183730143354488	6.38748065816506	1.68640930499142e-10	chr1	225117676	225117677	cg06802365	DNAH14	F	Island	I
cg06802522	-1.77127577234725	0.170115821266079	0.204931259719081	-8.64326786833455	5.46276442327844e-18	chr8	124173231	124173232	cg06802522	NA	R	Island	I
cg06805572	-1.30496785042678	0.271181253267012	0.181178556227528	-7.20266171449108	5.90483445682445e-13	chr2	10444432	10444433	cg06805572	HPCAL1	R	Island	II
cg06811166	-1.62738641126544	0.196442323220366	0.190973494927055	-8.52153023584265	1.57458894773544e-17	chr12	52444554	52444555	cg06811166	NR4A1	R	Island	II
cg06829830	0.402530200747588	1.49560409290459	0.196380028984788	2.0497512034626	0.0403887155741966	chr5	80256087	80256088	cg06829830	RASGRF2	F	Island	I
cg06829968	-1.05873579523357	0.346894078388748	0.209841598951502	-5.04540472682094	4.52562361194038e-07	chr15	53076235	53076236	cg06829968	ONECUT1	R	Island	I
cg06833110	-1.60415550267272	0.20105927725738	1.01189001005494	-1.5853061960614	0.112896781960518	chr2	66673316	66673317	cg06833110	MEIS1	R	Island	I
cg06842800	-1.85141188911466	0.157015321517069	0.306440979380229	-6.0416589610799	1.52537621402168e-09	chr12	65003032	65003033	cg06842800	RASSF3	R	N_Shore	II
cg06846669	-1.03493080566587	0.355250961428252	0.191545091162352	-5.40306618867446	6.55112720214097e-08	chr5	134879739	134879740	cg06846669	NA	R	Island	I
cg06870995	-0.969229271738746	0.379375320735001	0.184136369013047	-5.26364931020265	1.41223714109225e-07	chr15	83349171	83349172	cg06870995	AP3B2	R	Island	I
cg06899985	13.0041224841166	444240.998742003	1986.34630877376	0.00654675492721333	0.994776482633569	chr15	65689298	65689299	cg06899985	IGDCC4	R	Island	I
cg06907405	-0.886490074703412	0.412099656281526	0.184727264435856	-4.79891302137066	1.59529050203218e-06	chr16	48400475	48400476	cg06907405	SIAH1	R	S_Shore	II
cg06937717	-1.16452367920206	0.312071272674283	0.253888006373975	-4.58676128830884	4.50174902437496e-06	chr7	151145554	151145555	cg06937717	NA	R	Island	I
cg06952660	-1.30233484388222	0.27189621611951	0.253460576315844	-5.13821463997361	2.77360975497591e-07	chr1	67773044	67773045	cg06952660	IL12RB2	R	N_Shore	II
cg06952752	-1.00713119166007	0.365265354224199	0.203076870237559	-4.95935943114512	7.07260029110308e-07	chr16	71660908	71660909	cg06952752	MARVELD3	F	S_Shore	I
cg06953252	-0.968587339031257	0.379618932344559	0.18130109498841	-5.34242409894533	9.17117768892765e-08	chr1	40782906	40782907	cg06953252	COL9A2	R	Island	I
cg06955040	-1.00237491376233	0.367006795862563	0.184660818665024	-5.42819489813181	5.69268572251567e-08	chr14	61124481	61124482	cg06955040	NA	F	Island	I
cg06956048	-0.215035108981541	0.806513123825874	0.197358354334728	-1.08956679187156	0.275904017964427	chr11	61159779	61159780	cg06956048	TMEM216	F	N_Shore	II
cg06958567	-1.60978031796088	0.199931530617461	0.184789182280286	-8.711442402073	3.00032233174558e-18	chr18	52495541	52495542	cg06958567	RAB27B	F	N_Shore	II
cg06962944	-1.20802069285633	0.298788087938153	0.260367444224108	-4.63967642520063	3.48955121404103e-06	chr20	42544728	42544729	cg06962944	TOX2	R	Island	I
cg06973595	-1.7242042924231	0.17831488184034	0.188224094682146	-9.16038031865561	5.1714733711444e-20	chr4	55093096	55093097	cg06973595	NA	F	Island	I
cg06980547	-1.19256263070511	0.303442655383617	0.26762881680309	-4.45603222011233	8.34904894009565e-06	chr7	22894557	22894558	cg06980547	NA	R	Island	II
cg06992285	0.705877419163872	2.02562322606008	0.181232276399999	3.8948769677534	9.82485857064067e-05	chr8	99952047	99952048	cg06992285	NA	R	Island	I
cg07005055	-1.2695439151648	0.280959734035125	0.256743709316265	-4.94479073526565	7.62257022463389e-07	chr1	113052167	113052168	cg07005055	WNT2B	R	Island	I
cg07017374	0.637136474667147	1.89105802620792	0.187009105395334	3.40698103079126	0.000656856919453412	chr13	28674451	28674452	cg07017374	FLT3	R	Island	I
cg07019438	-1.07315896018799	0.341926676813385	0.181175203170223	-5.92332141159352	3.155033339205e-09	chr14	34419546	34419547	cg07019438	EGLN3	R	Island	I
