	PC-P-1	PC-P-10	PC-P-2	PC-P-3	PC-P-4	PC-P-5	PC-P-6	PC-P-7	PC-P-8	PC-P-9	PC-T-1	PC-T-2	PC-T-4	PC-T-6	PC-T-7	NC-P-1	NC-P-12	NC-P-13	NC-P-14	NC-P-15	NC-P-16	NC-P-17	NC-P-18	NC-P-19	NC-P-2	NC-P-20	NC-P-21	NC-P-22	NC-P-23	NC-P-24	NC-P-25	NC-P-26	NC-P-27	NC-P-29	NC-P-3	NC-P-30	NC-P-5	NC-P-6	NC-P-7	NC-P-8	NC-P-9	N37-Pancreas	STL002PA-01	STL003PA-01
chr1:229567866-229567911	NA	NA	0.025	NA	0.0785714285714286	0.0166666666666667	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0833333333333333	NA	0.0119047619047619	NA	NA	NA	NA	0.0666666666666667	0.00833333333333333	0.0361552028218695	0.0111111111111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr5:139227624-139227651	NA	NA	0.00833333333333333	NA	NA	NA	NA	NA	0.153452380952381	NA	NA	NA	1	0.5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00416666666666667	NA	NA	NA	NA	NA	NA	0.00833333333333333	NA	NA	0.0122487143525012	0.137606457458199
chr6:42072328-42072372	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.236884635832004	NA	NA	NA	0.978354978354978	NA	NA	0.00952380952380952	NA	NA	NA	NA	NA	0.00952380952380952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr15:45670950-45670987	NA	NA	NA	NA	NA	NA	NA	0.019047619047619	0.00740740740740741	NA	NA	0.857142857142857	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00238095238095238	NA
chr1:50513969-50514018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr11:128562861-128562871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	0.0128205128205128	NA
chr9:132250974-132250996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0106502816180236
chr8:37823392-37823451	NA	NA	NA	NA	NA	NA	NA	0.00952380952380952	NA	0.00952380952380952	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0185185185185185	NA	NA	NA	NA	NA	NA	0.00246913580246914	NA	NA	NA	NA	NA	NA	0.00229885057471264	0.00995833333333333
chr19:39260719-39260725	0.277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.527777777777778	0.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0185185185185185	NA	0.138888888888889	NA	NA	NA	NA	0.122222222222222	0.112121212121212
chr12:39539325-39539375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0111111111111111	NA	NA	NA	NA	0.00242424242424242
chr5:50679184-50679300	NA	NA	0.00233918128654971	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.00238095238095238	NA	NA	0.00833333333333333	NA	NA	NA	NA	NA	NA	NA	0.00229885057471264	NA	NA	NA	NA	0.00256410256410256	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.010878539449968
chr4:113436069-113436085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.822222222222222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0072463768115942
chr4:1341463-1341593	NA	NA	NA	NA	NA	NA	NA	NA	0.00666666666666667	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00344827586206897
chr4:6666157-6666174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0558441558441558	0.130698529411765
chr1:166890392-166890447	0.0499946836788942	NA	NA	NA	0.00666666666666667	NA	0.00392156862745098	NA	NA	NA	NA	NA	0.577244977244977	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00317460317460317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr20:37356313-37356329	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0128205128205128	NA
chr21:40032854-40032912	NA	NA	0.018859649122807	NA	NA	NA	0.00222222222222222	NA	NA	NA	NA	0.0761904761904762	0.653968253968254	NA	0.825468975468976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00246913580246914	NA
chr10:131770824-131770840	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00666666666666667
chr7:97362801-97362857	NA	NA	NA	NA	NA	NA	NA	NA	0.00303030303030303	NA	NA	1	NA	NA	NA	NA	NA	NA	0.00833333333333333	NA	NA	NA	0.00277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00833333333333333	NA	NA	0.00277777777777778	NA	0.00317460317460317	NA	NA	NA	NA	NA	NA
chr4:13548998-13549047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0125	NA	NA	NA	NA	NA	NA	0.00222222222222222	0.00130718954248366
chr17:79315038-79315051	NA	NA	NA	NA	0.445833333333333	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	0.527777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.138888888888889	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0333333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr5:1883004-1883066	NA	NA	NA	NA	0.00333333333333333	NA	NA	NA	NA	NA	NA	1	0.00833333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00833333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00256410256410256
chr4:44449984-44450017	NA	NA	NA	NA	0.0037037037037037	0.0037037037037037	NA	NA	0.00740740740740741	NA	NA	NA	NA	0.542063492063492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0111111111111111	NA	NA	NA	0.0037037037037037	NA	NA	0.00740740740740741	NA	0.00185185185185185	NA
chr20:61637892-61637927	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00952380952380952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr7:56243278-56243296	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	0.740740740740741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0654761904761905	NA	NA	NA	NA	NA	NA	0.0238095238095238	0.0555555555555556	NA	NA	NA
chr4:13548873-13548947	NA	NA	NA	NA	0.00514533085961657	NA	NA	NA	NA	NA	NA	NA	1	0.00333333333333333	NA	NA	NA	NA	NA	NA	0.00493827160493827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00277777777777778	NA	NA	NA	NA	NA	NA	0.00740740740740741	NA	0.00155038759689922	0.0056140350877193
chr1:182026037-182026050	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	0.583333333333333	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.166666666666667	0.0208333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1:31230494-31230539	NA	NA	1	NA	NA	NA	1	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00454545454545455	NA	NA	NA	NA	NA	NA	NA	NA
chr19:52873505-52873512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.509259259259259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0111111111111111	NA	NA	NA	NA	NA	NA	NA	NA
chr6:111888304-111888315	0.0277777777777778	NA	NA	NA	0.5	1	NA	NA	0.5	1	NA	1	NA	NA	NA	NA	0.12962962962963	0.0694444444444444	NA	0.0476190476190476	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA
chr15:96890743-96890811	NA	NA	NA	NA	0.916666666666667	0.141666666666667	NA	0.0485714285714286	0.111111111111111	NA	NA	0.601017316017316	NA	0.464688644688645	1	NA	NA	0.0133333333333333	0.00666666666666667	NA	NA	0.00606060606060606	NA	NA	NA	NA	NA	0.0388007054673721	NA	NA	0.00833333333333333	0.0685714285714286	NA	0.00666666666666667	NA	0.00444444444444444	NA	NA	NA	NA	NA	NA	0.367777777777778	NA
chr20:34189501-34189791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.266191018857685	1	0.111961315414658	0.879980428091602	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00218579234972678	NA	NA	NA	NA	NA	0.00246913580246914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00303030303030303	0.000574712643678161	NA
chr16:3238748-3238821	NA	NA	NA	0.00909090909090909	NA	NA	NA	NA	NA	NA	NA	NA	0.738095238095238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0062015503875969
chr2:1747688-1747699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr17:46659597-46659674	NA	0.00740740740740741	NA	NA	NA	NA	NA	NA	0.00740740740740741	NA	NA	NA	0.589523996889726	NA	NA	NA	0.0148148148148148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0037037037037037	NA	NA	NA	NA	NA	0.00512820512820513	NA	NA	NA	0.00740740740740741	NA	NA
chr1:68962657-68962712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0333333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr16:54971367-54971377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00757575757575758
chr5:134871007-134871017	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	0.786616161616162	0.511904761904762	NA	1	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00505050505050505
chr4:25378584-25378591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00714285714285714
chr1:101702463-101702539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.67989417989418	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00392156862745098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1:160616869-160617036	NA	NA	0.0833333333333333	NA	NA	NA	NA	NA	NA	0.0833333333333333	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0666666666666667	NA	NA	NA	0.0128205128205128	NA	NA	NA	NA	NA	NA	NA	NA
chr8:10587548-10587598	0.0037037037037037	NA	NA	NA	NA	0.00740740740740741	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00740740740740741	0.0037037037037037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00208333333333333	0.00409356725146199
chr5:172659775-172659834	NA	NA	NA	NA	NA	NA	0.0114774114774115	0.00256410256410256	NA	NA	NA	0.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00416666666666667	0.00392156862745098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0148148148148148	NA	NA	NA	NA	0.0323809523809524	0.00158730158730159
chr20:55125816-55125827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0040650406504065	NA
chr8:20161140-20161146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0072463768115942
chr4:44450137-44450145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00216450216450216
chr7:21582668-21582696	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr19:42071303-42071372	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00952380952380952	NA	NA	NA	NA	0.00317460317460317	NA	NA	NA	NA	NA	NA	NA	NA
chr7:4832318-4832358	NA	1	0.656666666666667	NA	0.00952380952380952	NA	NA	NA	NA	0.213636363636364	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0683982683982684	NA	NA	NA	NA	0.00476190476190476	NA	0.00512820512820513	NA	NA	0.146000236322817	NA
chr20:61809492-61809535	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.00317460317460317	NA	0.00740740740740741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00555555555555555	NA	NA	0.0037037037037037	NA	NA	NA	0.00740740740740741	NA	NA	0.00289855072463768	NA
chr2:74259680-74259763	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	0.277777777777778	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA
chr3:127770769-127770989	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.00151515151515152	NA	0.000900900900900901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00185185185185185	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00091324200913242	NA
chr6:122792975-122792993	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.00714285714285714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr6:99296165-99296181	NA	NA	NA	0.0208333333333333	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0.111111111111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0185185185185185	NA	0.0166666666666667	NA	NA	NA	NA	NA	NA	NA	NA
chr10:60936580-60936717	NA	0.00666666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.656666666666667	NA	NA	NA	NA	NA	0.00555555555555555	NA	NA	NA	NA	0.0222222222222222	NA	NA	NA	NA	0.0142857142857143	NA	NA	NA	NA	NA	NA	NA	0.116666666666667	NA	NA	NA	NA	0.00714285714285714
chr1:166916865-166916883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.504385964912281	NA	NA	NA	0.0151515151515152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8:687477-687537	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.750476190476191	1	NA	NA	0.00952380952380952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000843881856540084
chr9:126774282-126774295	NA	NA	NA	NA	NA	NA	NA	0.00555555555555555	0.00833333333333333	NA	NA	NA	0.5	0.5	0.666666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025	NA	NA	0.00416666666666667	NA	NA	NA	NA	NA	NA	0.0208333333333333	0.005
chr6:45389357-45389422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr3:122640840-122640863	NA	0.138888888888889	NA	NA	0.0238095238095238	NA	NA	0.0555555555555556	0.0277777777777778	0.333333333333333	0.555555555555556	0.236111111111111	0.583333333333333	0.580808080808081	0.555555555555556	0.0138888888888889	NA	NA	NA	NA	NA	NA	0.0166666666666667	NA	NA	0.0714285714285714	NA	NA	NA	NA	0.0541666666666667	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	0.0694444444444444	NA	0.0892857142857143	NA
chr11:64480803-64480808	0.0555555555555556	NA	NA	NA	NA	NA	0.0416666666666667	NA	0.12962962962963	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA
chr15:68724264-68724271	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0053763440860215	NA
chr5:170108204-170108254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00833333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00151515151515152
chr8:7212600-7212620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	0.0238095238095238	0.0244444444444444
chr16:31228216-31228222	NA	NA	0.277777777777778	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	0.277777777777778	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00740740740740741
chr1:4954794-4954845	NA	0.277777777777778	1	0.466666666666667	NA	0.166666666666667	0.111111111111111	0.444444444444444	0.0666666666666667	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0833333333333333	NA	0.0476190476190476	NA	0.166666666666667	NA	NA	NA	NA	NA	NA
chr12:85674128-85674169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00234741784037559
chr11:88242275-88242289	NA	NA	NA	NA	0.00909090909090909	NA	NA	NA	0.00666666666666667	NA	NA	0.666666666666667	NA	NA	NA	0.025	NA	NA	NA	NA	NA	NA	0.01	NA	NA	NA	NA	NA	NA	NA	0.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr9:122132142-122132159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.00625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00614035087719298
chr17:40937322-40937331	NA	NA	NA	0.0333333333333333	0.0925925925925926	0.277777777777778	NA	NA	NA	NA	NA	0.638888888888889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0416666666666667	NA	NA
chr7:71801947-71801989	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.506666666666667	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00444444444444444	NA	NA	NA	NA	NA	NA	NA	NA
chr3:85008627-85008641	NA	NA	NA	NA	0.138888888888889	0.0555555555555556	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	0.0555555555555556	NA	NA	NA
chr17:19483412-19483435	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0125	NA	NA	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8:57358612-57358650	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	0.0114942528735632
chr10:124895802-124895807	NA	NA	NA	NA	NA	0.333333333333333	NA	NA	NA	NA	NA	0.527777777777778	0.333333333333333	NA	0.740384615384615	NA	0.138888888888889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0925925925925926	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0208333333333333	0.111111111111111	NA	NA	NA	0.0138888888888889	0.00641025641025641
chr4:180980019-180980069	NA	NA	NA	NA	0.065	NA	NA	NA	NA	NA	NA	NA	0.933333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02	NA	NA	NA
chr19:30865882-30866015	NA	NA	NA	0.0021505376344086	NA	0.00151515151515152	NA	NA	NA	NA	NA	NA	1	NA	NA	0.00533333333333333	NA	NA	NA	NA	NA	NA	NA	NA	0.259849747775444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.102199659421358	NA	NA	NA	NA	NA	NA	0.00377358490566038
chr17:61554002-61554013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	0.50625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025	NA	NA	NA	NA
chr10:102484267-102484271	NA	0.555555555555556	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	0.0185185185185185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2:73147431-73147443	NA	NA	0.0416666666666667	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0238095238095238	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	0.0166666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr15:89346263-89346281	NA	NA	0.0142857142857143	NA	NA	NA	NA	NA	NA	NA	NA	0.944444444444444	NA	NA	0.333333333333333	NA	NA	NA	NA	NA	NA	NA	NA	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr22:19706524-19706539	NA	NA	NA	0.02	NA	NA	NA	NA	0.116666666666667	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0181818181818182	NA
