	7-P-1	7-P-10	7-P-11	7-P-12	7-P-13	7-P-14	7-P-15	7-P-16	7-P-17	7-P-18	7-P-19	7-P-2	7-P-20	7-P-21	7-P-22	7-P-23	7-P-25	7-P-26	7-P-27	7-P-28	7-P-29	7-P-3	7-P-30	7-P-4	7-P-5	7-P-6	7-P-7	7-P-8	7-P-9	7-T-1	7-T-2	7-T-3	7-T-4	7-T-5	NC-P-1	NC-P-12	NC-P-13	NC-P-14	NC-P-15	NC-P-16	NC-P-17	NC-P-18	NC-P-19	NC-P-2	NC-P-20	NC-P-21	NC-P-22	NC-P-23	NC-P-24	NC-P-25	NC-P-26	NC-P-27	NC-P-29	NC-P-3	NC-P-30	NC-P-5	NC-P-6	NC-P-7	NC-P-8	NC-P-9	N37-Lung	STL001LG-01	STL002LG-01
chr1:182026037-182026050	NA	NA	NA	1	NA	0.891666666666667	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0833333333333333	1	1	0.583333333333333	NA	NA	NA	NA	NA	NA	NA	NA	0.166666666666667	0.0208333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0185185185185185	NA	0.0641526824307145
chr22:42095414-42095535	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	1	NA	NA	0.333333333333333	NA	NA	0.0111111111111111	NA	0.00404040404040404	NA	NA	NA	NA	0.42	NA	0.826240426240426	NA	NA	NA	NA	NA	NA	0.00416666666666667	NA	NA	NA	0.00404040404040404	NA	NA	0.00555555555555555	NA	NA	NA	0.00555555555555555	NA	NA	0.0468386243386243	NA	NA	NA	NA	NA	0.127472527472527	NA	NA	0.0427557860604426
chr18:2847848-2847922	NA	NA	NA	0.958333333333333	NA	0.222857142857143	NA	NA	1	NA	0.966666666666667	NA	1	1	NA	1	NA	NA	NA	0.2175	1	NA	NA	NA	NA	NA	0.0125	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00909090909090909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr6:7975430-7975593	0.0555555555555556	NA	NA	NA	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0416666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00303030303030303
chr1:206689819-206689857	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0289855072463768
chr2:229046272-229046341	NA	NA	NA	NA	NA	0.568636363636364	NA	NA	NA	NA	NA	0.01	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.958333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0183333333333333
chr3:138664166-138664280	NA	NA	0.888888888888889	0.583333333333333	NA	1	1	1	NA	1	1	NA	1	1	1	1	0.5	1	0.166666666666667	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	1	0.692640692640693	0.108333333333333	NA	NA	NA	NA	0.0111111111111111	NA	NA	NA	NA	0.0181818181818182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr19:11959320-11959396	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00396825396825397
chr2:39187460-39187482	NA	NA	NA	0.75	NA	0.0277777777777778	1	1	0.5	0.666666666666667	NA	NA	0.5	NA	NA	1	1	NA	NA	NA	NA	NA	1	0.0925925925925926	0.0555555555555556	NA	NA	0.0277777777777778	NA	0.277777777777778	0.527777777777778	1	NA	0.5	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	0.0334321475625823
chr2:19551788-19551825	NA	NA	0.966666666666667	0.5125	NA	NA	0.0928571428571429	NA	NA	NA	1	NA	NA	NA	NA	NA	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0419047619047619	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0166666666666667	NA	NA	NA	0.0142857142857143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0416666666666667	NA	0.0954598295014208
chr12:25056055-25056146	NA	NA	1	NA	NA	1	0.0133333333333333	NA	0.5	0.855555555555556	1	NA	0.218809523809524	NA	0.21047619047619	NA	0.0635281385281385	NA	NA	0.881587410561041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.424414080071975	NA	0.599133531524836	NA	NA	NA	NA	NA	0.00277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00277777777777778	NA	NA	0.00289855072463768	NA	NA	NA	NA	NA	NA
chr17:37762214-37762287	NA	NA	0.15	0.833333333333333	0.761904761904762	0.025	0.833333333333333	0.0555555555555556	0.833333333333333	0.833333333333333	0.833333333333333	NA	0.5	0.111111111111111	0.875	1	1	0.686868686868687	0.883333333333333	0.822222222222222	1	NA	0.822222222222222	0.0111111111111111	NA	NA	NA	NA	0.0142857142857143	NA	NA	NA	NA	0.652380952380952	NA	NA	0.0333333333333333	NA	NA	NA	0.0151515151515152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00625
chr4:786239-786339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.70457520593098	NA	NA	NA	NA	NA	NA	0.00666666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00785296574770259	NA
chr6:110736940-110737030	NA	NA	1	NA	NA	NA	1	NA	1	NA	0.5	0.111111111111111	1	1	0.638888888888889	NA	0.554166666666667	NA	0.166666666666667	0.216666666666667	1	NA	0.351851851851852	NA	NA	NA	NA	NA	0.0666666666666667	NA	NA	NA	NA	1	0.0555555555555556	0.0185185185185185	NA	NA	NA	0.0416666666666667	NA	NA	NA	NA	0.0490196078431373	NA	NA	NA	NA	NA	NA	0.130952380952381	0.122222222222222	NA	0.0238095238095238	NA	0.111111111111111	NA	NA	NA	NA	NA	0.114285714285714
chr6:108440389-108440509	NA	NA	NA	NA	NA	NA	1	NA	1	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00784313725490196
chr7:98990904-98990974	0.5125	NA	1	1	NA	1	NA	1	1	1	NA	0.0476190476190476	1	NA	0.5	1	NA	NA	0.77	NA	NA	0.0166666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	0.0277777777777778	0.0277777777777778	0.0555555555555556	0.00588235294117647	NA	NA	0.0555555555555556	NA	0.277777777777778	NA	0.0138888888888889	NA	0.0555555555555556	NA	NA	NA	0.0125	NA	NA	NA	NA	0.232828282828283	NA
chr5:3600942-3600992	NA	NA	0.507142857142857	0.184322344322344	0.777142857142857	0.777142857142857	NA	1	NA	0.269285714285714	1	NA	0.5	NA	0.777142857142857	0.5	1	NA	NA	NA	NA	NA	NA	NA	NA	0.0125	NA	NA	NA	NA	1	0.324285714285714	0.568636363636364	0.222857142857143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0142857142857143	NA	0.222857142857143	NA	NA	NA	NA	NA	0.00303030303030303	0.103456790123457
chr18:73167673-73167685	NA	NA	0.666666666666667	0.5	NA	1	0.5	0.5	0.5	0.513888888888889	1	NA	0.25	0.5	1	0.5	0.5	0.5	0.5	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA
chr1:207843128-207843222	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	0.0111111111111111	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00666666666666667	NA	NA	NA	NA	NA	NA	0.02	NA	NA	NA	NA
chr5:134871007-134871017	NA	NA	NA	NA	NA	NA	NA	NA	0.822222222222222	NA	NA	NA	NA	1	NA	1	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.295634920634921	0.914141414141414	NA	0.891666666666667	0.0238095238095238	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00833333333333333	0.00546448087431694
chr14:57283433-57283445	NA	0.0925925925925926	1	0.333333333333333	0.666666666666667	NA	1	NA	0.5	0.5	0.666666666666667	NA	NA	NA	NA	NA	0.5	0.0138888888888889	1	NA	1	NA	0.666666666666667	NA	NA	NA	NA	NA	NA	NA	0.666666666666667	NA	1	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00606060606060606
chr19:45901780-45901884	NA	NA	1	0.166666666666667	0.111111111111111	1	NA	0.5	1	0.111111111111111	1	NA	0.5	0.0476190476190476	0.0833333333333333	1	NA	NA	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	0.0666666666666667	NA	NA	NA	NA	NA	0.0833333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0333333333333333	NA	NA	0.0416666666666667	NA	NA	NA	NA	NA	0.0185185185185185
chr9:1045456-1045460	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr22:38220981-38221067	NA	NA	NA	NA	1	1	NA	1	0.114096622331916	0.438242339147886	NA	NA	NA	0.640553759965525	1	1	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	0.0102564102564103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00416666666666667	NA	NA	NA	NA	NA	NA	NA	NA	0.00112044817927171
chr17:43663762-43663805	0.845714285714286	1	1	NA	NA	NA	1	1	1	1	NA	NA	1	NA	1	1	NA	NA	0.777142857142857	NA	1	1	0.5	NA	1	0.0613636363636364	NA	0.321904761904762	NA	1	NA	NA	NA	NA	0.177777777777778	NA	NA	NA	NA	NA	NA	NA	NA	0.1	NA	NA	NA	NA	NA	NA	NA	NA	0.02	0.105555555555556	NA	NA	0.0181818181818182	0.211111111111111	NA	NA	NA	0.0102014294996751	0.0234020365599313
chr14:94226396-94226493	NA	NA	NA	NA	NA	NA	0.111111111111111	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.166666666666667	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0146198830409357
chr6:35887704-35887805	NA	NA	NA	NA	1	NA	NA	NA	1	NA	1	NA	1	NA	1	1	1	NA	1	0.177777777777778	1	NA	0.888888888888889	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.166666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778
chr5:172659775-172659834	0.039047619047619	0.00666666666666667	NA	0.519327731092437	NA	NA	NA	NA	0.992592592592593	0.888888888888889	0.555065675065675	NA	NA	NA	0.89532967032967	0.704338624338624	NA	NA	0.00740740740740741	NA	NA	NA	0.552843452843453	NA	NA	NA	NA	NA	NA	NA	1	0.800426065162907	NA	0.00666666666666667	NA	NA	NA	NA	NA	NA	0.00416666666666667	0.00392156862745098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0148148148148148	NA	NA	NA	NA	NA	0.00350877192982456
chr2:45231988-45232027	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00444444444444444	NA	NA	NA	NA	NA	NA	NA	0.0107985562824273
chr4:44450137-44450145	NA	NA	NA	NA	1	NA	1	1	NA	0.5	NA	NA	1	NA	0.554166666666667	1	NA	NA	0.5	1	1	NA	0.5	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.0779220779220779	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr2:174830653-174830763	NA	NA	0.0833333333333333	NA	NA	0.177777777777778	NA	NA	0.166666666666667	1	0.130952380952381	NA	NA	0.0779220779220779	NA	0.421960784313726	NA	0.822222222222222	0.0333333333333333	NA	NA	NA	0.0416666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0333333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr4:8859811-8859848	NA	NA	0.0111111111111111	1	1	1	0.025	0.2425	0.02	0.152857142857143	1	NA	1	1	0.04	1	1	1	1	NA	NA	NA	0.23	NA	NA	NA	NA	NA	NA	NA	0.957142857142857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0156862745098039
chr7:157361573-157361707	NA	NA	1	NA	NA	NA	0.213040293040293	1	0.744338624338624	1	0.488278388278388	NA	0.728888888888889	NA	1	NA	0.307407407407407	NA	NA	0.00740740740740741	0.988888888888889	NA	0.929377289377289	NA	NA	NA	NA	NA	NA	NA	1	0.0665026064406869	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0019047619047619	NA	0.00166666666666667	NA	NA	NA	NA	0.00102564102564103	NA
chr3:194118945-194119026	NA	NA	1	NA	NA	NA	NA	0.533333333333333	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0111111111111111	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0767881241565452	NA	NA	NA	0.0206349206349206	NA	NA
chr19:38345909-38345917	NA	NA	NA	1	0.277777777777778	1	NA	1	NA	NA	1	NA	NA	1	1	NA	1	NA	NA	NA	1	NA	0.738095238095238	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.116161616161616	NA	NA	0.037037037037037	0.125	0.166666666666667	0.00793650793650794	NA	NA	NA	NA	NA	NA	NA	0.0333333333333333	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	0.0473801560758083
chr16:1663552-1663747	NA	NA	0.888888888888889	NA	0.0833333333333333	NA	0.166666666666667	1	0.0333333333333333	NA	0.0277777777777778	NA	1	NA	1	0.0416666666666667	0.958333333333333	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	0.0416666666666667	NA	0.0289855072463768
chr8:25903837-25903849	NA	NA	NA	NA	NA	NA	NA	NA	0.0185185185185185	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00490196078431373	NA
chr6:110299219-110299368	NA	NA	1	NA	NA	NA	NA	0.111111111111111	NA	1	1	NA	0.0238095238095238	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.0666666666666667	0.0555555555555556	NA	NA	NA	1	NA	NA	NA	NA	0.0185185185185185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0476190476190476	NA	NA	NA	NA	NA	NA	NA	0.0833333333333333	NA	NA	0.0196078431372549
chr6:99296165-99296181	NA	NA	1	NA	NA	NA	NA	1	1	1	NA	NA	1	NA	1	NA	0.533333333333333	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.166666666666667	NA	NA	NA	0.111111111111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0185185185185185	NA	0.0166666666666667	NA	NA	NA	NA	NA	NA	NA	0.00980392156862745
chr10:8095492-8095499	NA	NA	NA	NA	NA	0.138888888888889	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.527777777777778	NA	NA	NA	NA	NA	NA	NA	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0138888888888889	NA	NA	NA	NA	NA	NA	NA	NA
chr1:228247046-228247057	0.0151515151515152	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.138888888888889	0.25	NA	NA	0.277777777777778	NA	0.0185185185185185	NA	1	NA	1	NA	NA	0.277777777777778	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	0.00416666666666667
chr5:87970478-87970517	NA	NA	NA	NA	NA	NA	1	0.222857142857143	0.5	NA	1	NA	NA	NA	NA	1	1	NA	NA	1	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02	NA	0.00151515151515152
chr4:119200862-119201009	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	0.888888888888889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0588235294117647	0.106227106227106
chr5:72529506-72529523	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00303030303030303
chr2:27434389-27434441	NA	NA	NA	NA	NA	0.0238095238095238	1	NA	NA	1	NA	NA	NA	NA	NA	0.0666666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr18:74767080-74767144	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	0.01	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0684523809523809	NA
chr7:100465077-100465160	NA	NA	0.103703703703704	0.9475	NA	0.986666666666667	NA	0.888888888888889	0.888888888888889	0.994871794871795	0.888888888888889	NA	1	0.888888888888889	NA	0.583333333333333	NA	0.271919191919192	0.00952380952380952	NA	1	NA	0.9875	NA	NA	0.00444444444444444	NA	0.01	NA	NA	NA	0.0833333333333333	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00952380952380952	NA	NA	NA	NA	0.00476190476190476	NA
chr2:177025590-177025607	NA	NA	NA	NA	NA	NA	0.177777777777778	NA	NA	0.0666666666666667	1	NA	NA	1	1	1	NA	NA	NA	1	NA	1	1	0.655555555555556	NA	0.0277777777777778	NA	NA	NA	NA	0.638888888888889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00952380952380952
chr17:1588162-1588383	NA	NA	NA	1	0.5	NA	NA	NA	0.938715728715729	0.168676231176231	0.183030303030303	NA	1	NA	0.822222222222222	1	NA	NA	NA	NA	NA	NA	0.0449270990447461	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00116959064327485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00125786163522013	NA
chr2:223175832-223175977	NA	NA	NA	0.666666666666667	NA	0.5	NA	NA	0.4004329004329	0.5	0.0333333333333333	NA	NA	0.722222222222222	0.0151515151515152	NA	NA	0.682539682539682	0.111111111111111	NA	0.0833333333333333	NA	0.311111111111111	NA	NA	0.0555555555555556	0.111111111111111	NA	0.5	NA	NA	NA	1	NA	0.0833333333333333	0.0185185185185185	NA	NA	NA	0.00757575757575758	0.0128205128205128	NA	0.0714285714285714	NA	NA	NA	NA	NA	NA	NA	NA	0.0256410256410256	NA	NA	0.075	NA	NA	NA	NA	NA	NA	NA	0.045045045045045
chr19:45889249-45889264	NA	NA	0.111111111111111	NA	0.976190476190476	0.5	NA	0.958333333333333	NA	1	NA	NA	0.666666666666667	NA	0.166666666666667	NA	NA	NA	NA	NA	NA	NA	0.55952380952381	NA	NA	NA	NA	NA	NA	NA	0.603174603174603	NA	0.5	NA	NA	NA	NA	0.0185185185185185	NA	NA	NA	0.0185185185185185	NA	NA	NA	0.277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA
chr2:222382631-222382663	NA	NA	1	0.0555555555555556	1	NA	NA	NA	NA	0.111111111111111	NA	NA	1	1	NA	NA	0.177777777777778	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0185185185185185	NA	0.184450591868245
chr3:170137737-170137763	NA	0.00666666666666667	0.00444444444444444	NA	NA	0.0733333333333333	NA	NA	NA	0.02	NA	NA	0.5	NA	0.5	NA	NA	NA	1	NA	NA	NA	0.12	NA	NA	NA	NA	NA	0.00666666666666667	NA	1	0.799047619047619	0.817777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0133333333333333	NA	NA	NA	NA	NA	0.00444444444444444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr11:14926534-14926576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.00740740740740741	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00246913580246914	NA	NA	NA	NA	NA	NA	0.00123456790123457	NA
chr10:114712336-114712356	NA	NA	1	NA	NA	0.177777777777778	NA	1	1	NA	NA	NA	0.466666666666667	NA	0.5	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0.0208333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr17:2628189-2628247	NA	0.00303030303030303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.336243386243386	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.00606060606060606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00606060606060606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000938967136150235	0.000472813238770686
chr16:54324380-54324391	0.0125	NA	0.666666666666667	0.25	NA	0.0125	0.5	0.5	0.75	0.0125	0.713888888888889	NA	0.535416666666667	1	0.5	0.8	1	0.5	0.5	1	0.5	NA	0.5	0.0117647058823529	NA	0.00833333333333333	0.5	NA	NA	0.25	0.358333333333333	0.5	1	0.50625	NA	NA	NA	NA	NA	0.00833333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025	NA	NA	0.05	0.0125	NA	NA	NA	0.166825396825397
